                model               vs  horizon  n_rows  n_months     skill     ci_lo     ci_hi   dm_stat         dm_p
     kalman_corr_top1 kalman_own_ridge        1   19422        83  0.003076 -0.000876  0.008242 -1.296153 1.985589e-01
     kalman_corr_top1       kalman_ar1        1   19422        83  0.001364 -0.002736  0.006619 -0.573255 5.680408e-01
kalman_pred_lag1_top1 kalman_own_ridge        1   19422        83 -0.013028 -0.019906 -0.005555  3.525666 6.943918e-04
kalman_pred_lag1_top1 kalman_corr_top1        1   19422        83 -0.016154 -0.022120 -0.010612  5.233657 1.253635e-06
     fusion_corr_top1       kalman_ar1        1   19422        83 -0.021429 -0.030618 -0.009541  4.246985 5.682121e-05
 fusion_corr_top1_mle       kalman_ar1        1   19422        83 -0.062675 -0.079626 -0.043847  8.093953 4.551431e-12
     fusion_corr_top1 kalman_own_ridge        1   19422        83 -0.019677 -0.028881 -0.007786  3.873916 2.145882e-04
     fusion_corr_top1 kalman_corr_top1        1   19422        83 -0.022824 -0.029021 -0.015527  6.677039 2.693162e-09
    coupled_corr_top1       kalman_ar1        1   19422        83 -0.000209 -0.007665  0.009690  0.047785 9.620035e-01
    coupled_corr_top1 kalman_own_ridge        1   19422        83  0.001507 -0.006163  0.011501 -0.337877 7.363196e-01
    coupled_corr_top1 kalman_corr_top1        1   19422        83 -0.001574 -0.007528  0.005247  0.484519 6.293091e-01
     kalman_corr_top1 kalman_own_ridge        2   19188        82 -0.000971 -0.006189  0.005036  0.362545 7.178889e-01
     kalman_corr_top1       kalman_ar1        2   19188        82 -0.011058 -0.017054 -0.004536  3.782287 2.962579e-04
kalman_pred_lag1_top1 kalman_own_ridge        2   19188        82 -0.016616 -0.024308 -0.007896  4.145090 8.304221e-05
kalman_pred_lag1_top1 kalman_corr_top1        2   19188        82 -0.015629 -0.021069 -0.009881  5.177283 1.606403e-06
     fusion_corr_top1       kalman_ar1        2   19188        82 -0.012798 -0.019413 -0.004579  3.573942 5.959421e-04
 fusion_corr_top1_mle       kalman_ar1        2   19188        82 -0.038778 -0.050754 -0.024444  6.610594 3.766072e-09
     fusion_corr_top1 kalman_own_ridge        2   19188        82 -0.002695 -0.010025  0.005786  0.694718 4.892198e-01
     fusion_corr_top1 kalman_corr_top1        2   19188        82 -0.001722 -0.007411  0.003844  0.610922 5.429621e-01
    coupled_corr_top1       kalman_ar1        2   19188        82 -0.000669 -0.005568  0.006244  0.224118 8.232298e-01
    coupled_corr_top1 kalman_own_ridge        2   19188        82  0.009314  0.003238  0.017096 -2.624478 1.036983e-02
    coupled_corr_top1 kalman_corr_top1        2   19188        82  0.010275  0.004308  0.017161 -3.141275 2.349093e-03
     kalman_corr_top1 kalman_own_ridge        3   18954        81 -0.001915 -0.007173  0.003470  0.708800 4.805088e-01
     kalman_corr_top1       kalman_ar1        3   18954        81  0.002460 -0.002756  0.007789 -0.904716 3.683325e-01
kalman_pred_lag1_top1 kalman_own_ridge        3   18954        81 -0.015958 -0.023389 -0.007789  4.018705 1.314854e-04
kalman_pred_lag1_top1 kalman_corr_top1        3   18954        81 -0.014016 -0.018909 -0.008737  4.967073 3.780009e-06
     fusion_corr_top1       kalman_ar1        3   18954        81 -0.008324 -0.013674 -0.002227  2.864135 5.338239e-03
 fusion_corr_top1_mle       kalman_ar1        3   18954        81 -0.028144 -0.038640 -0.016808  5.477801 4.840502e-07
     fusion_corr_top1 kalman_own_ridge        3   18954        81 -0.012747 -0.018560 -0.006336  4.243671 5.873750e-05
     fusion_corr_top1 kalman_corr_top1        3   18954        81 -0.010811 -0.014949 -0.006325  4.943475 4.147566e-06
    coupled_corr_top1       kalman_ar1        3   18954        81  0.001872 -0.002027  0.006456 -0.842212 4.021801e-01
    coupled_corr_top1 kalman_own_ridge        3   18954        81 -0.002506 -0.006410  0.002336  1.126495 2.633238e-01
    coupled_corr_top1 kalman_corr_top1        3   18954        81 -0.000590 -0.005267  0.004607  0.242704 8.088558e-01
     kalman_corr_top1 kalman_own_ridge        4   18720        80 -0.003580 -0.007704  0.000774  1.588050 1.162697e-01
     kalman_corr_top1       kalman_ar1        4   18720        80  0.020099  0.015318  0.026182 -6.293957 1.613223e-08
kalman_pred_lag1_top1 kalman_own_ridge        4   18720        80 -0.015742 -0.022980 -0.007450  3.744731 3.414347e-04
kalman_pred_lag1_top1 kalman_corr_top1        4   18720        80 -0.012119 -0.017809 -0.006304  3.878974 2.159097e-04
     fusion_corr_top1       kalman_ar1        4   18720        80 -0.007776 -0.011630 -0.002991  3.403352 1.047821e-03
 fusion_corr_top1_mle       kalman_ar1        4   18720        80 -0.023813 -0.032204 -0.014997  5.756570 1.568589e-07
     fusion_corr_top1 kalman_own_ridge        4   18720        80 -0.032128 -0.039435 -0.025103  8.449169 1.159029e-12
     fusion_corr_top1 kalman_corr_top1        4   18720        80 -0.028446 -0.034989 -0.022525  8.289920 2.371683e-12
    coupled_corr_top1       kalman_ar1        4   18720        80  0.001393 -0.001430  0.004833 -0.790873 4.313859e-01
    coupled_corr_top1 kalman_own_ridge        4   18720        80 -0.022737 -0.028126 -0.017349  7.782528 2.309654e-11
    coupled_corr_top1 kalman_corr_top1        4   18720        80 -0.019089 -0.025132 -0.013765  6.238861 2.042826e-08
     kalman_corr_top1 kalman_own_ridge        5   18486        79 -0.003488 -0.007170  0.000028  1.834459 7.039917e-02
     kalman_corr_top1       kalman_ar1        5   18486        79  0.023162  0.019286  0.028282 -8.083275 6.490444e-12
kalman_pred_lag1_top1 kalman_own_ridge        5   18486        79 -0.014668 -0.021701 -0.007558  3.600521 5.562295e-04
kalman_pred_lag1_top1 kalman_corr_top1        5   18486        79 -0.011141 -0.017065 -0.005761  3.382754 1.124651e-03
     fusion_corr_top1       kalman_ar1        5   18486        79 -0.007710 -0.010881 -0.003875  4.146011 8.530808e-05
 fusion_corr_top1_mle       kalman_ar1        5   18486        79 -0.022247 -0.030625 -0.014469  5.514638 4.378638e-07
     fusion_corr_top1 kalman_own_ridge        5   18486        79 -0.035202 -0.042230 -0.029246  9.073747 7.763031e-14
     fusion_corr_top1 kalman_corr_top1        5   18486        79 -0.031604 -0.037404 -0.026292  9.650379 5.945268e-15
    coupled_corr_top1       kalman_ar1        5   18486        79  0.000371 -0.001879  0.003182 -0.255985 7.986366e-01
    coupled_corr_top1 kalman_own_ridge        5   18486        79 -0.026901 -0.031965 -0.022426  9.042852 8.911488e-14
    coupled_corr_top1 kalman_corr_top1        5   18486        79 -0.023331 -0.028053 -0.018824  8.600305 6.441230e-13
     kalman_corr_top1 kalman_own_ridge        6   18252        78 -0.003208 -0.007585  0.000611  1.428107 1.573048e-01
     kalman_corr_top1       kalman_ar1        6   18252        78  0.012699  0.009583  0.016378 -6.970288 9.461911e-10
kalman_pred_lag1_top1 kalman_own_ridge        6   18252        78 -0.013713 -0.020890 -0.007651  3.398695 1.074949e-03
kalman_pred_lag1_top1 kalman_corr_top1        6   18252        78 -0.010472 -0.016470 -0.005522  3.256755 1.677064e-03
     fusion_corr_top1       kalman_ar1        6   18252        78 -0.005901 -0.008777 -0.003052  3.762200 3.267310e-04
 fusion_corr_top1_mle       kalman_ar1        6   18252        78 -0.017771 -0.026156 -0.010956  4.421864 3.169542e-05
     fusion_corr_top1 kalman_own_ridge        6   18252        78 -0.022108 -0.026899 -0.018424  8.712349 4.301325e-13
     fusion_corr_top1 kalman_corr_top1        6   18252        78 -0.018840 -0.022705 -0.015389  9.745639 4.426865e-15
    coupled_corr_top1       kalman_ar1        6   18252        78  0.001157 -0.000598  0.003329 -1.011349 3.150170e-01
    coupled_corr_top1 kalman_own_ridge        6   18252        78 -0.014936 -0.017865 -0.012419  8.859341 2.239047e-13
    coupled_corr_top1 kalman_corr_top1        6   18252        78 -0.011691 -0.015161 -0.008185  6.377050 1.224194e-08
              gbm_own        ridge_own        1   19422        83 -0.011816 -0.016181 -0.008001  6.366948 1.050195e-08
        gbm_corr_top1  ridge_corr_top1        1   19422        83 -0.010116 -0.013982 -0.006757  5.068056 2.441843e-06
        gbm_corr_top1          gbm_own        1   19422        83  0.004752  0.000649  0.009716 -2.141613 3.519225e-02
 ridge_corr_top1_2hop  ridge_corr_top1        1   19422        83 -0.000500 -0.000821 -0.000184  2.906219 4.702611e-03
   gbm_corr_top1_2hop    gbm_corr_top1        1   19422        83 -0.001578 -0.003481  0.000290  1.629371 1.070703e-01
     mlp_corr_top1_s0  ridge_corr_top1        1   19422        83 -0.015718 -0.020310 -0.011711  6.781701 1.694818e-09
           mlp_own_s0        ridge_own        1   19422        83 -0.018405 -0.027365 -0.011175  4.984213 3.409499e-06
              gbm_own        ridge_own        2   19188        82 -0.009510 -0.011806 -0.007319  7.976095 8.372872e-12
        gbm_corr_top1  ridge_corr_top1        2   19188        82 -0.009461 -0.013039 -0.006472  5.504548 4.230912e-07
        gbm_corr_top1          gbm_own        2   19188        82 -0.000922 -0.006341  0.004924  0.336685 7.372251e-01
 ridge_corr_top1_2hop  ridge_corr_top1        2   19188        82 -0.001238 -0.001872 -0.000630  3.988855 1.447908e-04
   gbm_corr_top1_2hop    gbm_corr_top1        2   19188        82 -0.001900 -0.004744  0.000729  1.389842 1.683849e-01
     mlp_corr_top1_s0  ridge_corr_top1        2   19188        82 -0.010146 -0.014005 -0.006766  5.701305 1.867430e-07
           mlp_own_s0        ridge_own        2   19188        82 -0.017501 -0.022967 -0.012484  6.935041 8.998849e-10
              gbm_own        ridge_own        3   18954        81 -0.015427 -0.019656 -0.012173  7.209148 2.805022e-10
        gbm_corr_top1  ridge_corr_top1        3   18954        81 -0.014918 -0.019242 -0.011478  6.965076 8.280465e-10
        gbm_corr_top1          gbm_own        3   18954        81 -0.001413 -0.006825  0.004362  0.500029 6.184271e-01
 ridge_corr_top1_2hop  ridge_corr_top1        3   18954        81 -0.001511 -0.002446 -0.000701  3.201310 1.963174e-03
   gbm_corr_top1_2hop    gbm_corr_top1        3   18954        81 -0.003737 -0.007538 -0.000261  1.917900 5.869220e-02
     mlp_corr_top1_s0  ridge_corr_top1        3   18954        81 -0.020279 -0.027265 -0.015325  5.947967 6.809283e-08
           mlp_own_s0        ridge_own        3   18954        81 -0.020609 -0.027649 -0.014565  5.917127 7.757827e-08

corr_top1_vs_own_ridge: 128/234 basins favor treatment, 21 pass FDR q=0.10

coupled_vs_kalman: 123/233 basins favor treatment, 1 pass FDR q=0.10

fusion_vs_kalman: 109/234 basins favor treatment, 15 pass FDR q=0.10
