fold f1 done
fold f2 done
fold f3 done
fold f4 done
fold f5 done
           component challenger              reference  horizon  rmse_a  rmse_b  skill_pct  ci_lo_pct  ci_hi_pct  dm_stat   dm_p
noise_filtering_term kalman_ar1              kalman_r0        1  1.0490  1.0783     5.3545     4.2632     6.4876  -9.0005 0.0000
noise_filtering_term kalman_ar1              kalman_r0        2  1.1954  1.2575     9.6327     8.2984    11.0037 -13.5571 0.0000
noise_filtering_term kalman_ar1              kalman_r0        3  1.2734  1.3549    11.6668    10.2770    13.1623 -13.8591 0.0000
noise_filtering_term kalman_ar1              kalman_r0        4  1.3363  1.4284    12.4808    11.0089    14.2170 -14.1889 0.0000
noise_filtering_term kalman_ar1              kalman_r0        5  1.3951  1.4927    12.6528    11.3889    14.4576 -14.3723 0.0000
noise_filtering_term kalman_ar1              kalman_r0        6  1.4484  1.5464    12.2719    11.0885    13.9772 -14.9440 0.0000
 rho_estimation_term  kalman_r0 damped_persistence_reg        1  1.0783  1.0831     0.9000     0.4911     1.3404  -4.5925 0.0000
 rho_estimation_term  kalman_r0 damped_persistence_reg        2  1.2575  1.2516    -0.9315    -1.6350    -0.3111   3.1559 0.0022
 rho_estimation_term  kalman_r0 damped_persistence_reg        3  1.3549  1.3108    -6.8400    -8.0088    -5.7451  11.5935 0.0000
 rho_estimation_term  kalman_r0 damped_persistence_reg        4  1.4284  1.3573   -10.7528   -12.4615    -9.2597  12.4267 0.0000
 rho_estimation_term  kalman_r0 damped_persistence_reg        5  1.4927  1.4132   -11.5676   -13.7137   -10.0176  12.4522 0.0000
 rho_estimation_term  kalman_r0 damped_persistence_reg        6  1.5464  1.4754    -9.8479   -11.3561    -8.7300  13.0120 0.0000
         full_margin kalman_ar1 damped_persistence_reg        1  1.0490  1.0831     6.2063     5.0887     7.4210  -9.9296 0.0000
         full_margin kalman_ar1 damped_persistence_reg        2  1.1954  1.2516     8.7909     7.4072    10.1445 -11.6146 0.0000
         full_margin kalman_ar1 damped_persistence_reg        3  1.2734  1.3108     5.6248     4.8028     6.4906 -11.6824 0.0000
         full_margin kalman_ar1 damped_persistence_reg        4  1.3363  1.3573     3.0700     2.2768     3.9275  -7.7588 0.0000
         full_margin kalman_ar1 damped_persistence_reg        5  1.3951  1.4132     2.5488     1.7355     3.4609  -5.3706 0.0000
         full_margin kalman_ar1 damped_persistence_reg        6  1.4484  1.4754     3.6326     2.7436     4.7976  -6.7994 0.0000
