model,horizon,n_basins,rmse_cm_med,rmse_cm_q25,rmse_cm_q75,cc_anom_med,cc_full_med,nse_anom_med,nse_full_med,pooled_rmse_cm
damped_persistence,1,234,2.7418151937470125,2.1424408543566886,3.588247902587828,0.624964893935402,0.8615277236284437,0.33361131459593774,0.7236154498764836,5.320759068518265
damped_persistence,2,234,3.32391902486821,2.5374042672083057,4.2549670339335925,0.46435363951193653,0.8095978341427341,0.08930530441240042,0.5947546969976213,6.1555707457817315
damped_persistence,3,234,3.5681344676138997,2.6420388746051895,4.625034840428485,0.3940960007064812,0.7921221291034917,0.018130442486063825,0.5359585958321249,6.3834023644157645
damped_persistence,4,234,3.648487835526256,2.735960427715235,4.961600919736489,0.33936962113903746,0.7828161803391869,-0.01369747883482586,0.5105142877632725,6.446989908031793
damped_persistence,5,234,3.7774640099561063,2.792789899701915,5.247862857489886,0.29942205537267275,0.7668698305429777,-0.04409041036838379,0.4819191182491902,6.689450114762732
damped_persistence,6,234,3.962989335797425,2.902045970298323,5.341737348019811,0.23015555111339484,0.7506101640234266,-0.07560349012499679,0.4321833731546872,6.935295189340728
kalman_ar1,1,234,2.6636759169963553,2.0817698773439606,3.5974732835152685,0.6354646924661502,0.8634524103710978,0.3603469779443866,0.7362557973174167,5.127627432384349
kalman_ar1,2,234,3.232568459362511,2.4191598247741726,4.211514866918721,0.5022111178798372,0.8176279624152791,0.1750885498415905,0.6282300372342544,5.650176548651895
kalman_ar1,3,234,3.464394085507217,2.606921364186888,4.549550659728437,0.4297875159954368,0.7997920392075002,0.05827845745064447,0.55552457876958,5.949380902866402
kalman_ar1,4,234,3.5654780525261414,2.6625107425008565,4.909671853806225,0.37257743284702116,0.7823351066567656,0.004623466971929946,0.5245730915466974,6.161308104356736
kalman_ar1,5,234,3.7160701935062552,2.775708234017477,5.1631458654298665,0.3035938415822231,0.7635348558698709,-0.022265399590694512,0.4825885503186163,6.413219871881596
kalman_ar1,6,234,3.8356891256419274,2.848795934941855,5.300352852431409,0.23668598283460876,0.7356692387091581,-0.05163627928045533,0.4421649479664974,6.689829612283857
stacked_ens,1,234,2.562682913056571,1.9330973359991217,3.454474468802633,0.6970657574918722,0.8805520422475603,0.43252368650907635,0.7656547432245888,5.144259042454278
stacked_ens,2,234,3.1512626519953724,2.323809548574024,4.081519805153624,0.5433636529062003,0.831204146632302,0.2028050863997507,0.6465795146258908,5.7428425086192565
stacked_ens,3,234,3.400743576197054,2.527333239242112,4.557211873490798,0.4532772712037684,0.7990891226559704,0.099688700633697,0.5742703977761014,5.934982610450373
stacked_ens,4,234,3.493120830552116,2.56624224562704,4.718855263084122,0.37830835906382326,0.7860336873266949,0.028673965817909652,0.5393970472025603,6.0185388352213085
stacked_ens,5,234,3.658041494773874,2.7066815102547785,5.127585535443897,0.29995920536370024,0.7596530450301001,-0.03422610837943907,0.49331455046974276,6.225510347822677
stacked_ens,6,234,3.8220568547212013,2.818732183205287,5.22854082696741,0.2320772462344503,0.7371581728417362,-0.05494970630269358,0.45665404780957825,6.509549938416775
