model,horizon,n_basins,rmse_cm_med,rmse_cm_q25,rmse_cm_q75,cc_anom_med,cc_full_med,nse_anom_med,nse_full_med,pooled_rmse_cm
damped_persistence,1,228,2.0352616477469256,1.2065663649291887,2.870824671738027,0.8147005562660741,0.9202160610034893,0.6348057100439829,0.8398029994877956,2.9028373787823174
damped_persistence,2,228,2.663117348797626,1.5524263072970754,3.8696042085995255,0.6564557872358227,0.8663534065075549,0.3334169137035894,0.7199660191512323,3.9299060382428457
damped_persistence,3,228,2.939286729937021,1.6347710736666021,4.2178130588804645,0.5763408491445379,0.8320611837063439,0.18707263181950912,0.6538792039048156,4.361970804938809
damped_persistence,4,228,3.0876398620915557,1.7511292764650832,4.470058346485306,0.5098668793569565,0.8269075097363088,0.132664748300849,0.6123579400599588,4.74701684313182
damped_persistence,5,228,3.190648198133814,1.889469874923544,4.822000749881258,0.4575075334173525,0.8066215627864723,0.03189255250432549,0.568008701209675,5.265725957852757
damped_persistence,6,228,3.4071426831950706,1.9650240645337878,5.131322725702047,0.36908118323991684,0.787873413583163,-0.025985836718106836,0.5104888865504427,5.635800117615588
kalman_ar1,1,228,2.010818408073358,1.1670691194458152,2.8264142356946733,0.8126104780055967,0.9195823437542414,0.6400174757369586,0.8414899424315276,2.8951377344672853
kalman_ar1,2,228,2.6033301505608923,1.4521891844234842,3.759877011544027,0.6621381735449355,0.8704055567962379,0.3554822711804852,0.7319460889549059,3.798921554833934
kalman_ar1,3,228,2.910987069356798,1.592074678031804,4.156687105263238,0.5746949467750271,0.8403314272972672,0.22448187010934295,0.6616743578766748,4.307284804297884
kalman_ar1,4,228,3.046305630623416,1.7421642452714963,4.481168585084931,0.5168336015990792,0.8324928212122151,0.128498023232416,0.6176917233459394,4.771090727201259
kalman_ar1,5,228,3.1805320460995974,1.869673366223223,4.843451779094213,0.47089942436950105,0.8153493537135006,0.034986027277666754,0.5673743859587679,5.255612626117608
kalman_ar1,6,228,3.317553301455597,1.961996970022628,5.032404457239693,0.38742071597055383,0.7987352280483182,-0.015121215344240935,0.53590896703346,5.676235802079468
stacked_ens,1,228,1.9073912895273293,1.0876089424314266,2.7010419275448796,0.8350450569813026,0.933247592636807,0.6680419099791319,0.8531101091412494,3.06198454039428
stacked_ens,2,228,2.5380757340186246,1.4676631147840287,3.6323414449847,0.6842131394610484,0.8814888544712677,0.3992427155755696,0.7518618921111784,3.950258010105203
stacked_ens,3,228,2.8094297905761403,1.6227286873932492,4.014935302655409,0.600744301281311,0.8527207004510573,0.2617575356173005,0.6787014873843449,4.405115149170653
stacked_ens,4,228,3.038890478003373,1.7495741285761417,4.433112681927466,0.5276441076172362,0.8322126566035536,0.15181067343743937,0.6243727222623586,4.5714096554527535
stacked_ens,5,228,3.169982482108349,1.8429222307938424,4.754426181603389,0.4592920309003475,0.8168836035653424,0.05353857253897487,0.5797548294008419,5.016717491271083
stacked_ens,6,228,3.345645273807381,1.8849745394757103,5.0207957865247685,0.3818667547965854,0.792017002023172,-0.022544738649024176,0.5317280963734216,5.749099497756838
