tile,n_cells,area_km2
0,8640,87590.1068687439
1,3456,140071.92846679688
2,3456,140071.92846679688
3,3456,140071.92846679688
4,3456,140071.92846679688
5,3456,140071.92846679688
6,1440,116566.64108276367
7,1440,116566.64108276367
8,1440,116566.64108276367
9,1440,116566.64108276367
10,1440,116566.64108276367
11,1440,116566.64108276367
12,1440,116566.64108276367
13,1440,116566.64108276367
14,1440,116566.64108276367
15,1440,116566.64108276367
16,1440,116566.64108276367
17,1440,116566.64108276367
18,960,116300.30151367188
19,960,116300.30151367188
20,960,116300.30151367188
21,960,116300.30151367188
22,960,116300.30151367188
23,960,116300.30151367188
24,960,116300.30151367188
25,960,116300.30151367188
26,960,116300.30151367188
27,960,116300.30151367188
28,960,116300.30151367188
29,960,116300.30151367188
30,960,116300.30151367188
31,960,116300.30151367188
32,960,116300.30151367188
33,960,116300.30151367188
34,960,116300.30151367188
35,960,116300.30151367188
36,720,115928.0648803711
37,720,115928.0648803711
38,720,115928.0648803711
39,720,115928.0648803711
40,720,115928.0648803711
41,720,115928.0648803711
42,720,115928.0648803711
43,720,115928.0648803711
44,720,115928.0648803711
45,720,115928.0648803711
46,720,115928.0648803711
47,720,115928.0648803711
48,720,115928.0648803711
49,720,115928.0648803711
50,720,115928.0648803711
51,720,115928.0648803711
52,720,115928.0648803711
53,720,115928.0648803711
54,720,115928.0648803711
55,720,115928.0648803711
56,720,115928.0648803711
57,720,115928.0648803711
58,720,115928.0648803711
59,720,115928.0648803711
60,552,110640.0863647461
61,552,110640.0863647461
62,576,115450.52490234375
63,552,110640.0863647461
64,552,110640.0863647461
65,552,110640.0863647461
66,576,115450.52490234375
67,552,110640.0863647461
68,552,110640.0863647461
69,552,110640.0863647461
70,552,110640.0863647461
71,576,115450.52490234375
72,552,110640.0863647461
73,552,110640.0863647461
74,552,110640.0863647461
75,576,115450.52490234375
76,552,110640.0863647461
77,552,110640.0863647461
78,552,110640.0863647461
79,552,110640.0863647461
80,576,115450.52490234375
81,552,110640.0863647461
82,552,110640.0863647461
83,552,110640.0863647461
84,576,115450.52490234375
85,552,110640.0863647461
86,552,110640.0863647461
87,552,110640.0863647461
88,576,115450.52490234375
89,552,110640.0863647461
90,552,110640.0863647461
91,456,109125.03244018555
92,480,114868.45520019531
93,456,109125.03244018555
94,480,114868.45520019531
95,456,109125.03244018555
96,480,114868.45520019531
97,456,109125.03244018555
98,480,114868.45520019531
99,456,109125.03244018555
100,480,114868.45520019531
101,456,109125.03244018555
102,480,114868.45520019531
103,456,109125.03244018555
104,456,109125.03244018555
105,480,114868.45520019531
106,456,109125.03244018555
107,480,114868.45520019531
108,456,109125.03244018555
109,480,114868.45520019531
110,456,109125.03244018555
111,480,114868.45520019531
112,456,109125.03244018555
113,480,114868.45520019531
114,456,109125.03244018555
115,456,109125.03244018555
116,480,114868.45520019531
117,456,109125.03244018555
118,480,114868.45520019531
119,456,109125.03244018555
120,480,114868.45520019531
121,456,109125.03244018555
122,480,114868.45520019531
123,456,109125.03244018555
124,480,114868.45520019531
125,456,109125.03244018555
