model,horizon,rmse_cm,mae_cm,r,n,rmse_std,skill_vs_damped
ridge_own_perbasin,1,2.8640045435204,1.7648505990099304,0.984404803787874,19152,0.6619700825645112,0.01216644218742191
ridge_own_plus_indices,1,3.9371680597835303,1.928517176793437,0.9837066661839187,19152,0.6636574339741848,0.007124079270033334
ridge_own_lags,1,3.8287289058579668,1.9160299195970287,0.9843119515844632,19152,0.6644630376932019,0.004712142131926944
damped_persistence_rho,1,2.902837378782318,1.782770453790286,0.9841533872069375,19152,0.6660341143686006,0.0
damped_persistence_reg,1,2.8907305629269784,1.7893497131689962,0.9840318273090057,19152,0.6691324030370198,-0.009325333293139781
persistence,1,2.9193840472344044,1.7994249415150183,0.9833265621943234,19152,0.6806066123880175,-0.04423772667881298
climatology_zero,1,16.059552371089055,5.196821171498503,,19152,1.4505603907061524,-3.743279101973938
ridge_own_perbasin,2,3.8330888418305125,2.31356593194798,0.9736476807711008,18924,0.8563134931957445,0.03237656325528926
ridge_own_plus_indices,2,6.089207871362067,2.6270836802877415,0.97066360967922,18924,0.8619588855036144,0.019576063074520533
ridge_own_lags,2,5.941645625265431,2.609321443869398,0.9723798924988274,18924,0.8632006269966798,0.016749222900814265
damped_persistence_rho,2,3.912524981933272,2.3564895072717578,0.9723443411876933,18924,0.8705216929258747,0.0
damped_persistence_reg,2,3.9299060382428457,2.373724746106826,0.9720885122263524,18924,0.8761395192177067,-0.012948450068243078
persistence,2,3.9403956901727644,2.422155369115969,0.9702797305252922,18924,0.9007309967683083,-0.0706093224457951
climatology_zero,2,16.282839852197554,5.251540171514331,,18924,1.4679441039653707,-1.8435432742813007
ridge_own_plus_indices,3,7.202904745488936,2.94993366662362,0.9632540449414937,18696,0.9425645760485489,0.02766320019849411
ridge_own_perbasin,3,4.294072439864839,2.5854282184824324,0.96826138233197,18696,0.9450044417242832,0.022622820511502217
ridge_own_lags,3,7.0102507944828,2.932076832513131,0.9664013551898549,18696,0.945461236926733,0.02167770514099321
damped_persistence_reg,3,4.361970804938809,2.6259582242150095,0.9669387221903986,18696,0.9558786300905203,0.0
persistence,3,4.350330887324222,2.6761856832878745,0.9647307543470505,18696,0.9781369268985264,-0.04711361053145002
damped_persistence_rho,3,4.451436697770291,2.6904067599484507,0.9663016720034091,18696,0.9884235578529197,-0.0692534752383549
climatology_zero,3,16.49415906773545,5.300263563908676,,18696,1.4848504817227668,-1.4130145654818205
ridge_own_plus_indices,4,8.279763846776122,3.23628018356779,0.9574966494947714,18468,1.012880796290556,0.0013930827230355103
damped_persistence_reg,4,4.74701684313182,2.8159681141173736,0.9633199364798519,18468,1.013587047645102,0.0
ridge_own_lags,4,8.038869723728748,3.2139227965195993,0.9614772600104395,18468,1.0160136321315747,-0.00479384416383577
ridge_own_perbasin,4,4.758755733905842,2.8190091856722868,0.9628563249058629,18468,1.0164918858504404,-0.005740011573140524
persistence,4,4.6826804654490894,2.8483438345964904,0.9604602152797018,18468,1.0300434815643726,-0.03273527605898052
damped_persistence_rho,4,5.013017952241159,2.993402207234746,0.9604578000303373,18468,1.0869041921719258,-0.1499009249001515
climatology_zero,4,16.717794351213442,5.349054960752128,,18468,1.500864285557392,-1.192606727082183
damped_persistence_reg,5,5.265725957852757,3.0482446632770523,0.9582940089490289,18240,1.087024564386729,0.0
ridge_own_plus_indices,5,9.528540635161214,3.5448957542324013,0.949832058539518,18240,1.0897642492169923,-0.005047056719006182
ridge_own_lags,5,9.250975793535998,3.521902624687115,0.9553842457738176,18240,1.09284097765026,-0.010730161186012221
ridge_own_perbasin,5,5.274571409377419,3.0796631128254943,0.9567612658703382,18240,1.0958176963805013,-0.01624378486930822
persistence,5,5.1133339727467675,3.080139520663063,0.9545028595160611,18240,1.0985744691569415,-0.02136339039173052
damped_persistence_rho,5,5.545229745085518,3.223100663657617,0.9552782062223393,18240,1.1604230466199894,-0.13960402498027813
climatology_zero,5,16.968846876350216,5.404120731128657,,18240,1.5178810321708756,-0.9498300140920006
persistence,6,5.472468275328549,3.2817097184251547,0.9499342357920453,18012,1.1568366240064714,0.004285767136877783
damped_persistence_reg,6,5.635800117615587,3.290119943252992,0.9541332057368299,18012,1.1593235869686604,0.0
ridge_own_plus_indices,6,10.886531744976839,3.8681732130474034,0.9412738687367627,18012,1.1627251133636811,-0.005876731184768058
ridge_own_lags,6,10.549602696317459,3.841475134114844,0.9508654673070178,18012,1.1646147992247444,-0.009148933046179586
ridge_own_perbasin,6,5.646691731299293,3.3155818957685237,0.9526513176791761,18012,1.1712199944566042,-0.0206283131969065
damped_persistence_rho,6,6.345071109606947,3.49490889022034,0.9515201252214603,18012,1.2278684227884513,-0.12174545270899917
climatology_zero,6,17.226407812956715,5.464267385715499,,18012,1.5359311619989882,-0.7552305115606928
