model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,skill_vs_kalman,skill_vs_own_ridge
kalman_ar1,1,0.6641524640095269,19152,,,,0.0,0.002936448249793444
kalman_own_ridge,1,0.665129741500829,19152,,,,-0.0029450963728829826,0.0
kalman_geo_top1,1,0.6654419208919106,19152,50.0,0.0,1.0,-0.003886784126618137,-0.0009389225363785059
kalman_geo_top2,1,0.66565088235189,19152,50.0,0.0,1.0,-0.004517362327185692,-0.001567649076692934
kalman_geo_top3,1,0.6656621556686186,19152,50.0,0.0,1.0,-0.004551387184893008,-0.0016015740221664299
kalman_corr_min500_top1,1,0.6668207333754811,19152,50.0,0.0,1.0,-0.008051251695760264,-0.00509116136201615
kalman_corr_top1,1,0.6668492627788989,19152,50.0,0.0,1.0,-0.008137510909380419,-0.005177167279919459
kalman_corr_min300_top1,1,0.6668964425228516,19152,50.0,0.0,1.0,-0.008280167893077506,-0.005319405358766183
kalman_corr_top2,1,0.6695863235714459,19152,50.0,0.0,1.0,-0.016430228936978652,-0.013445534170179574
kalman_corr_min1000_top1,1,0.6717986461244758,19152,50.0,0.0,1.0,-0.02315792411473394,-0.02015347381920507
kalman_corr_top3,1,0.6741046874675896,19152,50.0,0.0,1.0,-0.030194240862838395,-0.02716912878730926
kalman_ar1,2,0.8424462498738764,18924,,,,0.0,0.012568501804089305
kalman_own_ridge,2,0.8477908265719529,18924,,,,-0.012728479724469777,0.0
kalman_geo_top1,2,0.8483673369605153,18924,50.0,0.0,1.0,-0.014106288929010669,-0.0013604922070682424
kalman_geo_top2,2,0.8488914378393567,18924,50.0,0.0,1.0,-0.015359656771429808,-0.002598107093498614
kalman_geo_top3,2,0.8489724565262455,18924,50.0,0.0,1.0,-0.015553479039068785,-0.0027894933056171745
kalman_corr_min500_top1,2,0.8512683888953496,18924,50.0,0.0,1.0,-0.021053763280610482,-0.008220647214745691
kalman_corr_min300_top1,2,0.8518191506061351,18924,50.0,0.0,1.0,-0.022375412820160978,-0.00952568559967415
kalman_corr_top1,2,0.8518942358999668,18924,50.0,0.0,1.0,-0.02255565939372306,-0.009703666743851258
kalman_corr_top2,2,0.8570503380882424,18924,50.0,0.0,1.0,-0.03497118445135139,-0.021963147252394455
kalman_corr_min1000_top1,2,0.8607560508315576,18924,50.0,0.0,1.0,-0.0439405466482663,-0.030819778004355758
kalman_corr_top3,2,0.8649302595029553,18924,50.0,0.0,1.0,-0.05409020928620789,-0.04084187458912125
kalman_own_ridge,3,0.9314155771801275,18696,,,,0.004301591865239485,0.0
kalman_geo_top1,3,0.9319975568618314,18696,50.0,0.0,1.0,0.003056911628116943,-0.001250057474184496
kalman_geo_top2,3,0.9327005274383009,18696,50.0,0.0,1.0,0.0015524313769847975,-0.0027610373440334346
kalman_geo_top3,3,0.9328684899404307,18696,50.0,0.0,1.0,0.0011927942866987173,-0.0031222281296645615
kalman_ar1,3,0.9334253482555611,18696,,,,0.0,-0.004320175497013912
kalman_corr_min500_top1,3,0.9358010498748442,18696,50.0,0.0,1.0,-0.005096765102214684,-0.009438959518937251
kalman_corr_min300_top1,3,0.9366956093149904,18696,50.0,0.0,1.0,-0.007019286019471549,-0.011369786063953224
