model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,skill_vs_kalman,skill_vs_own_ridge
kalman_ar1,1,0.6641524640095269,19152,,,,0.0,0.006707237751657491
kalman_own_ridge,1,0.6663910455888109,19152,,,,-0.006752528566175586,0.0
kalman_corr_top1,1,0.6679848363597279,19152,50.0,0.0,1.0,-0.011573936908125804,-0.004789070009902696
kalman_corr_min300_top1,1,0.6680318402501153,19152,50.0,0.0,1.0,-0.01171630416185887,-0.004930482372617284
kalman_ar1,2,0.8424462498738764,18924,,,,0.0,0.0158985334121029
kalman_own_ridge,2,0.849224005007188,18924,,,,-0.016155380265031827,0.0
kalman_corr_min300_top1,2,0.8530216020425869,18924,50.0,0.0,1.0,-0.025263876832400722,-0.008963684830358698
kalman_corr_top1,2,0.8530833976596127,18924,50.0,0.0,1.0,-0.02541242901118923,-0.00910987524736906
kalman_own_ridge,3,0.9317581641995188,18696,,,,0.0035689949638676444,0.0
kalman_ar1,3,0.9334253482555611,18696,,,,0.0,-0.003581778312627293
kalman_corr_min300_top1,3,0.9367678736106526,18696,50.0,0.0,1.0,-0.007174671281860112,-0.010782147676484444
kalman_corr_top1,3,0.9368494514475757,18696,50.0,0.0,1.0,-0.007350097256562327,-0.01095820198813846
kalman_own_ridge,4,0.9963841514079714,18468,,,,0.018491371364707465,0.0
kalman_corr_min300_top1,4,1.0016914430035933,18468,50.0,0.0,1.0,0.008007411140760534,-0.010681475351392633
kalman_corr_top1,4,1.001786970146391,18468,50.0,0.0,1.0,0.007818197712031738,-0.010874253512692666
kalman_ar1,4,1.0057261676217673,18468,,,,0.0,-0.01883974406869804
kalman_own_ridge,5,1.0675464456723114,18240,,,,0.012231992465946195,0.0
kalman_corr_min300_top1,5,1.0733074818710862,18240,50.0,0.0,1.0,0.0015422058028613517,-0.01082216328282537
kalman_corr_top1,5,1.0734721968829082,18240,50.0,0.0,1.0,0.0012357258618445055,-0.011132438508059783
kalman_ar1,5,1.074136070898854,18240,,,,0.0,-0.012383466940261822
kalman_ar1,6,1.1315158403692906,18012,,,,0.0,0.00625285712650181
kalman_own_ridge,6,1.1350701208309666,18012,,,,-0.0062922013626334206,0.0
kalman_corr_min300_top1,6,1.1418049596716422,18012,50.0,0.0,1.0,-0.018269121000175748,-0.011902029670233016
kalman_corr_top1,6,1.1420533761811036,18012,50.0,0.0,1.0,-0.01871224813080974,-0.012342385990230298
