model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_kalman,dm_p,skill_ci_lo,skill_ci_hi,skill_vs_kalman
kalman_ar1,1,0.6641524640095269,19152,,,,,,,,0.0
coupled_corr_top1,1,0.6646227906985033,19152,50.0,41.0,0.19607843137254902,0.31185895315944806,0.7559297680663899,-0.009851111765010283,0.0077724212585491914,-0.0014168229372513164
kalman_ar1,2,0.8424462498738764,18924,,,,,,,,0.0
coupled_corr_top1,2,0.8456070427023735,18924,50.0,0.0,1.0,2.287895070121432,0.024718593425184555,-0.013892279323227202,-0.00038254266497050616,-0.007517921418583207
kalman_ar1,3,0.9334253482555611,18696,,,,,,,,0.0
coupled_corr_top1,3,0.935476514663504,18696,50.0,0.0,1.0,1.322815114224812,0.18961935614502132,-0.01082082475404803,0.0020293090839111445,-0.004399752142026703
kalman_ar1,4,1.0057261676217673,18468,,,,,,,,0.0
coupled_corr_top1,4,1.0075772638309917,18468,50.0,0.0,1.0,1.4000336338843424,0.16536949839260992,-0.00867767266957437,0.0015651736620288781,-0.0036845013937145676
kalman_ar1,5,1.074136070898854,18240,,,,,,,,0.0
coupled_corr_top1,5,1.076103681134259,18240,50.0,0.0,1.0,1.9042407982527438,0.060519488657096096,-0.007662693442063606,0.00024957425229122065,-0.003666970005202108
kalman_ar1,6,1.1315158403692906,18012,,,,,,,,0.0
coupled_corr_top1,6,1.1328439688915175,18012,50.0,0.0,1.0,1.8927736796141128,0.06209765321884628,-0.004966120826027626,0.0001358599066845786,-0.0023488985786492833
