model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_kalman,dm_p,skill_ci_lo,skill_ci_hi,skill_vs_kalman
kalman_ar1,1,0.6641524640095269,19152,,,,,,,,0.0
fusion_corr_top1,1,0.6748721164088354,19152,50.0,0.0,1.0,6.4392528293047455,7.370712418347261e-09,-0.042850301829369886,-0.021843678341539323,-0.032541208379261555
fusion_corr_top1_mle,1,0.694318933095796,19152,50.0,0.0,1.0,9.695933869462216,2.653493331765755e-15,-0.11472199380142883,-0.07153550509172965,-0.09290506729921622
kalman_ar1,2,0.8424462498738764,18924,,,,,,,,0.0
fusion_corr_top1,2,0.8510776335308038,18924,50.0,0.0,1.0,5.17075767819648,1.6167318578760345e-06,-0.028907609458062266,-0.01281183831856914,-0.020596211554693378
fusion_corr_top1_mle,2,0.8643514552008708,18924,50.0,0.0,1.0,7.904241440575532,1.0809850287863774e-11,-0.06655300886664693,-0.038991401000068315,-0.05267990411942747
kalman_ar1,3,0.9334253482555611,18696,,,,,,,,0.0
fusion_corr_top1,3,0.9399973776392225,18696,50.0,0.0,1.0,3.6444143045421313,0.00047173645540978925,-0.02209872250900114,-0.007424581926589591,-0.014131104230780789
fusion_corr_top1_mle,3,0.9508964536689439,18696,50.0,0.0,1.0,5.985085856423552,5.635363085697412e-08,-0.05044894977453565,-0.026475691900995916,-0.037784725903503125
kalman_ar1,4,1.0057261676217673,18468,,,,,,,,0.0
fusion_corr_top1,4,1.011485196859919,18468,50.0,0.0,1.0,3.7245337425931155,0.00036294122666282266,-0.017862501392993568,-0.005334716982248971,-0.011485269480675964
fusion_corr_top1_mle,4,1.0208259476460346,18468,50.0,0.0,1.0,5.902262032538499,8.260460402782872e-08,-0.040766465832712546,-0.020770850540951808,-0.03025303132488011
kalman_ar1,5,1.074136070898854,18240,,,,,,,,0.0
fusion_corr_top1,5,1.0791496741461775,18240,50.0,0.0,1.0,4.257329703946347,5.6507637471091735e-05,-0.013816571179630605,-0.0049774209186074,-0.009356922369027743
fusion_corr_top1_mle,5,1.0870836990795403,18240,50.0,0.0,1.0,6.118192223049331,3.418711127798642e-08,-0.032124656252484216,-0.016922906916627588,-0.02425328380697067
kalman_ar1,6,1.1315158403692906,18012,,,,,,,,0.0
fusion_corr_top1,6,1.135332699388786,18012,50.0,0.0,1.0,4.160680978735979,8.094743834821628e-05,-0.010088358697628941,-0.003528481790807838,-0.006757831305143069
fusion_corr_top1_mle,6,1.142239076156554,18012,50.0,0.0,1.0,5.742917683538374,1.709798437911818e-07,-0.025872432302948667,-0.012978915369231533,-0.019043564028127458
