model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
kalman_corr_top1,kalman_own_ridge,1,19152,84,-0.005177167279919681,-0.009314134574944528,-0.0016793798012108257,2.887506255519965,0.0049498546949298065
kalman_corr_top1,kalman_ar1,1,19152,84,-0.008137510909380419,-0.012285690808706617,-0.0046764707646894015,4.619690156475174,1.3913788131128714e-05
kalman_pred_lag1_top1,kalman_own_ridge,1,19152,84,-0.027702983971378492,-0.03544604804541803,-0.020484627333423384,7.674158945337574,2.887406445634344e-11
kalman_pred_lag1_top1,kalman_corr_top1,1,19152,84,-0.022409797421498512,-0.029265867348785307,-0.016180027475877663,6.642912631423952,3.001960707571773e-09
fusion_corr_top1,kalman_ar1,1,19152,84,-0.03254120837926133,-0.042850301829369886,-0.02184367834153932,6.4392528293047455,7.370712418347261e-09
fusion_corr_top1_mle,kalman_ar1,1,19152,84,-0.09290506729921622,-0.11472199380142883,-0.07153550509172922,9.69593386946221,2.6534933317658346e-15
fusion_corr_top1,kalman_own_ridge,1,19152,84,-0.029509204555076884,-0.039926781506594664,-0.018987666866544826,5.846750045638204,9.563188408869013e-08
fusion_corr_top1,kalman_corr_top1,1,19152,84,-0.024206715061983797,-0.032239586297237555,-0.01484579351145645,5.575845764104252,2.996656218617906e-07
coupled_corr_top1,kalman_ar1,1,19152,84,-0.0014168229372513164,-0.009851111765010278,0.0077724212585491914,0.31185895315944734,0.7559297680663903
coupled_corr_top1,kalman_own_ridge,1,19152,84,0.0015237857397761845,-0.00705928487821233,0.010873068642297251,-0.32669393584349693,0.7447217960476259
coupled_corr_top1,kalman_corr_top1,1,19152,84,0.006666439745969588,0.00012359473767214752,0.014286608701224515,-1.6820612673220796,0.09631582419915789
kalman_corr_top1,kalman_own_ridge,2,18924,83,-0.009703666743851036,-0.01562852031686976,-0.0052374691549631905,4.041756324493276,0.00011905069396367942
kalman_corr_top1,kalman_ar1,2,18924,83,-0.022555659393722838,-0.029289617121087137,-0.017674572346507947,8.814047972315237,1.6870817633452014e-13
kalman_pred_lag1_top1,kalman_own_ridge,2,18924,83,-0.03298954130555676,-0.04262557639173191,-0.024759518719685254,7.865864436964906,1.2873771266277694e-11
kalman_pred_lag1_top1,kalman_corr_top1,2,18924,83,-0.02306208774778362,-0.030843908606958292,-0.01632721797569093,6.351992549447235,1.1209100502077261e-08
fusion_corr_top1,kalman_ar1,2,18924,83,-0.020596211554693822,-0.028907609458062266,-0.01281183831856914,5.170757678196479,1.6167318578760448e-06
fusion_corr_top1_mle,kalman_ar1,2,18924,83,-0.05267990411942791,-0.06655300886664693,-0.038991401000068315,7.904241440575532,1.0809850287863774e-11
fusion_corr_top1,kalman_own_ridge,2,18924,83,-0.0077688462285216975,-0.017153660083426385,0.0011139210840050322,1.7700725052102908,0.08043210230028476
fusion_corr_top1,kalman_corr_top1,2,18924,83,0.0019162260958889288,-0.0053662602406200025,0.009964405710815406,-0.5284840922847149,0.598590867424106
coupled_corr_top1,kalman_ar1,2,18924,83,-0.007517921418583207,-0.013892279323227202,-0.0003825426649705117,2.287895070121432,0.024718593425184555
coupled_corr_top1,kalman_own_ridge,2,18924,83,0.005145069394418722,-0.002938984181187182,0.013755209215350483,-1.2708302022027866,0.20738256962449578
coupled_corr_top1,kalman_corr_top1,2,18924,83,0.01470603368823531,0.008196369503109802,0.022555011256083245,-4.158083605422418,7.847940357221978e-05
kalman_corr_top1,kalman_own_ridge,3,18696,82,-0.01160173364981576,-0.017434050208583973,-0.006863848438153733,4.42473645574272,2.9816003617275317e-05
