model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_ridge_twin,dm_p,skill_vs_ridge_own
ridge_own,1,0.665129741500829,19152,,,,,,0.0
ridge_corr_top1,1,0.6668492627788989,19152,,,,,,-0.005177167279919459
ridge_corr_top1_2hop,1,0.6673545898758423,19152,,,,,,-0.006701157013806469
mlp_own_s2,1,0.6678392897310147,19152,,,,3.751973000135576,0.00032400014556976757,-0.008164022814904026
gbm_own,1,0.6680327704589388,19152,,,,5.057473491148428,2.501587540359057e-06,-0.008748260872200264
mlp_own_s1,1,0.6687499870336566,19152,,,,3.2487731596072327,0.0016741720178187868,-0.010915458001936384
gbm_corr_top1,1,0.6691061902467098,19152,20.0,13.0,0.38095238095238093,3.1765380386089386,0.0020931764778454242,-0.011992653488537952
mlp_corr_top1_s2,1,0.6693420290796259,19152,,,,2.6428915746245676,0.009824319373179295,-0.012706170210167844
gbm_corr_top1_2hop,1,0.6694577942085691,19152,20.0,7.0,0.6666666666666666,3.1323610649341775,0.002395719265134438,-0.01305650290550986
mlp_corr_top1_s0,1,0.6696027299198721,19152,,,,3.4265319561893532,0.0009532178047918716,-0.01349519810045341
mlp_corr_top1_s1,1,0.6699273325155295,19152,,,,3.171101751121898,0.00212838082861039,-0.014478058228393209
mlp_own_s0,1,0.6701812173640885,19152,,,,4.132894567110757,8.514026917905707e-05,-0.015247124961534242
ridge_own,2,0.8477908265719529,18924,,,,,,0.0
mlp_own_s1,2,0.8510775405415753,18924,,,,2.8812260200701134,0.005054205781860301,-0.0077686260097336035
gbm_own,2,0.8511885755504915,18924,,,,5.690104637090181,1.9052248413644967e-07,-0.008031598282763674
ridge_corr_top1,2,0.8518942358999668,18924,,,,,,-0.009703666743851258
mlp_own_s0,2,0.8526634634574158,18924,,,,3.8202481927144825,0.00025827037978263986,-0.011527936738745748
ridge_corr_top1_2hop,2,0.8530210492768198,18924,,,,,,-0.012376533887060948
gbm_corr_top1,2,0.8533290699667142,18924,20.0,2.0,0.9047619047619048,1.6861634159910874,0.09556587784663091,-0.013107791853429474
mlp_own_s2,2,0.854899258097517,18924,,,,3.9257728938211693,0.00017915333073246115,-0.01683960752141389
gbm_corr_top1_2hop,2,0.8549144073434305,18924,20.0,1.0,0.9523809523809523,2.119274922081447,0.03709208814517451,-0.016875645661836858
mlp_corr_top1_s1,2,0.8553141373286459,18924,,,,2.3915732552530544,0.019065013724667724,-0.01782678348493394
mlp_corr_top1_s0,2,0.8574468062241118,18924,,,,4.931940713389002,4.192761353934906e-06,-0.022908878260910148
mlp_corr_top1_s2,2,0.8591377265858818,18924,,,,3.565544415805797,0.0006091068333341896,-0.02694729304239507
ridge_own,3,0.9314155771801275,18696,,,,,,0.0
ridge_corr_top1,3,0.9368030140609305,18696,,,,,,-0.01160173364981576
gbm_own,3,0.9372523888342537,18696,,,,5.769550735474828,1.402639194151859e-07,-0.012572476321635051
ridge_corr_top1_2hop,3,0.9382494622947485,18696,,,,,,-0.014728024131873685
mlp_own_s0,3,0.939784912363354,18696,,,,4.74212873319709,8.938939784151186e-06,-0.018051956981254058
gbm_corr_top1,3,0.9406758642305948,18696,20.0,0.0,1.0,3.437914736207173,0.0009282463405976902,-0.01998317599120547
mlp_own_s1,3,0.9409972995660635,18696,,,,5.345539864221804,8.124909284996931e-07,-0.020680365453756844
mlp_own_s2,3,0.942667811976515,18696,,,,4.549094241874902,1.8693208118553033e-05,-0.024307522891658717
gbm_corr_top1_2hop,3,0.9429985121013371,18696,20.0,0.0,1.0,3.7233747531026973,0.0003618653322089174,-0.025026329746690834
mlp_corr_top1_s0,3,0.9431494250784372,18696,,,,5.200679717311114,1.461958971076633e-06,-0.025354436633285626
mlp_corr_top1_s1,3,0.9447593379784531,18696,,,,2.9257930595145503,0.004456384678361653,-0.028857890385385776
mlp_corr_top1_s2,3,0.9453809335349115,18696,,,,3.10666261806773,0.0026087293133497383,-0.03021219058588942
