model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,skill_vs_kalman,skill_vs_own_ridge
kalman_ar1,1,0.6641524640095269,19152,,,,0.0,0.002936448249793444
kalman_own_ridge,1,0.665129741500829,19152,,,,-0.0029450963728829826,0.0
kalman_pred_lag1_top1,1,0.6742798424271318,19152,50.0,0.0,1.0,-0.030729668301873847,-0.027702983971378492
kalman_pred_lag1_top2,1,0.678956550621192,19152,50.0,0.0,1.0,-0.045077238726964675,-0.04200842349840617
kalman_ar1,2,0.8424462498738764,18924,,,,0.0,0.012568501804089305
kalman_own_ridge,2,0.8477908265719529,18924,,,,-0.012728479724469777,0.0
kalman_pred_lag1_top1,2,0.8616614734719436,18924,50.0,0.0,1.0,-0.04613792773765368,-0.03298954130555676
kalman_pred_lag1_top2,2,0.8702820072841088,18924,50.0,0.0,1.0,-0.06717491152532173,-0.05376212172453654
kalman_own_ridge,3,0.9314155771801275,18696,,,,0.004301591865239485,0.0
kalman_ar1,3,0.9334253482555611,18696,,,,0.0,-0.004320175497013912
kalman_pred_lag1_top1,3,0.9465916578780149,18696,50.0,0.0,1.0,-0.028409700849936215,-0.03285261124043992
kalman_pred_lag1_top2,3,0.9561066450155001,18696,50.0,0.0,1.0,-0.04918842872145168,-0.05372110686296461
kalman_own_ridge,4,0.9969605266268762,18468,,,,0.017355502484758256,0.0
kalman_ar1,4,1.0057261676217673,18468,,,,0.0,-0.017662035994344016
kalman_pred_lag1_top1,4,1.0127864794944619,18468,50.0,0.0,1.0,-0.014089509045759563,-0.032000394456012105
kalman_pred_lag1_top2,4,1.0228528999755047,18468,50.0,0.0,1.0,-0.03434843470907811,-0.052617133993602794
kalman_own_ridge,5,1.0678062360157128,18240,,,,0.011751181884625095,0.0
kalman_ar1,5,1.074136070898854,18240,,,,0.0,-0.011890914179927714
kalman_pred_lag1_top1,5,1.0858000963275773,18240,50.0,0.0,1.0,-0.021835883690875635,-0.03398644648981475
kalman_pred_lag1_top2,5,1.0976193594765955,18240,50.0,0.0,1.0,-0.04420294745882769,-0.05661947509348808
kalman_ar1,6,1.1315158403692906,18012,,,,0.0,0.005347616710739689
kalman_own_ridge,6,1.1345534854424566,18012,,,,-0.005376367463229004,0.0
kalman_pred_lag1_top1,6,1.1544695179642288,18012,50.0,0.0,1.0,-0.04098306600051571,-0.0354162875611741
kalman_pred_lag1_top2,6,1.1683359438429328,18012,50.0,0.0,1.0,-0.06613990653389257,-0.0604385989537255
