model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
gbm_corr_top1_era5,1,0.6348271442299986,19152,-3.9152242431383746,0.00018443137268895357,20.0,20.0,0.047619047619047616,-7.833764774257883,1.3928665508173759e-11,0.08904223797621402
gbm_own_era5,1,0.6357043681317068,19152,-3.218304210349352,0.0018402996927942233,,,,-7.343055758027698,1.3007944600668125e-10,0.0865229189779515
ridge_own_era5,1,0.6422707623233135,19152,,,,,,-4.071668578231692,0.0001060759785499544,0.067554260501409
ridge_corr_top1_era5,1,0.6437056548607207,19152,,,20.0,0.0,1.0,-4.0956695982811935,9.733843688005323e-05,0.06338326572929631
mlp_corr_top1_era5_s1,1,0.6451762985090925,19152,0.6097824620190276,0.5436717337536878,,,,-4.357016820743622,3.748398426686998e-05,0.05909868965161458
mlp_corr_top1_era5_s0,1,0.6467659757008476,19152,1.301573110216798,0.1966634716186038,,,,-4.381531939185099,3.421745593244815e-05,0.05445632429614
mlp_corr_top1_era5_s2,1,0.6495304033850541,19152,2.073366780345283,0.04123919388663882,,,,-3.2608597052335107,0.0016122490804990112,0.04635610445825411
mlp_own_era5_s1,1,0.6505748609552029,19152,3.0187152025873494,0.003371306092108431,,,,-2.6130894418988078,0.01065045472022397,0.043286682589518954
mlp_own_era5_s0,1,0.6506860093745398,19152,3.1171502124725308,0.0025089955725127776,,,,-3.0520906199474283,0.0030520972499784764,0.04295975247574857
mlp_own_era5_s2,1,0.6514569055831917,19152,4.312231936160226,4.424572862379539e-05,,,,-2.8135582109532455,0.006115490488206145,0.040690714177479825
kalman_ar1,1,0.6641524640095269,19152,,,,,,,,0.002936448249793444
ridge_own,1,0.665129741500829,19152,,,,,,,,0.0
ridge_corr_top1,1,0.6668492627788989,19152,,,20.0,0.0,1.0,,,-0.005177167279919459
mlp_own_s2,1,0.6678392897310147,19152,3.751973000135576,0.00032400014556976757,,,,,,-0.008164022814904026
gbm_own,1,0.6680327704589388,19152,5.057473491148428,2.501587540359057e-06,,,,,,-0.008748260872200264
mlp_own_s1,1,0.6687499870336566,19152,3.2487731596072327,0.0016741720178187868,,,,,,-0.010915458001936384
gbm_corr_top1,1,0.6691061902467098,19152,3.1765380386089386,0.0020931764778454242,,,,,,-0.011992653488537952
mlp_corr_top1_s2,1,0.6693420290796259,19152,2.6428915746245676,0.009824319373179295,,,,,,-0.012706170210167844
mlp_corr_top1_s0,1,0.6696027299198721,19152,3.4265319561893532,0.0009532178047918716,,,,,,-0.01349519810045341
mlp_corr_top1_s1,1,0.6699273325155295,19152,3.171101751121898,0.00212838082861039,,,,,,-0.014478058228393209
mlp_own_s0,1,0.6701812173640885,19152,4.132894567110757,8.514026917905707e-05,,,,,,-0.015247124961534242
gbm_corr_top1_era5,2,0.8355636783178543,18924,-5.470210308622406,4.760154629632361e-07,20.0,18.0,0.14285714285714285,-6.592836925597721,3.903907049972956e-09,0.028636724247663725
gbm_own_era5,2,0.8358938649278003,18924,-3.0038683288760053,0.0035342472086134073,,,,-5.808508218173075,1.1570057355556981e-07,0.02786887249335246
ridge_own_era5,2,0.8408110467796944,18924,,,,,,-2.037667518041948,0.04480758705734481,0.01639802566569548
kalman_ar1,2,0.8424462498738764,18924,,,,,,,,0.012568501804089305
ridge_corr_top1_era5,2,0.844707554053434,18924,,,20.0,0.0,1.0,-2.0725403550157666,0.04135622280811454,0.007260436774030099
ridge_own,2,0.8477908265719529,18924,,,,,,,,0.0
mlp_own_s1,2,0.8510775405415753,18924,2.8812260200701134,0.005054205781860301,,,,,,-0.0077686260097336035
gbm_own,2,0.8511885755504915,18924,5.690104637090181,1.9052248413644967e-07,,,,,,-0.008031598282763674
ridge_corr_top1,2,0.8518942358999668,18924,,,20.0,0.0,1.0,,,-0.009703666743851258
mlp_own_era5_s1,2,0.8522137465698819,18924,4.3723251618332295,3.581145210450223e-05,,,,0.28953863670600233,0.7729000454657925,-0.010461205838470544
mlp_own_s0,2,0.8526634634574158,18924,3.8202481927144825,0.00025827037978263986,,,,,,-0.011527936738745748
gbm_corr_top1,2,0.8533290699667142,18924,1.6861634159910874,0.09556587784663091,,,,,,-0.013107791853429474
mlp_own_era5_s2,2,0.8535604446726514,18924,3.775160726475972,0.0003014126932327662,,,,-0.25226427975727445,0.8014680332523026,-0.01365726169975634
mlp_own_s2,2,0.854899258097517,18924,3.9257728938211693,0.00017915333073246115,,,,,,-0.01683960752141389
mlp_own_era5_s0,2,0.8551174382779358,18924,4.4734020593901915,2.4550769433582356e-05,,,,0.5607076649600586,0.5765257503811835,-0.017358692213112148
mlp_corr_top1_s1,2,0.8553141373286459,18924,2.3915732552530544,0.019065013724667724,,,,,,-0.01782678348493394
mlp_corr_top1_s0,2,0.8574468062241118,18924,4.931940713389002,4.192761353934906e-06,,,,,,-0.022908878260910148
mlp_corr_top1_era5_s0,2,0.8583517548193733,18924,6.641619688114273,3.1488434927183782e-09,,,,0.21750626501424095,0.8283541367699714,-0.02506917188294744
mlp_corr_top1_s2,2,0.8591377265858818,18924,3.565544415805797,0.0006091068333341896,,,,,,-0.02694729304239507
mlp_corr_top1_era5_s2,2,0.8607173786445139,18924,4.574237250507385,1.677030295876838e-05,,,,0.31226501542972057,0.7556318089878048,-0.03072715440974827
mlp_corr_top1_era5_s1,2,0.8627371433757358,18924,3.6985841883934834,0.00039084462022589414,,,,1.2013975144902693,0.23305555551780036,-0.03557025161914695
ridge_own,3,0.9314155771801275,18696,,,,,,,,0.0
kalman_ar1,3,0.9334253482555611,18696,,,,,,,,-0.004320175497013912
gbm_own_era5,3,0.9338525826793665,18696,-0.1269550611461653,0.8992905971104095,,,,-1.4501770997842403,0.15087043490567018,-0.005239752726379443
gbm_corr_top1_era5,3,0.9340063758250247,18696,-2.693860984318786,0.008583264582938385,20.0,4.0,0.8095238095238095,-2.80117021096279,0.006366029157355134,-0.005570879323407274
ridge_own_era5,3,0.9341406861738559,18696,,,,,,0.9532370075274788,0.34330602637787716,-0.005860102801535039
ridge_corr_top1,3,0.9368030140609305,18696,,,20.0,0.0,1.0,,,-0.01160173364981576
gbm_own,3,0.9372523888342537,18696,5.769550735474828,1.402639194151859e-07,,,,,,-0.012572476321635051
mlp_own_s0,3,0.939784912363354,18696,4.74212873319709,8.938939784151186e-06,,,,,,-0.018051956981254058
ridge_corr_top1_era5,3,0.9399164808151471,18696,,,20.0,0.0,1.0,1.057186289335011,0.29356936469187406,-0.018337028371540942
gbm_corr_top1,3,0.9406758642305948,18696,3.437914736207173,0.0009282463405976902,,,,,,-0.01998317599120547
mlp_own_s1,3,0.9409972995660635,18696,5.345539864221804,8.124909284996931e-07,,,,,,-0.020680365453756844
mlp_own_s2,3,0.942667811976515,18696,4.549094241874902,1.8693208118553033e-05,,,,,,-0.024307522891658717
mlp_corr_top1_s0,3,0.9431494250784372,18696,5.200679717311114,1.461958971076633e-06,,,,,,-0.025354436633285626
mlp_own_era5_s2,3,0.944045955285568,18696,5.0751134210810465,2.4186852983044936e-06,,,,0.3373191579282915,0.7367488605322535,-0.027304706892471886
mlp_corr_top1_s1,3,0.9447593379784531,18696,2.9257930595145503,0.004456384678361653,,,,,,-0.028857890385385776
mlp_corr_top1_s2,3,0.9453809335349115,18696,3.10666261806773,0.0026087293133497383,,,,,,-0.03021219058588942
mlp_corr_top1_era5_s2,3,0.9463067485950847,18696,2.4282073824208457,0.0173892969355604,,,,0.21322438425342513,0.8316877038677172,-0.03223095984690638
mlp_corr_top1_era5_s0,3,0.9484321989293989,18696,3.750381189765225,0.0003302341850728246,,,,1.7642876958678593,0.0814536431113843,-0.03687304764082966
mlp_own_era5_s1,3,0.9484847029763946,18696,6.4937247842834145,6.2803925554301695e-09,,,,2.154116685013174,0.03420279538270187,-0.036987850866933236
mlp_own_era5_s0,3,0.950237546637441,18696,6.339245651745256,1.2299120288243754e-08,,,,3.21019215037332,0.0019023319918648619,-0.04082419562071449
mlp_corr_top1_era5_s1,3,0.9584806818732113,18696,3.487298399224356,0.0007912739054457003,,,,2.006263098069851,0.048165490604064665,-0.05896043553521069
