model,vs,horizon,skill,ci_lo,ci_hi,dm_stat,dm_p
hybrid_kalman_li,kalman_corr_top1,3,0.0787192551792465,-0.01268890709322042,0.1675194810676806,-1.452216200054906,0.1518299798821604
hybrid_kalman_li,kalman_corr_top1,4,0.16541034951825606,0.08986915684812379,0.23177772990943962,-3.4977575369797864,0.0009076401209287455
hybrid_kalman_li,kalman_corr_top1,5,0.2551025431370446,0.1975993732362056,0.30621052828085893,-5.768080672045083,3.27677147905033e-07
hybrid_kalman_li,kalman_corr_top1,6,0.3250986266614714,0.28081897010140083,0.36457790400969675,-7.138615277249078,1.7146183995442333e-09
hybrid_kalman_li,kalman_corr_top1,all,0.18022058203819458,,,-5.041352086147182,4.165149149889489e-06
hybrid_kalman_li,li_lstm_full,1,0.42631287905569926,0.35743024414579405,0.4997759736772218,-9.48189168730548,2.146342017677076e-13
hybrid_kalman_li,li_lstm_full,2,0.06115838368014359,-0.05577430061485468,0.16849490306422837,-1.0930172677042018,0.2789053159959107
hybrid_kalman_li,li_lstm_full,all,0.06727153080584902,,,-3.6593887423820224,0.0005185714610002811
hybrid_kalman_li,damped_persistence_rho,1,-0.010225600903820187,-0.0401162902918069,0.02339055320243953,0.5931227652536422,0.5554048478804485
hybrid_kalman_li,damped_persistence_rho,2,0.02137365273332159,-0.00019330414243665095,0.04416834611253783,-1.6358234733165264,0.10729243542324042
hybrid_kalman_li,damped_persistence_rho,3,0.1596780363078919,0.07938962307329286,0.24201835419634865,-2.9414298210238283,0.004687994723994917
hybrid_kalman_li,damped_persistence_rho,4,0.2816907164846648,0.22145314945763359,0.341185515856902,-5.818035459294163,2.7142505002746894e-07
hybrid_kalman_li,damped_persistence_rho,5,0.3466763032987523,0.2962746909381896,0.39904179719286065,-7.241940395417975,1.1494569573690778e-09
hybrid_kalman_li,damped_persistence_rho,6,0.3951243867933685,0.35724694333382473,0.43684078886070155,-8.50003165498471,8.943234752285254e-12
hybrid_kalman_li,damped_persistence_rho,all,0.25889045704956715,,,-6.039919308968867,9.077613681977338e-08
hybrid_era5_li,ridge_corr_top1_era5,3,0.0768272610837083,-0.022671887557068664,0.16996454031104832,-1.339312533366236,0.18569391406717642
hybrid_era5_li,li_lstm_full,1,0.47868323073564856,0.3983554663561289,0.553659589890471,-9.23970484684985,5.346522055950478e-13
hybrid_era5_li,li_lstm_full,2,0.09588621079197557,-0.023479471498065632,0.2070183455400622,-1.627804813725279,0.10898709187794796
hybrid_era5_li,li_lstm_full,all,0.07961686349706143,,,-3.426569328982086,0.0010813898079102924
hybrid_era5_li,damped_persistence_rho,1,0.08199517251765209,-0.001111665395214467,0.13973257629181535,-2.332419966250603,0.023170720645751305
hybrid_era5_li,damped_persistence_rho,2,0.057573120251794174,0.018327579044265928,0.09194339547695767,-2.855887165708809,0.005946282029496004
hybrid_era5_li,damped_persistence_rho,3,0.1596780363078919,0.07938962307329286,0.24201835419634865,-2.9414298210238283,0.004687994723994917
hybrid_era5_li,damped_persistence_rho,4,0.2816907164846648,0.22145314945763359,0.341185515856902,-5.818035459294163,2.7142505002746894e-07
hybrid_era5_li,damped_persistence_rho,5,0.3466763032987523,0.2962746909381896,0.39904179719286065,-7.241940395417975,1.1494569573690778e-09
hybrid_era5_li,damped_persistence_rho,6,0.3951243867933685,0.35724694333382473,0.43684078886070155,-8.50003165498471,8.943234752285254e-12
hybrid_era5_li,damped_persistence_rho,all,0.26869957531981803,,,-6.515223385128998,1.3874504431165336e-08
hybrid_kalman_li_h1,kalman_corr_top1,2,-0.0651423867636769,-0.2026384548434581,0.052827859032076735,1.0930172677042018,0.2789053159959107
hybrid_kalman_li_h1,kalman_corr_top1,3,0.0787192551792465,-0.01268890709322042,0.1675194810676806,-1.452216200054906,0.1518299798821604
hybrid_kalman_li_h1,kalman_corr_top1,4,0.16541034951825606,0.08986915684812379,0.23177772990943962,-3.4977575369797864,0.0009076401209287455
hybrid_kalman_li_h1,kalman_corr_top1,5,0.2551025431370446,0.1975993732362056,0.30621052828085893,-5.768080672045083,3.27677147905033e-07
hybrid_kalman_li_h1,kalman_corr_top1,6,0.3250986266614714,0.28081897010140083,0.36457790400969675,-7.138615277249078,1.7146183995442333e-09
hybrid_kalman_li_h1,kalman_corr_top1,all,0.17215941226121478,,,-4.201158911369855,8.519641490805538e-05
hybrid_kalman_li_h1,li_lstm_full,1,0.42631287905569926,0.35743024414579405,0.4997759736772218,-9.48189168730548,2.146342017677076e-13
hybrid_kalman_li_h1,li_lstm_full,all,0.05809969460057973,,,-4.988531997988674,5.067777196221981e-06
