model,horizon,rmse_std,n,n_months,n_basins,skill_vs_damped
ridge_corr_top1_era5,1,0.6685707547187204,3953,59,67,0.08199517251765187
hybrid_era5_li,1,0.6685707547187204,3953,59,67,0.08199517251765187
hybrid_era5_li_h1,1,0.6685707547187204,3953,59,67,0.08199517251765187
damped_persistence_rho,1,0.6977902434592415,3953,59,67,0.0
kalman_corr_top1,1,0.7013488316934455,3953,59,67,-0.010225600903820187
hybrid_kalman_li,1,0.7013488316934455,3953,59,67,-0.010225600903820187
hybrid_kalman_li_h1,1,0.7013488316934455,3953,59,67,-0.010225600903820187
li_lstm_full,1,0.9259691712791178,3953,59,67,-0.7609347744132171
li_lstm_nonseas,1,1.0123679275521889,3953,59,67,-1.1048782005823252
ridge_corr_top1_era5,2,0.9236033969659436,3953,59,67,0.05757312025179406
hybrid_era5_li,2,0.9236033969659436,3953,59,67,0.05757312025179406
kalman_corr_top1,2,0.9411744768573226,3953,59,67,0.021373652733321702
hybrid_kalman_li,2,0.9411744768573226,3953,59,67,0.021373652733321702
damped_persistence_rho,2,0.9513968064951476,3953,59,67,0.0
li_lstm_full,2,0.9713460424346555,3953,59,67,-0.04237640327744896
hybrid_kalman_li_h1,2,0.9713460424346555,3953,59,67,-0.04237640327744896
hybrid_era5_li_h1,2,0.9713460424346555,3953,59,67,-0.04237640327744896
li_lstm_nonseas,2,1.0457857822022547,3953,59,67,-0.2082647003709548
li_lstm_full,3,1.010266735352717,3953,59,67,0.159678036307892
hybrid_kalman_li,3,1.010266735352717,3953,59,67,0.159678036307892
hybrid_era5_li,3,1.010266735352717,3953,59,67,0.159678036307892
hybrid_kalman_li_h1,3,1.010266735352717,3953,59,67,0.159678036307892
hybrid_era5_li_h1,3,1.010266735352717,3953,59,67,0.159678036307892
ridge_corr_top1_era5,3,1.051464386843079,3953,59,67,0.08974569084594264
kalman_corr_top1,3,1.052543506374471,3953,59,67,0.08787634126055366
li_lstm_nonseas,3,1.0792064709584623,3953,59,67,0.041079309124668284
damped_persistence_rho,3,1.1020801898375912,3953,59,67,0.0
li_lstm_full,4,1.041854451847345,3953,59,67,0.2816907164846647
hybrid_kalman_li,4,1.041854451847345,3953,59,67,0.2816907164846647
hybrid_era5_li,4,1.041854451847345,3953,59,67,0.2816907164846647
hybrid_kalman_li_h1,4,1.041854451847345,3953,59,67,0.2816907164846647
hybrid_era5_li_h1,4,1.041854451847345,3953,59,67,0.2816907164846647
li_lstm_nonseas,4,1.1035041505603003,3953,59,67,0.19416650027393045
kalman_corr_top1,4,1.1404350447194296,3953,59,67,0.13932639459318585
damped_persistence_rho,4,1.229281404770499,3953,59,67,0.0
li_lstm_full,5,1.0747595664680438,3953,59,67,0.34667630329875254
hybrid_kalman_li,5,1.0747595664680438,3953,59,67,0.34667630329875254
hybrid_era5_li,5,1.0747595664680438,3953,59,67,0.34667630329875254
hybrid_kalman_li_h1,5,1.0747595664680438,3953,59,67,0.34667630329875254
hybrid_era5_li_h1,5,1.0747595664680438,3953,59,67,0.34667630329875254
li_lstm_nonseas,5,1.1372943895956842,3953,59,67,0.26843728119234
kalman_corr_top1,5,1.2452687043294797,3953,59,67,0.12293471983024251
damped_persistence_rho,5,1.329679931421431,3953,59,67,0.0
li_lstm_full,6,1.1087224576346313,3953,59,67,0.3951243867933686
hybrid_kalman_li,6,1.1087224576346313,3953,59,67,0.3951243867933686
hybrid_era5_li,6,1.1087224576346313,3953,59,67,0.3951243867933686
hybrid_kalman_li_h1,6,1.1087224576346313,3953,59,67,0.3951243867933686
hybrid_era5_li_h1,6,1.1087224576346313,3953,59,67,0.3951243867933686
li_lstm_nonseas,6,1.1679385313698962,3953,59,67,0.328786999778393
kalman_corr_top1,6,1.3495926006312622,3953,59,67,0.10375702717198709
damped_persistence_rho,6,1.4255741337639798,3953,59,67,0.0
hybrid_era5_li,all,0.9823868279284993,23718,64,67,0.26869957531981803
hybrid_kalman_li,all,0.9889533835304322,23718,64,67,0.25889045704956715
hybrid_era5_li_h1,all,0.9900314117399635,23718,64,67,0.2572738541732189
hybrid_kalman_li_h1,all,0.9938038460920036,23718,64,67,0.2516028749047057
li_lstm_full,all,1.023995868276587,23718,64,67,0.2054391310788134
kalman_corr_top1,all,1.092263234245128,23718,64,67,0.095964686704342
li_lstm_nonseas,all,1.0922822957702993,23718,64,67,0.09593313306103757
damped_persistence_rho,all,1.1487740534373219,23718,64,67,0.0
