subset,model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
all_matched,li_lstm_full,kalman_corr_top1,1,13393,59,-65.17835333108054,-90.75179266580773,-45.00802115206901,5.708188432754531,4.1049564949829436e-07
all_matched,li_lstm_full,kalman_corr_top1,2,13393,59,-40.06011671510716,-56.64939845172267,-27.88631731989416,5.38754900243309,1.3582186296278874e-06
all_matched,li_lstm_full,kalman_corr_top1,3,13393,59,-27.741115971711697,-36.90057724075908,-20.33564555808901,6.550104040895694,1.6628091903163456e-08
all_matched,li_lstm_full,kalman_corr_top1,4,13393,59,-29.38027225506443,-40.79101077330563,-21.52950747912864,6.186828923851157,6.691990310682598e-08
all_matched,li_lstm_full,kalman_corr_top1,5,13393,59,-31.910221830688293,-44.53908816984558,-21.215693170845256,5.360027953497809,1.503850847051706e-06
all_matched,li_lstm_full,kalman_corr_top1,6,13393,59,-29.715589778737087,-41.89487483066608,-20.41669028819265,5.751814647464911,3.483749965503492e-07
all_matched,li_lstm_full,kalman_ar1,1,13393,59,-65.92088800475237,-92.06543197142237,-45.50180374735058,5.7090098229659905,4.0923049320787486e-07
all_matched,li_lstm_full,kalman_ar1,2,13393,59,-41.16226827627173,-58.20052185299898,-28.646085061334016,5.390835916164332,1.3417833127469696e-06
all_matched,li_lstm_full,kalman_ar1,3,13393,59,-28.090979497391025,-37.49156286370973,-20.570540195799882,6.552329136589304,1.648637763913726e-08
all_matched,li_lstm_full,kalman_ar1,4,13393,59,-29.327077254837608,-40.8547423876255,-21.484624275467187,6.185733442154875,6.720032105508108e-08
all_matched,li_lstm_full,kalman_ar1,5,13393,59,-32.087814969756096,-44.84599445775572,-21.355522361626686,5.360685361267495,1.500198874407922e-06
all_matched,li_lstm_full,kalman_ar1,6,13393,59,-30.538531379261347,-43.05539941368221,-21.020585800124174,5.7579134429321295,3.404671300535669e-07
all_matched,li_lstm_full,ridge_own_perbasin,1,13393,59,-65.6199487082086,-91.95588843335965,-45.137314835282744,5.707837718059115,4.1103702023317424e-07
all_matched,li_lstm_full,ridge_own_perbasin,2,13393,59,-39.65237180048849,-56.28579768681031,-27.614007923765353,5.38578050476129,1.3671435056431654e-06
all_matched,li_lstm_full,ridge_own_perbasin,3,13393,59,-27.05569023972218,-36.36226752224936,-19.6776186720151,6.538543180117634,1.738414732268849e-08
all_matched,li_lstm_full,ridge_own_perbasin,4,13393,59,-28.223331541729255,-39.36224750728552,-20.49340670382915,6.175886384738518,6.977391323794173e-08
all_matched,li_lstm_full,ridge_own_perbasin,5,13393,59,-30.299161727586316,-42.32909380983538,-19.908621488627993,5.348840424832913,1.567359563926447e-06
all_matched,li_lstm_full,ridge_own_perbasin,6,13393,59,-27.918787425897268,-39.28435691218359,-18.91255245950516,5.736581863405276,3.689291275214213e-07
all_matched,li_lstm_full,damped_persistence_rho,1,13393,59,-64.75899095571597,-90.47605940263027,-44.50067073694635,5.706171065402054,4.136193708654803e-07
all_matched,li_lstm_full,damped_persistence_rho,2,13393,59,-38.30553457132627,-54.50839885951582,-26.35466581895069,5.380485773030414,1.3942110452962615e-06
all_matched,li_lstm_full,damped_persistence_rho,3,13393,59,-24.967081017647416,-33.623179644712316,-18.104419912698244,6.517745258332448,1.88314691075317e-08
all_matched,li_lstm_full,damped_persistence_rho,4,13393,59,-25.04147470400708,-35.14138678941116,-18.114879018645116,6.144653277303261,7.86022102264337e-08
all_matched,li_lstm_full,damped_persistence_rho,5,13393,59,-27.579020392125464,-39.02016161601426,-17.972267660147224,5.327715067138746,1.6945754769853278e-06
all_matched,li_lstm_full,damped_persistence_rho,6,13393,59,-26.12169123009148,-37.0727607866637,-17.618436231845532,5.717077084982699,3.9700800460365163e-07
all_matched,li_lstm_nonseas,kalman_corr_top1,1,13393,59,-51.49544558834885,-77.79217628482934,-25.9760737661078,5.044971125939281,4.773066781982055e-06
all_matched,li_lstm_nonseas,kalman_corr_top1,2,13393,59,-28.89876902538176,-44.47417955819784,-13.784034393987492,4.860204513548049,9.297807218122578e-06
all_matched,li_lstm_nonseas,kalman_corr_top1,3,13393,59,-35.190764844056815,-47.5752235617178,-21.649498764394,5.193444207208052,2.7769238687344913e-06
all_matched,li_lstm_nonseas,kalman_corr_top1,4,13393,59,-28.24307666183155,-39.53063416088239,-15.013365712678276,4.2211244590343515,8.66520313490125e-05
all_matched,li_lstm_nonseas,kalman_corr_top1,5,13393,59,-19.193019704653093,-28.72534305393685,-8.068277542231542,3.196431361587353,0.0022530744130890897
