subset,model,horizon,rmse_std,n,n_months,n_basins,skill_vs_damped
all_matched,kalman_ar1,1,0.6688193210904215,13393,59,227,0.01736224792704344
all_matched,kalman_own_ridge,1,0.6698782382201273,13393,59,227,0.014248236016247917
all_matched,ridge_own_perbasin,1,0.6703282326877202,13393,59,227,0.012923422626210268
all_matched,kalman_corr_top1,1,0.6725609996253461,13393,59,227,0.00633685116440641
all_matched,damped_persistence_rho,1,0.6747021405615069,13393,59,227,0.0
all_matched,persistence,1,0.6899257556542809,13393,59,227,-0.04563603073442479
all_matched,climatology_zero,1,1.4441183819701136,13393,59,227,-3.5812228286790786
all_matched,li_lstm_nonseas,1,4.872956035260239,13393,59,227,-51.16278976284627
all_matched,li_lstm_full,1,5.471289036834671,13393,59,227,-64.75899095571597
all_matched,kalman_ar1,2,0.8479103519392248,13393,59,227,0.06775569298659412
all_matched,kalman_own_ridge,2,0.853587870256807,13393,59,227,0.05522947663122868
all_matched,kalman_corr_top1,2,0.8592149626946628,13393,59,227,0.04273203010977655
all_matched,ridge_own_perbasin,2,0.8635131919482291,13393,59,227,0.03313059409601349
all_matched,damped_persistence_rho,2,0.878183084583894,13393,59,227,0.0
all_matched,persistence,2,0.9109558602081504,13393,59,227,-0.07603037959873249
all_matched,climatology_zero,2,1.4624911810599155,13393,59,227,-1.7734246855586533
all_matched,li_lstm_nonseas,2,4.698167383235139,13393,59,227,-27.62113392714389
all_matched,li_lstm_full,2,5.505692111165506,13393,59,227,-38.30553457132627
all_matched,kalman_own_ridge,3,0.9333416347976916,13393,59,227,0.11070396041286068
all_matched,kalman_ar1,3,0.9350823392939276,13393,59,227,0.10738375034858394
all_matched,kalman_corr_top1,3,0.9407564686720875,13393,59,227,0.09651799731070354
all_matched,ridge_own_perbasin,3,0.952178887749815,13393,59,227,0.07444511983945545
all_matched,persistence,3,0.9826565203989344,13393,59,227,0.01424597303715025
all_matched,damped_persistence_rho,3,0.9897316540562504,13393,59,227,0.0
all_matched,climatology_zero,3,1.478842386886142,13393,59,227,-1.232589404120445
all_matched,li_lstm_full,3,5.043465179493854,13393,59,227,-24.967081017647416
all_matched,li_lstm_nonseas,3,5.659474324021224,13393,59,227,-31.697704700165843
all_matched,kalman_own_ridge,4,0.998362539124773,13393,59,227,0.15623576826148733
all_matched,kalman_corr_top1,4,1.0062703533452209,13393,59,227,0.14281628270576363
all_matched,kalman_ar1,4,1.0071524874681694,13393,59,227,0.141312745531616
all_matched,ridge_own_perbasin,4,1.0259959486447616,13393,59,227,0.10888070147575946
all_matched,persistence,4,1.0273924619652741,13393,59,227,0.10645319304793555
all_matched,damped_persistence_rho,4,1.0868703000800848,13393,59,227,0.0
all_matched,climatology_zero,4,1.4968258874595377,13393,59,227,-0.8966497083783402
all_matched,li_lstm_nonseas,4,5.441594919570954,13393,59,227,-24.066689158109103
all_matched,li_lstm_full,4,5.54639133219189,13393,59,227,-25.041474704007083
all_matched,kalman_own_ridge,5,1.0764297467948922,13393,59,227,0.14546075184015417
all_matched,kalman_ar1,5,1.0822044331735072,13393,59,227,0.13626752270441278
all_matched,kalman_corr_top1,5,1.0851204496547497,13393,59,227,0.13160657077443494
all_matched,persistence,5,1.1017018198619604,13393,59,227,0.10486453064384782
all_matched,ridge_own_perbasin,5,1.1126972118269407,13393,59,227,0.08690780152950206
all_matched,damped_persistence_rho,5,1.1644468857619241,13393,59,227,0.0
all_matched,climatology_zero,5,1.5191554044448405,13393,59,227,-0.7020214871126209
all_matched,li_lstm_nonseas,5,4.876167130078637,13393,59,227,-16.535485627743103
all_matched,li_lstm_full,5,6.225057293393987,13393,59,227,-27.57902039212546
all_matched,kalman_ar1,6,1.1467367390151788,13393,59,227,0.14004584094471328
all_matched,kalman_own_ridge,6,1.151696725833072,13393,59,227,0.13259062364334462
all_matched,kalman_corr_top1,6,1.1619970628561607,13393,59,227,0.1170056826040009
all_matched,persistence,6,1.1646813713215336,13393,59,227,0.11292139201722518
all_matched,ridge_own_perbasin,6,1.1975521098427904,13393,59,227,0.0621428612942625
all_matched,damped_persistence_rho,6,1.2365909847287782,13393,59,227,0.0
all_matched,climatology_zero,6,1.5431643073453984,13393,59,227,-0.557299655363638
all_matched,li_lstm_nonseas,6,3.881312832697003,13393,59,227,-8.85156312219642
all_matched,li_lstm_full,6,6.439979125993916,13393,59,227,-26.121691230091475
joint_full_cells,persistence,1,0.6873241836860942,3953,59,67,0.029772758721853365
joint_full_cells,kalman_ar1,1,0.6946724121997725,3953,59,67,0.00891633501683986
joint_full_cells,ridge_own_perbasin,1,0.6956149579535192,3953,59,67,0.006225065247334793
joint_full_cells,kalman_own_ridge,1,0.6962646438908879,3953,59,67,0.004367879461706248
joint_full_cells,damped_persistence_rho,1,0.6977902434592415,3953,59,67,0.0
joint_full_cells,kalman_corr_top1,1,0.7013488316934455,3953,59,67,-0.010225600903820187
joint_full_cells,li_lstm_full,1,0.9259691712791178,3953,59,67,-0.7609347744132171
