model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_ridge_twin,dm_p,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
ridge_own_era5_flat12,1,0.6320031863117188,19152,,,,,,,,0.09712880029290227
lstm_own_era5_s0,1,0.6345192042227543,19152,,,,-3.4041542703720786,0.0010243278362492133,-7.014442945630222,5.725176366188798e-10,0.08992579283177493
lstm_own_era5_s1,1,0.6369121582709937,19152,,,,-2.515137629855722,0.013827385373362647,-5.291773543351256,9.693895401216032e-07,0.08304854708852427
lstm_corr_top1_era5_s0,1,0.6375432704279751,19152,20.0,0.0,1.0,-1.9241872437072114,0.057758154802826374,-6.396065624462529,8.908133479243263e-09,0.08123044417924308
lstm_corr_top1_era5_s1,1,0.6386139005696528,19152,20.0,0.0,1.0,-1.6384620073248328,0.10511092988593009,-6.6455469599829415,2.9671349237226236e-09,0.07814206301242588
ridge_own_era5,1,0.6422707623233135,19152,,,,,,-4.071668578231692,0.0001060759785499544,0.067554260501409
ridge_corr_top1_era5,1,0.6437056548607207,19152,,,,,,-4.0956695982811935,9.733843688005323e-05,0.06338326572929631
mlp_own_era5_flat12_s0,1,0.6493579751099252,19152,,,,8.379240939951563,1.1397626140789225e-12,,,0.04686235742242706
mlp_own_era5_flat12_s1,1,0.6579141665631201,19152,,,,8.409503997901977,9.91605275391288e-13,,,0.021579057043990213
ridge_own_flat12,1,0.6601074926718447,19152,,,,,,,,0.01504454715219361
kalman_ar1,1,0.6641524640095269,19152,,,,,,,,0.002936448249793444
lstm_own_s1,1,0.6648374360368364,19152,,,,-0.2346520402510995,0.8150567199487595,,,0.0008787495606347173
ridge_own,1,0.665129741500829,19152,,,,,,,,0.0
ridge_corr_top1,1,0.6668492627788989,19152,,,,,,,,-0.005177167279919459
lstm_own_s0,1,0.6671677870779333,19152,,,,1.6449742539398622,0.1037574153038595,,,-0.006137653665042153
lstm_corr_top1_s0,1,0.667368783672277,19152,20.0,0.0,1.0,0.410741261002187,0.6823207448040023,,,-0.006743980015142759
