model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_ridge_twin,dm_p,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
resmlp_corr_top2_era5_s0,1,0.6342957871519944,19152,20.0,9.0,0.5714285714285714,-4.486434985007752,2.3091770759749966e-05,-5.170004442551329,1.5904521473143214e-06,0.09056656246070471
resmlp_own_era5_s2,1,0.6351032336245905,19152,,,,-2.7538187891931742,0.0072354699571172765,,,0.08824970580476665
resmlp_own_era5_s1,1,0.6353458974159247,19152,,,,-3.0133984970518584,0.003424926126427409,,,0.08755283940759195
resmlp_corr_top1_era5_s2,1,0.6356402572864985,19152,20.0,6.0,0.7142857142857143,-3.318669463296307,0.0013446455428731173,-4.756287494260431,8.21293129601986e-06,0.0867071581859753
resmlp_corr_top2_era5_s1,1,0.6359674430116019,19152,20.0,1.0,0.9523809523809523,-3.2673437119023805,0.001579920599899831,-4.459395459474332,2.5567382377309027e-05,0.0857667102431432
resmlp_corr_top2_era5_s2,1,0.6359969394859737,19152,20.0,14.0,0.3333333333333333,-3.3577828536483514,0.0011878908492672932,-4.706111804920711,9.976742902772122e-06,0.08568190312145563
resmlp_corr_top1_era5_s0,1,0.638533079414471,19152,20.0,3.0,0.8571428571428571,-1.8349959217995493,0.07008862846286541,-3.35880858549017,0.0011840211105155181,0.07837538367364127
resmlp_own_era5_s0,1,0.638655919298191,19152,,,,-1.0844510486693761,0.28130486398915655,,,0.07802074848200569
resmlp_corr_top1_era5_s1,1,0.6394475569797694,19152,20.0,7.0,0.6666666666666666,-1.4895536604008661,0.1401318790961367,-3.332520889388646,0.0012870344008241363,0.07573367700046352
ridge_own_era5,1,0.6422707623233135,19152,,,,,,-4.071668578231692,0.0001060759785499544,0.067554260501409
ridge_corr_top1_era5,1,0.6437056548607207,19152,,,,,,-4.0956695982811935,9.733843688005323e-05,0.06338326572929631
ridge_corr_top2_era5,1,0.6454642021217566,19152,,,,,,-4.372701184589905,3.536107651027906e-05,0.058258766276271245
resmlp_corr_top1_s2,1,0.6614519289538909,19152,20.0,20.0,0.047619047619047616,-7.028485535894402,5.375405529355035e-10,,,0.011028357770437203
resmlp_corr_top2_s1,1,0.6615336321702874,19152,20.0,20.0,0.047619047619047616,-7.249223685413034,1.9886798091999186e-10,,,0.010784025110902484
resmlp_corr_top1_s0,1,0.6615863876686608,19152,20.0,20.0,0.047619047619047616,-8.103325633129648,4.050476074156075e-12,,,0.010626244281372488
resmlp_corr_top2_s2,1,0.6616294041141494,19152,20.0,20.0,0.047619047619047616,-8.435150280026154,8.812109106625618e-13,,,0.010497581640691589
resmlp_corr_top2_s0,1,0.6618833878326725,19152,20.0,20.0,0.047619047619047616,-8.305559616003194,1.599558173649211e-12,,,0.009737743158508838
resmlp_corr_top1_s1,1,0.6621053069410868,19152,20.0,20.0,0.047619047619047616,-8.065965576678513,4.807930263325234e-12,,,0.009073593062288499
kalman_ar1,1,0.6641524640095269,19152,,,,,,,,0.002936448249793444
ridge_own,1,0.665129741500829,19152,,,,,,,,0.0
ridge_corr_top1,1,0.6668492627788989,19152,,,,,,,,-0.005177167279919459
ridge_corr_top2,1,0.6695863235714459,19152,,,,,,,,-0.013445534170179574
resmlp_own_era5_s2,2,0.8324054742485264,18924,,,,-2.4591947169666715,0.016028364413664765,,,0.03596582644024238
resmlp_own_era5_s1,2,0.8337477396905227,18924,,,,-3.1262365081197383,0.0024496491295420884,,,0.03285428264480916
resmlp_corr_top1_era5_s0,2,0.834677362569476,18924,20.0,20.0,0.047619047619047616,-3.8847746615004017,0.00020665389693527898,-1.3822299828310398,0.17065463151169205,0.030696358904343857
resmlp_corr_top2_era5_s1,2,0.8348548520537802,18924,20.0,2.0,0.9047619047619048,-4.1868727034421545,7.0716539098913e-05,-1.5841805946071708,0.11700196060141681,0.03028408105206426
resmlp_corr_top2_era5_s0,2,0.835001256903303,18924,20.0,15.0,0.2857142857142857,-6.485907893316567,6.244004752449247e-09,-1.9148046306434372,0.05900452025264702,0.029943941538540075
resmlp_corr_top1_era5_s2,2,0.836387616731961,18924,20.0,6.0,0.7142857142857143,-3.1703644256805688,0.0021413607213071812,-0.9355465072090563,0.3522537673672051,0.02672008248388147
resmlp_corr_top1_era5_s1,2,0.8369434749555897,18924,20.0,10.0,0.5238095238095238,-2.5674679232154625,0.012059935744239613,-0.5938599657716845,0.5542405404346784,0.0254259805393261
resmlp_corr_top2_era5_s2,2,0.8377372338179598,18924,20.0,6.0,0.7142857142857143,-3.0969691498684124,0.002676417715246604,-0.8747375917081031,0.3842715917493203,0.023576528051754697
resmlp_own_era5_s0,2,0.8390222846222415,18924,,,,-0.6578292718902414,0.5124903569090895,,,0.02057865214304866
resmlp_corr_top1_s2,2,0.8397450288137269,18924,20.0,20.0,0.047619047619047616,-9.55288503334297,5.732878599171694e-15,,,0.01889055401353812
resmlp_corr_top1_s1,2,0.8398890492984418,18924,20.0,20.0,0.047619047619047616,-9.32347797020127,1.636481530542961e-14,,,0.018553994772488203
resmlp_corr_top1_s0,2,0.8402516126403528,18924,20.0,20.0,0.047619047619047616,-7.271289190664202,1.9010448316370696e-10,,,0.017706470572519173
ridge_own_era5,2,0.8408110467796944,18924,,,,,,-2.037667518041948,0.04480758705734481,0.01639802566569548
resmlp_corr_top2_s1,2,0.8414289398892641,18924,20.0,20.0,0.047619047619047616,-7.92464883181822,9.85032093847778e-12,,,0.014951840581129416
resmlp_corr_top2_s2,2,0.8415872459112497,18924,20.0,20.0,0.047619047619047616,-9.887733468749127,1.2444114333410287e-15,,,0.014581152772957573
kalman_ar1,2,0.8424462498738764,18924,,,,,,,,0.012568501804089305
resmlp_corr_top2_s0,2,0.8431607086136771,18924,20.0,20.0,0.047619047619047616,-8.537015124286823,6.001361898386861e-13,,,0.010892957010577464
ridge_corr_top1_era5,2,0.844707554053434,18924,,,,,,-2.0725403550157666,0.04135622280811454,0.007260436774030099
ridge_own,2,0.8477908265719529,18924,,,,,,,,0.0
ridge_corr_top2_era5,2,0.8489919373501505,18924,,,,,,-2.378999735315992,0.019683052920509116,-0.0028355145622858124
ridge_corr_top1,2,0.8518942358999668,18924,,,,,,,,-0.009703666743851258
ridge_corr_top2,2,0.8570503380882424,18924,,,,,,,,-0.021963147252394455
resmlp_corr_top1_s1,3,0.9224710178503411,18696,20.0,20.0,0.047619047619047616,-8.83693800946957,1.6693637520601568e-13,,,0.01911415570744912
resmlp_corr_top1_s0,3,0.9231627822545477,18696,20.0,20.0,0.047619047619047616,-7.064549276779606,5.060179085745893e-10,,,0.01764246430669536
resmlp_corr_top2_s2,3,0.9232623144081753,18696,20.0,20.0,0.047619047619047616,-9.181513086843806,3.4774388036460525e-14,,,0.01743062424125985
resmlp_corr_top1_era5_s2,3,0.9236059441417538,18696,20.0,20.0,0.047619047619047616,-5.664454021144449,2.178376936368791e-07,-0.21715210533271428,0.8286358509079393,0.01669908157824007
resmlp_corr_top2_s0,3,0.9237957001229423,18696,20.0,20.0,0.047619047619047616,-7.1860495234647335,2.942794709393632e-10,,,0.016294999298235968
resmlp_corr_top1_s2,3,0.9241026046578082,18696,20.0,20.0,0.047619047619047616,-9.164661607973215,3.754573061502756e-14,,,0.015641275374159713
resmlp_corr_top2_s1,3,0.9244436957761084,18696,20.0,20.0,0.047619047619047616,-6.67901303723417,2.7886032106093353e-09,,,0.01491447732997675
resmlp_own_era5_s2,3,0.9273947802343385,18696,,,,-3.1339255483380626,0.0024021226111431396,,,0.008615098183330061
resmlp_corr_top2_era5_s0,3,0.9283560109352909,18696,20.0,20.0,0.047619047619047616,-5.038832313210522,2.794510952752498e-06,1.4387238747708977,0.15408173022357133,0.006558922144057844
resmlp_corr_top2_era5_s2,3,0.9295735179091044,18696,20.0,9.0,0.5714285714285714,-3.911736135663104,0.0001896486002223985,1.374365493004858,0.17311898744684617,0.00395148588256522
resmlp_corr_top1_era5_s0,3,0.9305983745056003,18696,20.0,18.0,0.14285714285714285,-3.3529963811684476,0.001217424491456118,2.1184789344706245,0.03719910270276506,0.0017539843590635984
resmlp_corr_top2_era5_s1,3,0.9307437639553081,18696,20.0,6.0,0.7142857142857143,-4.31701042839282,4.443050507620579e-05,1.4058783948777953,0.16358468553922684,0.001442043611688204
ridge_own,3,0.9314155771801275,18696,,,,,,,,0.0
resmlp_own_era5_s0,3,0.9315199621306747,18696,,,,-0.9908973166855698,0.32468660203270455,,,-0.00022415515132712116
resmlp_corr_top1_era5_s1,3,0.931864018018493,18696,20.0,17.0,0.19047619047619047,-3.508681612037753,0.0007380979893614203,2.8899851270637242,0.004942411065171,-0.0009631550145345891
resmlp_own_era5_s1,3,0.9319946662028218,18696,,,,-0.868232709714256,0.38783211551845864,,,-0.001243846582343222
kalman_ar1,3,0.9334253482555611,18696,,,,,,,,-0.004320175497013912
ridge_own_era5,3,0.9341406861738559,18696,,,,,,0.9532370075274788,0.34330602637787716,-0.005860102801535039
ridge_corr_top1,3,0.9368030140609305,18696,,,,,,,,-0.01160173364981576
ridge_corr_top1_era5,3,0.9399164808151471,18696,,,,,,1.057186289335011,0.29356936469187406,-0.018337028371540942
ridge_corr_top2,3,0.942927609406153,18696,,,,,,,,-0.024872195045019474
ridge_corr_top2_era5,3,0.945926015009445,18696,,,,,,1.0338483202490776,0.30428395075059295,-0.03140051890364948
