model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
lstmres_oof_corr_top1_s0,1,0.6310285959968208,19152,,,20.0,20.0,0.047619047619047616,,,0.09991122636730054
lstmres_oof_corr_top1_s1,1,0.6324354781880963,19152,,,20.0,20.0,0.047619047619047616,,,0.09589324522622678
lstmres_corr_top1_s0,1,0.6325340631189357,19152,-8.350680890451933,1.2997964143687275e-12,20.0,20.0,0.047619047619047616,,,0.09561135639512452
lstmres_corr_top1_s1,1,0.6341206671097271,19152,-6.74235828326402,1.9307965215334454e-09,20.0,20.0,0.047619047619047616,,,0.09106865640656892
lstm_own_era5_s0,1,0.6345192042227543,19152,-3.4041542703720786,0.0010243278362492133,,,,,,0.08992579283177493
lstmres_corr_top1_hist12_s0,1,0.6352905292006765,19152,,,20.0,20.0,0.047619047619047616,,,0.08771186575732848
lstmres_nbrin_corr_top1_s0,1,0.635618781741232,19152,,,20.0,20.0,0.047619047619047616,,,0.08676886960281538
lstmres_oof_own_s0,1,0.6366527525541232,19152,,,,,,,,0.08379531885856728
lstm_own_era5_s1,1,0.6369121582709937,19152,-2.515137629855722,0.013827385373362647,,,,,,0.08304854708852427
lstmres_oof_own_s1,1,0.6369578577841664,19152,,,,,,,,0.08291695676541178
lstm_corr_top1_era5_s0,1,0.6375432704279751,19152,-1.9241872437072114,0.057758154802826374,,,,,,0.08123044417924308
lstmres_nbrin_corr_top1_s1,1,0.6385234305307694,19152,,,20.0,20.0,0.047619047619047616,,,0.07840323683219397
lstm_corr_top1_era5_s1,1,0.6386139005696528,19152,-1.6384620073248328,0.10511092988593009,,,,,,0.07814206301242588
lstmres_corr_top1_hist12_s1,1,0.6394209906079867,19152,,,20.0,19.0,0.09523809523809523,,,0.07581047420589071
lstmres_own_s0,1,0.6399694541644687,19152,-5.859891580958295,9.043067465447232e-08,,,,,,0.07422434653194221
lstmres_own_s1,1,0.6409470385677013,19152,-4.831839774682602,6.115563994792328e-06,,,,,,0.07139385183332758
ridge_own_era5,1,0.6422707623233135,19152,,,,,,-4.071668578231692,0.0001060759785499544,0.067554260501409
ridge_corr_top1_era5,1,0.6437056548607207,19152,,,,,,-4.0956695982811935,9.733843688005323e-05,0.06338326572929631
