model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
lstmres_oof_corr_top1_s0,1,0.6310285959968208,19152,,,20.0,20.0,0.0476190476190476,,,0.0999112263673005
lstmres_oof_corr_top1_s1,1,0.6324354781880963,19152,,,20.0,20.0,0.0476190476190476,,,0.0958932452262267
lstmres_corr_top1_s0,1,0.6325340631189357,19152,-8.350680890451933,1.2997964143687278e-12,20.0,20.0,0.0476190476190476,,,0.0956113563951245
lstmres_corr_top1_s1,1,0.6341206671097271,19152,-6.74235828326402,1.930796521533445e-09,20.0,20.0,0.0476190476190476,,,0.0910686564065689
lstm_own_era5_s0,1,0.6345192042227543,19152,-3.404154270372078,0.0010243278362492,,,,,,0.0899257928317749
lstmres_corr_top1_hist12_s0,1,0.6352905292006765,19152,,,20.0,20.0,0.0476190476190476,,,0.0877118657573284
lstmres_nbrin_corr_top1_s0,1,0.635618781741232,19152,,,20.0,20.0,0.0476190476190476,,,0.0867688696028153
lstmres_oof_own_s0,1,0.6366527525541232,19152,,,,,,,,0.0837953188585672
lstm_own_era5_s1,1,0.6369121582709937,19152,-2.515137629855722,0.0138273853733626,,,,,,0.0830485470885242
lstmres_oof_own_s1,1,0.6369578577841664,19152,,,,,,,,0.0829169567654117
lstm_corr_top1_era5_s0,1,0.6375432704279751,19152,-1.9241872437072116,0.0577581548028263,,,,,,0.081230444179243
lstmres_nbrin_corr_top1_s1,1,0.6385234305307694,19152,,,20.0,20.0,0.0476190476190476,,,0.0784032368321939
lstm_corr_top1_era5_s1,1,0.6386139005696528,19152,-1.6384620073248328,0.10511092988593,,,,,,0.0781420630124258
lstmres_corr_top1_hist12_s1,1,0.6394209906079867,19152,,,20.0,19.0,0.0952380952380952,,,0.0758104742058907
lstmres_own_s0,1,0.6399694541644687,19152,-5.859891580958295,9.043067465447232e-08,,,,,,0.0742243465319422
lstmres_own_s1,1,0.6409470385677013,19152,-4.831839774682602,6.115563994792328e-06,,,,,,0.0713938518333275
ridge_own_era5,1,0.6422707623233135,19152,,,,,,-4.071668578231692,0.0001060759785499,0.067554260501409
ridge_corr_top1_era5,1,0.6437056548607207,19152,,,,,,-4.0956695982811935,9.733843688005323e-05,0.0633832657292963
kalman_ar1,1,0.6641524640095269,19152,,,,,,,,0.0029364482497934
ridge_own,1,0.665129741500829,19152,,,,,,,,0.0
ridge_corr_top1,1,0.6668492627788989,19152,,,,,,,,-0.0051771672799194
lstmres_oof_corr_top1_s0,2,0.8232955873906131,18924,,,20.0,20.0,0.0476190476190476,,,0.0569512376870273
lstmres_corr_top1_s0,2,0.8240623984612289,18924,-7.940910283779983,9.146916824421084e-12,20.0,20.0,0.0476190476190476,,,0.0551937231181892
lstmres_oof_corr_top1_s1,2,0.8280914147162936,18924,,,20.0,20.0,0.0476190476190476,,,0.0459324205995766
lstmres_corr_top1_s1,2,0.8295465634096959,18924,-6.481255881032496,6.372588511712304e-09,20.0,20.0,0.0476190476190476,,,0.0425764384980781
lstm_own_era5_s0,2,0.8313498437364238,18924,-4.991340439071053,3.314438124457674e-06,,,,,,0.0384093918301178
lstmres_nbrin_corr_top1_s0,2,0.8320421730317428,18924,,,20.0,20.0,0.0476190476190476,,,0.036807143249355
lstmres_oof_own_s0,2,0.8334431298529554,18924,,,,,,,,0.0335608471592038
lstmres_own_s0,2,0.8338339391440265,18924,-4.430633530055282,2.881930955052837e-05,,,,,,0.0326542899181875
lstmres_corr_top1_hist12_s0,2,0.8340377659098659,18924,,,20.0,12.0,0.4285714285714285,,,0.0321813059413294
lstm_corr_top1_era5_s0,2,0.835212018148677,18924,-4.574376934845104,1.676139973241102e-05,,,,,,0.0294541793406037
lstm_own_era5_s1,2,0.8363235965876238,18924,-2.549592360368546,0.0126469550609433,,,,,,0.0268690735374433
lstmres_corr_top1_hist12_s1,2,0.8367373469139527,18924,,,20.0,20.0,0.0476190476190476,,,0.0259059706513717
lstmres_oof_own_s1,2,0.8371016910419945,18924,,,,,,,,0.0250574780866235
lstmres_own_s1,2,0.8372305209912416,18924,-3.1094553790369406,0.0025773817436281,,,,,,0.0247573676889997
lstmres_nbrin_corr_top1_s1,2,0.83739753226038,18924,,,20.0,20.0,0.0476190476190476,,,0.0243682448584049
lstm_corr_top1_era5_s1,2,0.8384473807108724,18924,-2.9785864837569718,0.0038077565849284,,,,,,0.0219204049504571
ridge_own_era5,2,0.8408110467796944,18924,,,,,,-2.037667518041948,0.0448075870573448,0.0163980256656954
kalman_ar1,2,0.8424462498738764,18924,,,,,,,,0.0125685018040893
ridge_corr_top1_era5,2,0.844707554053434,18924,,,,,,-2.0725403550157666,0.0413562228081145,0.00726043677403
ridge_own,2,0.8477908265719529,18924,,,,,,,,0.0
ridge_corr_top1,2,0.8518942358999668,18924,,,,,,,,-0.0097036667438512
lstmres_oof_corr_top1_s0,3,0.9191655520892332,18696,,,20.0,20.0,0.0476190476190476,,,0.026131125379942
lstmres_corr_top1_s0,3,0.922258147761796,18696,-4.403771173515863,3.22360397697962e-05,20.0,20.0,0.0476190476190476,,,0.0195668033482352
lstmres_corr_top1_s1,3,0.9244149972323278,18696,-4.337404415560523,4.121564235560031e-05,20.0,20.0,0.0476190476190476,,,0.0149756386128379
lstmres_oof_corr_top1_s1,3,0.924709728550904,18696,,,20.0,20.0,0.0476190476190476,,,0.0143474276670765
lstm_own_era5_s0,3,0.927306323602482,18696,-2.267589027773392,0.0260179523344068,,,,,,0.0088042094203609
ridge_own,3,0.9314155771801276,18696,,,,,,,,0.0
lstm_own_era5_s1,3,0.9330196650158006,18696,-0.4157083501324835,0.6787226998740413,,,,,,-0.003447374423245
lstmres_nbrin_corr_top1_s1,3,0.9333652673492812,18696,,,20.0,20.0,0.0476190476190476,,,-0.0041908914047983
kalman_ar1,3,0.9334253482555612,18696,,,,,,,,-0.0043201754970139
lstmres_corr_top1_hist12_s0,3,0.9340223085684152,18696,,,20.0,0.0,1.0,,,-0.005605186668298
lstmres_oof_own_s0,3,0.9340540107177304,18696,,,,,,,,-0.0056734513906986
ridge_own_era5,3,0.934140686173856,18696,,,,,,0.9532370075274788,0.3433060263778771,-0.005860102801535
lstmres_nbrin_corr_top1_s0,3,0.9345615724622438,18696,,,20.0,19.0,0.0952380952380952,,,-0.0067667073514567
lstm_corr_top1_era5_s0,3,0.935000009534495,18696,-1.8139552872290692,0.0733876837987099,,,,,,-0.0077115512225911
lstmres_corr_top1_hist12_s1,3,0.935668152804788,18696,,,20.0,15.0,0.2857142857142857,,,-0.0091522704744466
lstm_corr_top1_era5_s1,3,0.9363196833254692,18696,-1.170094237108429,0.2453943459453748,,,,,,-0.0105581586995175
lstmres_own_s1,3,0.9366260401820748,18696,1.732622246701869,0.0869688026051894,,,,,,-0.0112195611551937
ridge_corr_top1,3,0.9368030140609304,18696,,,,,,,,-0.0116017336498157
lstmres_own_s0,3,0.9371991721036216,18696,1.7272586200554307,0.0879327272206931,,,,,,-0.0124574928496155
ridge_corr_top1_era5,3,0.9399164808151472,18696,,,,,,1.057186289335011,0.293569364691874,-0.0183370283715409
lstmres_oof_own_s1,3,0.9419576711944188,18696,,,,,,,,-0.0227648191973737
lstmres_oof_corr_top1_s0,4,0.98893721218942,18468,,,20.0,20.0,0.0476190476190476,,,0.0160307841837391
lstmres_corr_top1_s0,4,0.9900186585942208,18468,-3.6176376024545807,0.0005189443224214,20.0,20.0,0.0476190476190476,,,0.0138775801515315
lstmres_oof_corr_top1_s1,4,0.9916237764034244,18468,,,20.0,20.0,0.0476190476190476,,,0.0106773863445787
lstmres_corr_top1_s1,4,0.991984212870372,18468,-3.596031136248157,0.000557410553527,20.0,20.0,0.0476190476190476,,,0.009958055561054
ridge_own,4,0.9969605266268762,18468,,,,,,,,0.0
lstm_own_era5_s0,4,0.9978841720715688,18468,-2.4495624758381727,0.0164872149961776,,,,,,-0.0018537811296193
lstmres_nbrin_corr_top1_s1,4,1.0013333889249698,18468,,,20.0,20.0,0.0476190476190476,,,-0.0087916267340053
ridge_own_era5,4,1.0014345239043685,18468,,,,,,1.3151620434571496,0.1922126780366284,-0.0089954135521606
lstmres_corr_top1_hist12_s0,4,1.00164075045839,18468,,,20.0,6.0,0.7142857142857143,,,-0.0094110234945752
lstm_own_era5_s1,4,1.0017092000421886,18468,0.0978125516605684,0.9223257921744532,,,,,,-0.0095489893775617
ridge_corr_top1,4,1.0026282538369933,18468,,,,,,,,-0.011402332573285
lstm_corr_top1_era5_s1,4,1.0030839477996183,18468,-1.9462387746963776,0.0551370402240486,,,,,,-0.0123219050510796
lstmres_nbrin_corr_top1_s0,4,1.004157240596318,18468,,,20.0,20.0,0.0476190476190476,,,-0.0144894187357291
lstm_corr_top1_era5_s0,4,1.005301317568044,18468,-1.1222577674816474,0.2651098658927545,,,,,,-0.0168024333217038
kalman_ar1,4,1.0057261676217673,18468,,,,,,,,-0.017662035994344
lstmres_oof_own_s0,4,1.007127955331837,18468,,,,,,,,-0.0205008610059345
lstmres_own_s0,4,1.007880382477434,18468,2.927752566034151,0.0044446577263423,,,,,,-0.0220262667458599
ridge_corr_top1_era5,4,1.008053828199251,18468,,,,,,1.5409339538365685,0.1272792752063812,-0.0223780571754736
lstmres_corr_top1_hist12_s1,4,1.0082379833867714,18468,,,20.0,0.0,1.0,,,-0.0227516352822856
lstmres_oof_own_s1,4,1.010342133810886,18468,,,,,,,,-0.0270249693836648
lstmres_own_s1,4,1.0106980763536475,18468,3.68405239784856,0.0004158740856319,,,,,,-0.0277487366311985
lstmres_oof_corr_top1_s0,5,1.0598910676861042,18240,,,20.0,20.0,0.0476190476190476,,,0.0147701563610072
