subset,model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
all_matched,lstmres_corr_top1_ens,li_lstm_full,1,13393,59,0.986365042793339,0.98019024778146,0.9901937827469637,-5.714833789513693,4.003700359461913e-07
all_matched,lstmres_corr_top1_ens,li_lstm_full,2,13393,59,0.977367953884981,0.967522584808557,0.9839017104389622,-5.396091361989253,1.3159115235437578e-06
all_matched,lstmres_corr_top1_ens,li_lstm_full,3,13393,59,0.966656117989766,0.9550925895481309,0.9748289844042151,-6.561647902337932,1.590582257336537e-08
all_matched,lstmres_corr_top1_ens,li_lstm_full,4,13393,59,0.9681106142448217,0.9568429954025193,0.9768097347579084,-6.192605493949614,6.546034590834262e-08
all_matched,lstmres_corr_top1_ens,li_lstm_full,5,13393,59,0.9703656248610765,0.9559837562741084,0.97864213069486,-5.363307383863118,1.4857200313162954e-06
all_matched,lstmres_corr_top1_ens,li_lstm_full,6,13393,59,0.9682145053769403,0.9541495488318166,0.9773551721289313,-5.754648783655298,3.446778192815784e-07
all_matched,lstmres_corr_top1_s0,li_lstm_full,1,13393,59,0.9863491513014188,0.9802380151890928,0.9901625038696847,-5.714946063853964,4.0020110250952285e-07
all_matched,lstmres_corr_top1_s0,li_lstm_full,2,13393,59,0.9774297038735478,0.9676980713432742,0.9839233243349996,-5.396194426445724,1.31540910309436e-06
all_matched,lstmres_corr_top1_s0,li_lstm_full,3,13393,59,0.9666947395694953,0.9550808899085412,0.9748073876036274,-6.562226429470954,1.5870459258001627e-08
all_matched,lstmres_corr_top1_s0,li_lstm_full,4,13393,59,0.9681240731693462,0.9568961590140286,0.976816823743942,-6.19307771057399,6.534243920991654e-08
all_matched,lstmres_corr_top1_s0,li_lstm_full,5,13393,59,0.9704820398358881,0.9561601535635341,0.9787121408014863,-5.363818642757458,1.4829129470825907e-06
all_matched,lstmres_corr_top1_s0,li_lstm_full,6,13393,59,0.9683598601446065,0.9544834821625011,0.9773659571217336,-5.757614165575716,3.4085100241729165e-07
all_matched,lstmres_corr_top1_s1,li_lstm_full,1,13393,59,0.9861988426794407,0.9799327598166464,0.9901019656719681,-5.713599711313148,4.0223154632251136e-07
all_matched,lstmres_corr_top1_s1,li_lstm_full,2,13393,59,0.9770645140174454,0.9669783108903892,0.983652394763956,-5.394397016415977,1.3241983334510107e-06
