model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
lstmres_oof_corr_top1_s0,4,0.98893721218942,18468,,,20.0,20.0,0.047619047619047616,,,0.016030784183739155
lstmres_corr_top1_s0,4,0.9900186585942209,18468,-3.6176376024545807,0.0005189443224214546,20.0,20.0,0.047619047619047616,,,0.01387758015153151
lstmres_oof_corr_top1_s1,4,0.9916237764034244,18468,,,20.0,20.0,0.047619047619047616,,,0.01067738634457871
lstmres_corr_top1_s1,4,0.9919842128703721,18468,-3.596031136248157,0.0005574105535270752,20.0,20.0,0.047619047619047616,,,0.009958055561054002
ridge_own,4,0.9969605266268762,18468,,,,,,,,0.0
lstm_own_era5_s0,4,0.9978841720715687,18468,-2.4495624758381727,0.01648721499617762,,,,,,-0.001853781129619314
lstmres_nbrin_corr_top1_s1,4,1.0013333889249698,18468,,,20.0,20.0,0.047619047619047616,,,-0.008791626734005353
ridge_own_era5,4,1.0014345239043683,18468,,,,,,1.3151620434571496,0.1922126780366284,-0.008995413552160603
lstmres_corr_top1_hist12_s0,4,1.00164075045839,18468,,,20.0,6.0,0.7142857142857143,,,-0.009411023494575232
lstm_own_era5_s1,4,1.0017092000421886,18468,0.09781255166056844,0.9223257921744532,,,,,,-0.009548989377561767
ridge_corr_top1,4,1.0026282538369933,18468,,,,,,,,-0.011402332573285046
lstm_corr_top1_era5_s1,4,1.0030839477996185,18468,-1.9462387746963778,0.05513704022404866,,,,,,-0.012321905051079662
lstmres_nbrin_corr_top1_s0,4,1.004157240596318,18468,,,20.0,20.0,0.047619047619047616,,,-0.014489418735729176
lstm_corr_top1_era5_s0,4,1.0053013175680439,18468,-1.1222577674816474,0.26510986589275454,,,,,,-0.016802433321703836
kalman_ar1,4,1.0057261676217673,18468,,,,,,,,-0.017662035994344016
lstmres_oof_own_s0,4,1.007127955331837,18468,,,,,,,,-0.020500861005934512
lstmres_own_s0,4,1.007880382477434,18468,2.927752566034151,0.004444657726342352,,,,,,-0.022026266745859946
ridge_corr_top1_era5,4,1.008053828199251,18468,,,,,,1.5409339538365685,0.1272792752063812,-0.022378057175473698
lstmres_corr_top1_hist12_s1,4,1.0082379833867714,18468,,,20.0,0.0,1.0,,,-0.02275163528228563
lstmres_oof_own_s1,4,1.010342133810886,18468,,,,,,,,-0.027024969383664832
lstmres_own_s1,4,1.0106980763536477,18468,3.6840523978485598,0.00041587408563199227,,,,,,-0.02774873663119859
lstmres_oof_corr_top1_s0,5,1.0598910676861042,18240,,,20.0,20.0,0.047619047619047616,,,0.014770156361007203
lstmres_corr_top1_s0,5,1.0616406602771529,18240,-3.703838234803199,0.00039184465276590017,20.0,20.0,0.047619047619047616,,,0.011514777369741824
lstmres_oof_corr_top1_s1,5,1.0635514491977809,18240,,,20.0,20.0,0.047619047619047616,,,0.007953334323773542
lstmres_corr_top1_s1,5,1.0663947458050633,18240,-2.5562461147122044,0.012497826001041944,20.0,20.0,0.047619047619047616,,,0.0026419724233500697
ridge_own,5,1.0678062360157128,18240,,,,,,,,0.0
ridge_corr_top1,5,1.0739925828287988,18240,,,,,,,,-0.01162058608937433
kalman_ar1,5,1.074136070898854,18240,,,,,,,,-0.011890914179927714
ridge_own_era5,5,1.0744346029062417,18240,,,,,,1.8424897368064672,0.06915528816144718,-0.01245345706901535
lstmres_nbrin_corr_top1_s0,5,1.075301868071985,18240,,,20.0,20.0,0.047619047619047616,,,-0.014088586824928973
lstm_own_era5_s0,5,1.075313399927158,18240,0.4427750568113434,0.6591384714768448,,,,,,-0.014110337713251209
lstmres_nbrin_corr_top1_s1,5,1.0765646485933535,18240,,,20.0,20.0,0.047619047619047616,,,-0.016471774786851023
lstm_corr_top1_era5_s0,5,1.0771373278793188,18240,-1.6336573325483386,0.10631017210223599,,,,,,-0.017553488102389547
lstm_own_era5_s1,5,1.0783456905468523,18240,1.4027039067487637,0.16462292969388304,,,,,,-0.019837808402852097
lstmres_corr_top1_hist12_s1,5,1.0798495520326703,18240,,,20.0,14.0,0.3333333333333333,,,-0.022684324619486995
lstmres_oof_own_s0,5,1.0801618769855468,18240,,,,,,,,-0.023275992272367096
lstm_corr_top1_era5_s1,5,1.0803779887916678,18240,-0.5018773831397275,0.6171496838685193,,,,,,-0.023685494125553763
lstmres_corr_top1_hist12_s0,5,1.080705931944955,18240,,,20.0,1.0,0.9523809523809523,,,-0.024307057326613313
ridge_corr_top1_era5,5,1.0816585007538435,18240,,,,,,2.067075616800001,0.042002118547382075,-0.02611356720391589
lstmres_own_s0,5,1.0829589419367178,18240,4.18160517196979,7.430589396553554e-05,,,,,,-0.02858237319437018
lstmres_oof_own_s1,5,1.08343041267494,18240,,,,,,,,-0.029478163484801145
lstmres_own_s1,5,1.0854468263456352,18240,3.830504305688752,0.0002550401037838341,,,,,,-0.033313731590721485
lstmres_oof_corr_top1_s0,6,1.1264320471159677,18012,,,20.0,20.0,0.047619047619047616,,,0.014265295929695276
lstmres_corr_top1_s0,6,1.1278036851885134,18012,-4.852322647171425,6.1295199274796285e-06,20.0,20.0,0.047619047619047616,,,0.011863207937552467
kalman_ar1,6,1.1315158403692906,18012,,,,,,,,0.005347616710739689
lstmres_oof_corr_top1_s1,6,1.1315813341561451,18012,,,20.0,20.0,0.047619047619047616,,,0.005232469517632676
lstmres_corr_top1_s1,6,1.1326025972765037,18012,-3.265581097178347,0.001624162982145841,20.0,20.0,0.047619047619047616,,,0.003436084582530974
ridge_own,6,1.1345534854424566,18012,,,,,,,,0.0
lstmres_nbrin_corr_top1_s0,6,1.136999115112493,18012,,,20.0,20.0,0.047619047619047616,,,-0.004315822191214291
lstmres_nbrin_corr_top1_s1,6,1.140570380665805,18012,,,20.0,20.0,0.047619047619047616,,,-0.01063475640059841
lstm_own_era5_s0,6,1.1411496371686691,18012,-1.2953005526199002,0.1990371769880387,,,,,,-0.011661550399668208
ridge_corr_top1,6,1.1417817286791885,18012,,,,,,,,-0.012782594929370727
lstm_corr_top1_era5_s0,6,1.1430730762126038,18012,-2.5769873053257943,0.011852460601723175,,,,,,-0.015074791170097246
ridge_own_era5,6,1.1436845120756016,18012,,,,,,3.0708767590362696,0.0029372771821874573,-0.01616101940728476
lstm_corr_top1_era5_s1,6,1.1441978297102373,18012,-2.356288399204407,0.02096951263857815,,,,,,-0.01707338714983253
lstm_own_era5_s1,6,1.1503057715744829,18012,1.3434328774849975,0.1830273805921581,,,,,,-0.027961025577420084
lstmres_own_s0,6,1.1508975780891306,18012,5.499975021715428,4.6489794104647673e-07,,,,,,-0.029019023440299163
lstmres_oof_own_s0,6,1.150951947852982,18012,,,,,,,,-0.029116249890126955
ridge_corr_top1_era5,6,1.1519408920321066,18012,,,,,,3.264303087673274,0.0016306136349117815,-0.03088552578004844
lstmres_corr_top1_hist12_s0,6,1.152270105017473,18012,,,20.0,0.0,1.0,,,-0.031474843165454125
lstmres_corr_top1_hist12_s1,6,1.1546287226019585,18012,,,20.0,3.0,0.8571428571428571,,,-0.03570188096760041
lstmres_oof_own_s1,6,1.15475387517295,18012,,,,,,,,-0.03592641683021314
lstmres_own_s1,6,1.1582508142594055,18012,4.335230923004007,4.302889418749672e-05,,,,,,-0.04221010510216372
