basin_idx,id,name,prefix,centroid_lat,centroid_lon,area_km2,n_cells,continent,exclude_reason,below_resolution,glaciated,n_tiles,n_eff_tiles,contamination,contamination_all,max_tile_fill_land,mascon_area_km2,n_tiles_fp,n_eff_tiles_fp,contamination_fp,contamination_all_fp,max_tile_fill_land_fp,mascon_area_km2_fp,geometry_product,land_mask_source,area_ratio
27,1030000010,C_West_Red_Sea_Coast,C,20.37064552307129,36.37029266357422,243098.421875,336,africa,keep,False,False,10,7.217225890525726,0.49767890844120843,0.6994431757383319,1.0,243098.41723632812,16,8.007420423077637,0.486668725917046,0.5481829487327617,1.0,243098.41723632812,jpl,jpl_land_mask,0.9999999809185438
28,1030003990,C_South_Gulf_of_Aden_Coast,C,8.431546211242676,46.7910041809082,532753.375,696,africa,keep,False,False,13,7.230010479018906,0.15441197911884885,0.35568340447923835,1.0,532753.3604736328,22,7.469002182674796,0.15351171079647374,0.2062660384306484,1.0,532753.3604736328,jpl,jpl_land_mask,0.9999999727334112
29,1030008100,R_Shebelli_Juba_Rivers,R,4.114995956420898,41.25597381591797,807317.9375,1046,africa,keep,False,False,15,9.448913036179862,0.202451461725452,0.23273118706650917,1.0,807317.9295654297,17,9.495598214330691,0.20286005666519757,0.20958999937774037,1.0,807317.9295654297,jpl,jpl_land_mask,0.9999999901716908
30,1030008110,C_East_Central_Africa_Coast,C,-8.842026710510254,37.68485641479492,1026780.125,1347,africa,keep,False,False,18,12.432836425663332,0.1852874605704769,0.24961522667335273,1.0,1026780.123840332,25,12.495451155865167,0.17088381249488424,0.1997496046323752,1.0,1026780.123840332,jpl,jpl_land_mask,0.9999999988705781
31,1030011530,C_South_Zambezia_Coast,C,-18.405845642089844,36.37495422363281,5879.02783203125,8,africa,keep,True,False,1,1.0,0.9335888018352521,0.952486966275813,0.06641119816474794,5879.02783203125,2,1.2796107371336787,0.916313354097174,0.9465332405974504,0.24893030273383848,5879.02783203125,jpl,jpl_land_mask,1.0
32,1030011660,R_Zambezi_River,R,-14.893959999084473,27.693653106689453,1376693.75,1841,africa,keep,False,False,22,16.275421505020436,0.23574183084201905,0.23704830611287533,1.0,1376693.765625,22,16.275421505020436,0.23558429493239047,0.235741830842019,1.0,1376693.765625,jpl,jpl_land_mask,1.0000000113496557
33,1030011670,C_Indian_Ocean_Africa_Coast,C,-20.424480438232422,33.196754455566406,243745.15625,336,africa,keep,False,False,6,4.405351274725235,0.4562564609654615,0.518513617726107,0.7919396774681559,243745.15838623047,7,4.52578900714831,0.4451843707948633,0.4688685683307499,1.0,243745.15838623047,jpl,jpl_land_mask,1.0000000087641967
34,1030012590,R_Limpopo_River,R,-23.307178497314453,29.50295639038086,413093.1875,581,africa,keep,False,False,9,6.208233556880281,0.38162919049637706,0.3974012564346629,1.0,413093.21282958984,9,6.208233556880282,0.37853231166942164,0.381629190496377,1.0,413093.21282958984,jpl,jpl_land_mask,1.0000000613168907
35,1030012600,C_South_Africa_South_Coast,C,-30.293731689453125,27.534839630126953,388384.71875,582,africa,keep,False,False,11,6.193579062302945,0.26313339537514435,0.45425071905949477,1.0,388384.71533203125,16,6.321106550565693,0.23294444782818954,0.2814169033456183,1.0,388384.71533203125,jpl,jpl_land_mask,0.9999999911995282
36,1030015030,C_South_Africa_West_Coast,C,-31.5205020904541,18.847549438476562,109535.5078125,166,africa,keep,False,False,4,2.5140622141525824,0.4730095031078833,0.6065090072116938,1.0,109535.49084472656,8,2.6863920104785253,0.4814629176212862,0.5466249960097467,1.0,109535.49084472656,jpl,jpl_land_mask,0.9999998450933969
37,1030015850,R_Orange_River,R,-27.33736228942871,22.437862396240234,983929.4375,1432,africa,keep,False,False,17,10.688550516349453,0.17650381599885914,0.1808169924676585,1.0,983929.4053955078,18,10.688986606297778,0.1761753473381037,0.17688954049448574,1.0,983929.4053955078,jpl,jpl_land_mask,0.9999999673711437
38,1030015860,C_Namibia_Coast,C,-22.32147979736328,15.058770179748535,268245.71875,375,africa,keep,False,False,8,4.788912999252504,0.22658293755800607,0.49829705561554627,1.0,268245.7072753906,12,5.142595056070158,0.25540192300257863,0.30060815717526007,1.0,268245.7072753906,jpl,jpl_land_mask,0.9999999572235134
39,1030018110,C_Angola_Coast,C,-12.190860748291016,14.83316707611084,521596.40625,690,africa,keep,False,False,12,7.265974039813652,0.21837698703925798,0.35274002319500164,1.0,521596.35272216797,17,7.494081127563919,0.21318408109639933,0.2523502585789334,1.0,521596.35272216797,jpl,jpl_land_mask,0.9999998973769156
40,1030020040,R_Congo_River,R,-2.5096843242645264,22.909061431884766,3715698.25,4823,africa,keep,False,False,51,38.14142510643572,0.1309897647355371,0.13168159239932858,1.0,3715697.9489746094,53,38.16021217824507,0.12960482156837838,0.12973943525559692,1.0,3715697.9489746094,jpl,jpl_land_mask,0.9999999189855122
41,1030020050,C_Gulf_of_Guinea_Coast,C,1.326582431793213,11.635783195495605,700958.5,907,africa,keep,False,False,12,8.974904003056064,0.22126936176995698,0.2983100360118718,1.0,700958.469909668,15,9.515373288541404,0.22396686227153492,0.251018420969467,1.0,700958.469909668,jpl,jpl_land_mask,0.9999999570725913
42,1030021940,C_Nigerian_Delta,C,5.011028289794922,7.079521179199219,25460.255859375,33,africa,keep,True,False,2,1.271016162786404,0.7014266785159748,0.819397297902834,1.0,25460.25408935547,2,1.271016162786404,0.7595927038966555,0.819397297902834,0.5,25460.25408935547,jpl,jpl_land_mask,0.9999999304791145
43,1030022420,R_Niger_River,R,13.760977745056152,3.548226833343506,2137806.0,2850,africa,keep,False,False,39,24.7752908848383,0.231820197408855,0.23253777450513377,1.0,2137806.168273926,39,24.775290884838302,0.23231501795362786,0.23253777450513377,1.0,2137806.168273926,jpl,jpl_land_mask,1.0000000787133752
44,1030022430,C_Bight_of_Benin_Coast,C,7.379095077514648,3.409212112426758,209642.9375,273,africa,keep,False,False,7,4.120322296906442,0.32632353150886095,0.5398605060794495,1.0,209642.90991210938,9,4.756946716849913,0.34939803205259823,0.4107413200595893,1.0,209642.90991210938,jpl,jpl_land_mask,0.9999998684053422
45,1030023300,R_Volta_River,R,10.47368335723877,-1.4132455587387085,410240.78125,539,africa,keep,False,False,10,5.956192772126596,0.364078144616503,0.3718723053635046,0.9791036598350735,410240.8052368164,10,5.956192772126595,0.3639272770741874,0.36407814461650306,0.9791036598350735,410240.8052368164,jpl,jpl_land_mask,1.0000000584700925
