split,cut,stratum,n_basins,skill_pct,dm_stat,p,n_rows
area_km2,40000,sub_resolution,13,-0.7165880950905201,1.3529184265829952,0.17975556704894993,1092
area_km2,40000,resolved,215,-0.5041810800985314,2.547537731966728,0.012692871925702004,18060
area_km2,60000,sub_resolution,21,-0.9539896339668008,1.9328594936118693,0.056663680302563454,1764
area_km2,60000,resolved,207,-0.46545654154941385,2.3334640077612407,0.022042991896578875,17388
area_km2,80000,sub_resolution,26,-0.3608308619243994,0.8014120846932877,0.42518149038634645,2184
area_km2,80000,resolved,202,-0.5426296255361729,2.665503006058833,0.009236784016066885,16968
area_km2,90000,sub_resolution,32,-0.1354840686045078,0.3569020173039566,0.722070949080901,2688
area_km2,90000,resolved,196,-0.5950853190204164,2.8380030428851333,0.00570488433874356,16464
area_km2,100000,sub_resolution,36,-0.13986838670625446,0.3705153092526795,0.7119424716794843,3024
area_km2,100000,resolved,192,-0.5974649687487954,2.831868235372518,0.005805482858812817,16128
area_km2,120000,sub_resolution,48,0.2022751151412039,-0.733671001777176,0.4652166426271604,4032
area_km2,120000,resolved,180,-0.7426810565798636,3.3891329119839724,0.001074833840300659,15120
area_km2,150000,sub_resolution,52,0.17791058657401493,-0.7089561787648757,0.4803383123696715,4368
area_km2,150000,resolved,176,-0.7609621133548572,3.428006338436239,0.0009486999559013915,14784
area_km2,200000,sub_resolution,64,-0.1853489084604698,0.7187796532898638,0.47429540992822067,5376
area_km2,200000,resolved,164,-0.6752521488720298,3.0765280610533408,0.0028364238196743135,13776
