component,challenger,reference,horizon,n,rmse_a,rmse_b,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p,damped_ref,stat_name,stat_value
mission_split_term,kalman_mission,kalman_ar1,1.0,19422.0,1.058583945707029,1.048995163580747,-1.8365398834245594,-2.480973575331642,-1.202878923083765,5.715104007696372,1.7153436923188956e-07,,,
mission_vs_damped,kalman_mission,damped_persistence_rho,1.0,19422.0,1.058583945707029,1.076129198596155,3.2342257164553967,1.8727161358433522,4.485205953906965,-4.624681906046146,1.383628393127804e-05,damped_persistence_rho,,
published_vs_damped,kalman_ar1,damped_persistence_rho,1.0,19422.0,1.048995163580747,1.076129198596155,4.979318430972446,3.8709693935908174,6.085182119574094,-8.149136784745115,3.5377160107071306e-12,damped_persistence_rho,,
mission_split_term,kalman_mission,kalman_ar1,2.0,19188.0,1.2001363173681814,1.1953584266583883,-0.8010048373278122,-1.2086384453461514,-0.4094088313289993,4.072106939304813,0.00010782996956905865,,,
mission_vs_damped,kalman_mission,damped_persistence_reg,2.0,19188.0,1.2001363173681814,1.251639023756328,8.060324633740967,6.720594889623735,9.433910247661453,-10.705279435899682,3.562514638652163e-17,damped_persistence_reg,,
published_vs_damped,kalman_ar1,damped_persistence_reg,2.0,19188.0,1.1953584266583883,1.251639023756328,8.790913826076597,7.407199589695354,10.144485341131364,-11.614556074524188,6.33828330177373e-19,damped_persistence_reg,,
mission_split_term,kalman_mission,kalman_ar1,3.0,18954.0,1.277510968278393,1.2733980750571514,-0.6470145243129721,-0.9840310928164003,-0.3435169760942539,3.8109058346760634,0.00027064697198105726,,,
mission_vs_damped,kalman_mission,damped_persistence_reg,3.0,18954.0,1.277510968278393,1.3107963071227158,5.014162414362577,4.264381205398289,5.806493527796968,-10.727583427616704,3.7586439937364547e-17,damped_persistence_reg,,
published_vs_damped,kalman_ar1,damped_persistence_reg,3.0,18954.0,1.2733980750571514,1.3107963071227158,5.624783770717801,4.80277009672563,6.490629512650467,-11.682404541237714,5.664523568455729e-19,damped_persistence_reg,,
mission_split_term,kalman_mission,kalman_ar1,4.0,18720.0,1.3401302935388044,1.3362993470513527,-0.574188386306318,-0.9231807340940645,-0.27264577034006837,3.6123541597761726,0.0005314777107177209,,,
mission_vs_damped,kalman_mission,damped_persistence_reg,4.0,18720.0,1.3401302935388044,1.3572963220338743,2.5134492634825367,1.8093752272180785,3.316973320472627,-6.572521667535109,4.846936311955101e-09,damped_persistence_reg,,
published_vs_damped,kalman_ar1,damped_persistence_reg,4.0,18720.0,1.3362993470513527,1.3572963220338743,3.070010008859536,2.276834899029089,3.927536965557097,-7.758821189663757,2.5680437700158505e-11,damped_persistence_reg,,
mission_split_term,kalman_mission,kalman_ar1,5.0,18486.0,1.398798415586342,1.395072928851735,-0.5348051760570405,-0.9225158690904363,-0.25274710729348676,3.2014796185271712,0.0019790160014573487,,,
mission_vs_damped,kalman_mission,damped_persistence_reg,5.0,18486.0,1.398798415586342,1.4131989117740524,2.027616288684142,1.1843250917047516,2.889212542282908,-4.342485419951644,4.190098291800924e-05,damped_persistence_reg,,
published_vs_damped,kalman_ar1,damped_persistence_reg,5.0,18486.0,1.395072928851735,1.4131989117740524,2.548790401745804,1.7355117768359396,3.4608549049801978,-5.370600885525762,7.866022927196087e-07,damped_persistence_reg,,
mission_split_term,kalman_mission,kalman_ar1,6.0,18252.0,1.4511041781870804,1.4483805890107582,-0.3764411048614802,-0.6884811624259979,-0.1665295686938018,2.823576042343607,0.006042477209928901,,,
mission_vs_damped,kalman_mission,damped_persistence_reg,6.0,18252.0,1.4511041781870804,1.4754264132800077,3.2698019025214298,2.5239565725722137,4.223757834402537,-7.27171623942273,2.5323954371243003e-10,damped_persistence_reg,,
published_vs_damped,kalman_ar1,damped_persistence_reg,6.0,18252.0,1.4483805890107582,1.4754264132800077,3.632568526287694,2.7436441995143412,4.797557944114061,-6.799362788209047,1.9887363373338423e-09,damped_persistence_reg,,
diagnostic,,,,,,,,,,,,,n_fits,1170
diagnostic,,,,,,,,,,,,,n_fallback_r_fo,234
diagnostic,,,,,,,,,,,,,n_r_grace_at_boundary,216
diagnostic,,,,,,,,,,,,,n_r_fo_at_boundary,86
diagnostic,,,,,,,,,,,,,n_r_one_at_boundary,259
diagnostic,,,,,,,,,,,,,n_two_not_converged,0
diagnostic,,,,,,,,,,,,,n_one_not_converged,0
diagnostic,,,,,,,,,,,,,ratio_n,936
diagnostic,,,,,,,,,,,,,ratio_median,2.398750563904782
diagnostic,,,,,,,,,,,,,ratio_q25,1.091061390065378
diagnostic,,,,,,,,,,,,,ratio_q75,9.53087026469353
diagnostic,,,,,,,,,,,,,ratio_iqr,8.439808874628152
diagnostic,,,,,,,,,,,,,ratio_frac_lt_1,0.21581196581196582
diagnostic,,,,,,,,,,,,,lr_frac_p_lt_05,0.4166666666666667
diagnostic,,,,,,,,,,,,,perbasin_h1_helped_bh,0
diagnostic,,,,,,,,,,,,,perbasin_h1_hurt_bh,0
diagnostic,,,,,,,,,,,,,perbasin_h1_n_tested,234
diagnostic,,,,,,,,,,,,,max_abs_pred_diff_vs_published,8.881784197001252e-16
diagnostic,,,,,,,,,,,,,mission_split,2018-01-01
diagnostic,,,,,,,,,,,,,min_fo_obs,12
