tile,n_cells,area_km2
0,2955,13494.555294036865
1,890,11553.613876342773
2,920,12070.623748779297
3,985,14042.218278884888
4,991,14133.456935882568
5,991,14133.456935882568
6,985,14042.218278884888
7,472,11724.478122711182
8,485,12006.61872291565
9,485,12006.61872291565
10,472,11724.478122711182
11,538,13795.523792266846
12,538,13795.523792266846
13,430,11558.594890594482
14,442,11916.725078582764
15,397,11941.473180770874
16,397,11941.473180770874
17,397,11941.473180770874
18,397,11941.473180770874
19,307,11389.281394958496
20,309,11453.47216796875
21,309,11453.47216796875
22,307,11389.281394958496
23,308,11981.63703918457
24,309,12027.232982635498
25,309,12027.232982635498
26,308,11981.63703918457
27,359,14128.2027053833
28,359,14128.2027053833
29,359,14128.2027053833
30,359,14128.2027053833
31,290,11738.060325622559
32,292,11822.504264831543
33,308,13891.526538848877
34,308,13891.526538848877
35,308,13891.526538848877
36,308,13891.526538848877
37,238,11833.239112854004
38,238,11833.239112854004
39,238,11833.239112854004
40,238,11833.239112854004
41,234,11684.59358215332
42,235,11726.815551757812
43,235,11726.815551757812
44,234,11684.59358215332
45,268,13771.032676696777
46,268,13771.032676696777
47,213,11408.172718048096
48,212,11362.576774597168
49,212,11362.576774597168
50,213,11408.172718048096
51,218,11767.654403686523
52,218,11767.654403686523
53,248,13327.75638961792
54,248,13327.75638961792
55,248,13327.75638961792
56,248,13327.75638961792
57,196,11849.619075775146
58,196,11849.619075775146
59,196,11849.619075775146
60,196,11849.619075775146
61,193,11914.91146850586
62,193,11914.91146850586
63,193,11914.91146850586
64,193,11914.91146850586
65,186,11720.28615951538
66,186,11720.28615951538
67,186,11720.28615951538
68,186,11720.28615951538
69,183,11640.70796585083
70,183,11640.70796585083
71,183,11640.70796585083
72,183,11640.70796585083
73,212,13704.36916732788
74,212,13704.36916732788
75,212,13704.36916732788
76,212,13704.36916732788
77,172,11596.916343688965
78,172,11596.916343688965
79,171,11632.062698364258
80,171,11632.062698364258
81,171,11632.062698364258
82,171,11632.062698364258
83,205,13997.810810089111
84,205,13997.810810089111
85,205,13997.810810089111
86,205,13997.810810089111
87,153,11339.089447021484
88,153,11339.089447021484
89,153,11339.089447021484
90,153,11339.089447021484
91,155,11571.634635925293
92,155,11571.634635925293
93,155,11571.634635925293
94,155,11571.634635925293
95,183,13811.53800201416
96,183,13811.53800201416
97,183,13811.53800201416
98,183,13811.53800201416
99,151,11483.230934143066
100,152,11562.508483886719
101,152,11562.508483886719
102,151,11483.230934143066
103,180,13846.15005493164
104,180,13846.15005493164
