basin,model,n_lags,n_estimators,max_depth,n_train,n_test,train_start,train_end,test_start,test_end,rmse_cm,mae_cm,pearson_r,nse,r2
HyBas_1030000010_C_West_Red_Sea_Coast_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,2.4277029270156234,1.9224597461221689,0.44350526790401307,0.09272543006853651,0.09272543006853651
HyBas_1030003990_C_South_Gulf_of_Aden_Coast_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,2.3140266039846793,1.606557620994797,0.4978900523861477,0.23682466308291505,0.23682466308291505
HyBas_1030008100_R_Shebelli_Juba_Rivers_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,4.9350483323392105,3.4561109814189725,0.6362454907937944,0.09736030198497148,0.09736030198497148
HyBas_1030011530_C_South_Zambezia_Coast_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,5.020461453974339,3.747664758659346,0.7670226221912767,0.5286598551562676,0.5286598551562676
HyBas_1030011660_R_Zambezi_River_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,4.122766438133538,3.2669848648183573,0.944904761816055,0.8742763641853852,0.8742763641853852
HyBas_1030011670_C_Indian_Ocean_Africa_Coast_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,3.5383147693288346,2.63592290848606,0.8745127033989601,0.744673825180004,0.744673825180004
HyBas_1030012590_R_Limpopo_River_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,6.27001943059717,3.6679180423974964,0.7377034960949718,0.2863921047176433,0.2863921047176433
HyBas_1030012600_C_South_Africa_South_Coast_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,2.9920910963009795,2.448014202275531,0.48381028304858215,-0.9928974523486342,-0.9928974523486342
HyBas_1030015030_C_South_Africa_West_Coast_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,2.772644487399585,2.196231084484642,0.24567151445901012,-0.4858915967385953,-0.4858915967385953
HyBas_1030015850_R_Orange_River_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,2.0037702456156032,1.5470333997184162,0.7797059215239304,0.566079208180328,0.566079208180328
HyBas_1030015860_C_Namibia_Coast_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,1.66228182053174,1.3346148148253347,0.5008504514739219,0.19779390247962902,0.19779390247962902
HyBas_1030018110_C_Angola_Coast_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,4.569958507886601,3.502820394693613,0.8434306256082343,0.6696797040190972,0.6696797040190972
HyBas_1030020040_R_Congo_River_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,4.384781982278191,3.322805265921549,0.7434459777384016,0.3900019966047289,0.3900019966047289
HyBas_1030020050_C_Gulf_of_Guinea_Coast_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,3.3051235342167193,2.6513765443619493,0.8332251246993477,0.6837978939496305,0.6837978939496305
HyBas_1030021940_C_Nigerian_Delta_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,5.369475717688365,3.573269506501394,0.9631652106636249,0.895191566592412,0.895191566592412
HyBas_1030022420_R_Niger_River_Lev3_quartdeg,random_forest_own_lags,12,300,,196,49,2003-07-16 12:00:00,2022-04-16,2022-05-16 12:00:00,2026-05-16 12:00:00,4.408218068114245,3.595684358054313,0.9161569512909167,0.6294579714203051,0.6294579714203051
