basin,model,n_lags,n_estimators,max_depth,n_train,n_test,train_start,train_end,test_start,test_end,split_date,rmse_cm,mae_cm,pearson_r,nse,r2
HyBas_1030000010_C_West_Red_Sea_Coast_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,2.0243647700620016,1.4772709971749665,0.07015287053965537,-0.14031147097243357,-0.14031147097243357
HyBas_1030003990_C_South_Gulf_of_Aden_Coast_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,2.168941431853404,1.6240169352493363,0.5088907154168001,0.2572558155269219,0.2572558155269219
HyBas_1030008100_R_Shebelli_Juba_Rivers_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,5.191538822070985,4.069186670626495,0.7028536615460383,-0.06365874606311706,-0.06365874606311706
HyBas_1030011530_C_South_Zambezia_Coast_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,4.536812627258231,3.434624682902793,0.39685996792305483,-0.16399493993485614,-0.16399493993485614
HyBas_1030011660_R_Zambezi_River_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,3.2280024691549873,2.6632606531866907,0.8878253563837087,0.7651524999782533,0.7651524999782533
HyBas_1030011670_C_Indian_Ocean_Africa_Coast_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,3.333339991139542,2.731758621574933,0.675770396785444,0.43705559723390486,0.43705559723390486
HyBas_1030012590_R_Limpopo_River_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,5.281166315893155,3.349490378894106,0.6542780882907899,0.22192472934500407,0.22192472934500407
HyBas_1030012600_C_South_Africa_South_Coast_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,2.7894742507875723,2.306298635852256,0.5084806043008032,-1.023253249546387,-1.023253249546387
HyBas_1030015030_C_South_Africa_West_Coast_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,2.199304377696959,1.6993352316958652,0.29911762538564823,-0.2003097997376282,-0.2003097997376282
HyBas_1030015850_R_Orange_River_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,2.1785874929423508,1.757748694062304,0.7863168380380843,0.44524796359494456,0.44524796359494456
HyBas_1030015860_C_Namibia_Coast_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,2.0485393604298276,1.514880858482533,0.4017217645062061,-0.0027291093124712784,-0.0027291093124712784
HyBas_1030018110_C_Angola_Coast_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,3.511354266906771,2.7641814216638343,0.6866485233597592,0.4446970664640617,0.4446970664640617
HyBas_1030020040_R_Congo_River_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,3.5989253321519024,2.8272594674168774,0.6534141915943583,0.12707563422975954,0.12707563422975954
HyBas_1030020050_C_Gulf_of_Guinea_Coast_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,3.00993135887038,2.38189630019905,0.6046217462891376,0.3356173853531704,0.3356173853531704
HyBas_1030021940_C_Nigerian_Delta_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,3.790913315618789,2.7861391499712016,0.22422858156631825,-0.123219870326025,-0.123219870326025
HyBas_1030022420_R_Niger_River_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,4.51805474511043,3.555914128066462,0.5917084562077668,-0.9638468399451607,-0.9638468399451607
HyBas_1030022430_C_Bight_of_Benin_Coast_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,5.536728204918483,4.272526534889389,0.4860609707874708,-0.17299735207054234,-0.17299735207054234
HyBas_1030023300_R_Volta_River_Lev3_quartdeg,random_forest_own_lags_deseasonalized,12,300,,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,3.775409249923214,3.0727641407696655,0.022981629965371092,-1.2529923851873086,-1.2529923851873086
