basin,model,n_lags,alpha,n_train,n_test,train_start,train_end,test_start,test_end,split_date,rmse_cm,mae_cm,pearson_r,nse,r2
HyBas_1030000010_C_West_Red_Sea_Coast_Lev3_quartdeg,ridge_own_lags_deseasonalized,12,1.0,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,2.2814815974655613,1.8153024013987962,-0.13201950269839446,-0.4483712379230238,-0.4483712379230238
HyBas_1030003990_C_South_Gulf_of_Aden_Coast_Lev3_quartdeg,ridge_own_lags_deseasonalized,12,1.0,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,2.2062796768384914,1.6265567677481525,0.5198086579357011,0.23146307335650318,0.23146307335650318
HyBas_1030008100_R_Shebelli_Juba_Rivers_Lev3_quartdeg,ridge_own_lags_deseasonalized,12,1.0,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,3.404824900950292,2.0475732274772773,0.7649950177142092,0.54249097195246,0.54249097195246
HyBas_1030011530_C_South_Zambezia_Coast_Lev3_quartdeg,ridge_own_lags_deseasonalized,12,1.0,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,4.2124655178619586,3.341346453768265,0.43837545962918345,-0.0035109691568473433,-0.0035109691568473433
HyBas_1030011660_R_Zambezi_River_Lev3_quartdeg,ridge_own_lags_deseasonalized,12,1.0,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,3.013843889857114,2.2807300588750015,0.8941467024587288,0.7952802553611372,0.7952802553611372
HyBas_1030011670_C_Indian_Ocean_Africa_Coast_Lev3_quartdeg,ridge_own_lags_deseasonalized,12,1.0,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,2.9904657779093373,2.255118003415903,0.7444611618073192,0.5469105461504706,0.5469105461504706
HyBas_1030012590_R_Limpopo_River_Lev3_quartdeg,ridge_own_lags_deseasonalized,12,1.0,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,3.3543051395818253,2.5579535155516933,0.8543502265061418,0.6861175321621519,0.6861175321621519
HyBas_1030012600_C_South_Africa_South_Coast_Lev3_quartdeg,ridge_own_lags_deseasonalized,12,1.0,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,1.748805044473945,1.4312477603556244,0.5955665778216577,0.2047781077798292,0.2047781077798292
HyBas_1030015030_C_South_Africa_West_Coast_Lev3_quartdeg,ridge_own_lags_deseasonalized,12,1.0,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,2.139812050086315,1.488431652175809,0.22724905730003467,-0.13625009410819167,-0.13625009410819167
HyBas_1030015850_R_Orange_River_Lev3_quartdeg,ridge_own_lags_deseasonalized,12,1.0,193,52,2003-07-16 12:00:00,2022-01-16 12:00:00,2022-02-15,2026-05-16 12:00:00,2022-02-15,1.8136416115262357,1.451168061562346,0.8141513843329827,0.6155394029387717,0.6155394029387717
