challenger,reference,horizon,skill,ci_lo,ci_hi,dm_stat,dm_p
kalman_ar1,damped_persistence_rho,1,0.04979318430972446,0.038709693935908174,0.060851821195740945,-8.149136784745115,3.5377160107071306e-12
kalman_ar1,ridge_own_perbasin,1,0.019857458653107396,0.00893214235513434,0.03127453884096681,-3.5400255034880876,0.0006624566930421047
kalman_ar1,ridge_own_lags,1,0.03859149417729402,0.022906057569205118,0.05366669740418884,-4.7341939443966385,9.080398662770975e-06
kalman_own_ridge,ridge_own_perbasin,1,0.0181735637774032,0.007520681843512725,0.02905257033074516,-3.3232249445639503,0.00133138770801293
ridge_own_perbasin,damped_persistence_rho,1,0.03054221645708788,0.019071138279012325,0.04309841423014119,-4.586823193278774,1.5986242585985664e-05
ridge_own_flat12,kalman_ar1,1,0.008069260737833872,0.003175631081082081,0.012386370742946667,-3.0032445689230034,0.0035407704336335587
ridge_own_era5_flat12,kalman_ar1,1,0.0764606578842657,0.04701797037570824,0.10056909329237256,-6.351701958910541,1.122329768252129e-08
ridge_own_era5_flat12,damped_persistence_rho,1,0.12244662256351602,0.09639563510150034,0.14478268357147642,-11.202560839060038,3.2993857069567665e-18
kalman_ar1,damped_persistence_reg,2,0.08790913826076596,0.07407199589695354,0.10144485341131365,-11.614556074524188,6.33828330177373e-19
kalman_ar1,ridge_own_perbasin,2,0.030357109844699193,0.020371046585843898,0.04242747063547567,-5.358516332396871,7.705848785758029e-07
kalman_ar1,ridge_own_lags,2,0.04212740709428264,0.03132840842333035,0.0523040286793413,-7.90222284248378,1.1702338727417879e-11
kalman_own_ridge,ridge_own_perbasin,2,0.020586645724900654,0.011638651857429993,0.03136793266864785,-4.1152309499542,9.243725272687047e-05
ridge_own_perbasin,damped_persistence_reg,2,0.05935383943964068,0.0447715726578788,0.0706218862888146,-8.274472479061465,2.1600838653088392e-12
ridge_own_flat12,kalman_ar1,2,0.01482327073596923,0.009223210516882357,0.02064630257013355,-4.894726402685565,4.936138436966866e-06
ridge_own_era5_flat12,kalman_ar1,2,0.053879312234929366,0.033075547220495966,0.06960460080965138,-6.374264277767989,1.0565316001186598e-08
ridge_own_era5_flat12,damped_persistence_reg,2,0.13705196658704,0.1128653453283164,0.1563981012019381,-12.398648279016886,2.096172343758861e-20
kalman_ar1,damped_persistence_reg,3,0.056247837707178006,0.048027700967256295,0.06490629512650467,-11.682404541237714,5.664523568455729e-19
kalman_ar1,ridge_own_perbasin,3,0.014270022678828709,0.004481370072774516,0.026109802754717273,-2.5384340202884292,0.013075057593273225
kalman_ar1,ridge_own_lags,3,0.005690018759359594,-0.008372319809143335,0.018817796132609428,-0.753174447286686,0.45355590895817693
kalman_own_ridge,ridge_own_perbasin,3,0.01857475553983512,0.008648830548271768,0.03023696190398252,-3.282275461979791,0.0015277802390436623
ridge_own_perbasin,damped_persistence_reg,3,0.04258551123952692,0.028551948763091216,0.05589724477722518,-5.714978744041396,1.813117998560894e-07
ridge_own_flat12,kalman_ar1,3,0.017562720795208153,0.012843798684267693,0.02243704515884577,-7.2038791169916045,2.871555390184168e-10
ridge_own_era5_flat12,kalman_ar1,3,0.042246922751955074,0.027679802921771673,0.05311120718344499,-6.143985239081886,2.9569821760772586e-08
ridge_own_era5_flat12,damped_persistence_reg,3,0.09611846240455346,0.07740013821758508,0.11091669105019097,-10.71598311010482,3.9571418530171353e-17
kalman_ar1,damped_persistence_reg,4,0.03070010008859536,0.022768348990290888,0.03927536965557097,-7.758821189663757,2.5680437700158505e-11
kalman_ar1,ridge_own_perbasin,4,0.010374997556696908,0.00024124950462865732,0.02199255876439859,-1.7839252108016208,0.0782758142456007
kalman_ar1,ridge_own_lags,4,-0.00589190666333983,-0.021396883441030197,0.008238802200596543,0.7379652465553987,0.4627220892994886
kalman_own_ridge,ridge_own_perbasin,4,0.03372404289313702,0.02256453561168225,0.046683666606938644,-5.128457824765241,2.033746048887521e-06
ridge_own_perbasin,damped_persistence_reg,4,0.020538186163160277,0.01118724628304978,0.029679753773017934,-4.144840205536432,8.478836104677055e-05
ridge_own_flat12,kalman_ar1,4,0.018110165506351916,0.013238543391824894,0.02356313632493108,-6.998085671884394,7.535899357987935e-10
ridge_own_era5_flat12,kalman_ar1,4,0.031929679020528345,0.01808604665437463,0.04339979914925429,-4.8906633101889225,5.190075759744861e-06
ridge_own_era5_flat12,damped_persistence_reg,4,0.06164953476739676,0.04695784320324957,0.07505290947772751,-9.749496225849615,3.3739793464062327e-15
kalman_ar1,damped_persistence_reg,5,0.02548790401745804,0.017355117768359397,0.03460854904980198,-5.370600885525762,7.866022927196087e-07
kalman_ar1,ridge_own_perbasin,5,0.02174722181045241,0.008463329496716226,0.03668536085194207,-2.8839253801929443,0.0050743777495275075
kalman_ar1,ridge_own_lags,5,-0.006377363987517981,-0.022761695968284673,0.0066945282942551055,0.7706363329000193,0.4432505400674267
kalman_own_ridge,ridge_own_perbasin,5,0.04772727401709853,0.03363086704707502,0.0651171531248805,-5.386147361780029,7.386236888497145e-07
ridge_own_perbasin,damped_persistence_reg,5,0.003823840105957599,-0.00725462343572073,0.012563737056296771,-0.7116302837062441,0.4788167076118975
ridge_own_flat12,kalman_ar1,5,0.014932276348219808,0.011017847335931922,0.02069172982077166,-5.57606100112969,3.404529698133212e-07
ridge_own_era5_flat12,kalman_ar1,5,0.020873349638361516,0.008478844365483434,0.03242078708674782,-3.4515618039376643,0.0009029596330812889
ridge_own_era5_flat12,damped_persistence_reg,5,0.04582923572371411,0.031414614668104544,0.05850401396746369,-6.736976523310445,2.4830594465536522e-09
kalman_ar1,damped_persistence_reg,6,0.03632568526287694,0.02743644199514341,0.04797557944114061,-6.799362788209047,1.9887363373338423e-09
kalman_ar1,ridge_own_perbasin,6,0.039155143675715265,0.025072677717168573,0.05600748414090583,-4.777014609684366,8.333840052485494e-06
kalman_ar1,ridge_own_lags,6,0.011731476785369677,-0.007361850658901908,0.024962895324354636,-1.3257484921041236,0.1888427628541873
kalman_own_ridge,ridge_own_perbasin,6,0.054390641896468694,0.040057322358654966,0.07255678194139281,-6.153592017479868,3.163147502194595e-08
ridge_own_perbasin,damped_persistence_reg,6,-0.002944760950963854,-0.01640907222674991,0.0116078590398397,0.38764438992270395,0.699348722478326
ridge_own_flat12,kalman_ar1,6,0.006317503309440919,0.0019715243985786142,0.011327668218663989,-2.484138885307639,0.015158415451579968
ridge_own_era5_flat12,kalman_ar1,6,0.008681073131739714,-0.0023869494454410835,0.017394495463094708,-1.5657976624503218,0.121496735103554
ridge_own_era5_flat12,damped_persistence_reg,6,0.04469141246428909,0.03307916143146007,0.05678916642687953,-8.313366106354477,2.5316449372461876e-12
