model,horizon,n,rmse_std,damped_ref,skill_vs_damped,dm_stat_vs_damped,dm_p_vs_damped
climatology_zero,1,19422,1.6163403125402203,damped_persistence_rho,-1.2559879664252356,24.084543518936602,6.0412796569318e-39
persistence,1,19422,1.1825096756471525,damped_persistence_rho,-0.20748174966288868,7.844210270248879,1.420713393026506e-11
damped_persistence_rho,1,19422,1.076129198596155,damped_persistence_rho,0.0,,
damped_persistence_reg,1,19422,1.0831452242664725,damped_persistence_rho,-0.013081880550367408,3.8752450045286433,0.00021360156585529996
ridge_own_lags,1,19422,1.0698416608556631,damped_persistence_rho,0.011651332461267039,-1.445842078403841,0.15203281778364774
ridge_own_plus_indices,1,19422,1.0708151202211518,damped_persistence_rho,0.009851897980545754,-1.177359707365248,0.24245797727843718
ridge_own_perbasin,1,19422,1.059568079239761,damped_persistence_rho,0.03054221645708788,-4.586823193278774,1.5986242585985664e-05
kalman_ar1,1,19422,1.048995163580747,damped_persistence_rho,0.04979318430972446,-8.149136784745115,3.5377160107071306e-12
kalman_own_ridge,1,19422,1.0498958690826776,damped_persistence_rho,0.0481607193158049,-7.839332962223703,1.4525962493815913e-11
kalman_corr_top1,1,19422,1.048279627108633,damped_persistence_rho,0.05108904489766508,-8.187259342515597,2.972318147858168e-12
climatology_zero,2,19188,1.6354233252032897,damped_persistence_reg,-0.7072699048829556,26.335733180649477,1.8046801297409294e-41
persistence,2,19188,1.3863220930486917,damped_persistence_reg,-0.22678963624579151,7.596045874826999,4.66982043824064e-11
damped_persistence_rho,2,19188,1.2552401046550832,damped_persistence_reg,-0.0057624621016578725,1.5303978149974207,0.12981454874928713
damped_persistence_reg,2,19188,1.251639023756328,damped_persistence_reg,0.0,,
ridge_own_lags,2,19188,1.221361634662182,damped_persistence_reg,0.04779521985027668,-4.486986557533399,2.3622039014290146e-05
ridge_own_plus_indices,2,19188,1.2230284902298807,damped_persistence_reg,0.04519439982598905,-4.191672051427865,7.019494863058898e-05
ridge_own_perbasin,2,19188,1.2139260711983206,damped_persistence_reg,0.05935383943964068,-8.274472479061465,2.1600838653088392e-12
kalman_ar1,2,19188,1.1953584266583883,damped_persistence_reg,0.08790913826076596,-11.614556074524188,6.33828330177373e-19
kalman_own_ridge,2,19188,1.201365758370325,damped_persistence_reg,0.07871858869958481,-11.637131305572211,5.740574841788627e-19
kalman_corr_top1,2,19188,1.2019491292838866,damped_persistence_reg,0.07782364181996093,-11.21097098069316,3.7550434299814025e-18
