model,horizon,rmse_cm,mae_cm,r,n,rmse_std,skill_vs_damped
ridge_own_perbasin,1,5.132699262664342,2.6443329991804454,0.8681085747641982,19422,1.0595680792397608,0.0305422164570881
ridge_own_lags,1,5.64241688062563,2.795585339789432,0.847820022010868,19422,1.0698416608556631,0.011651332461267039
ridge_own_plus_indices,1,5.699177792962967,2.813015757877046,0.8452012949489466,19422,1.0708151202211518,0.009851897980545532
damped_persistence_rho,1,5.320759068518265,2.7126568455513613,0.8590127150199363,19422,1.076129198596155,0.0
damped_persistence_reg,1,5.290470860002575,2.718263153233986,0.8612859218604222,19422,1.0831452242664725,-0.013081880550367408
persistence,1,6.068195472194578,2.9039458897158146,0.822956890334649,19422,1.1825096756471525,-0.20748174966288846
climatology_zero,1,10.28305466559357,4.923296156159876,,19422,1.6163403125402203,-1.255987966425236
ridge_own_perbasin,2,5.769149300002968,3.1193854264117293,0.8356598615087126,19188,1.2139260711983206,0.0593538394396409
ridge_own_lags,2,6.566292210171109,3.3387661327920775,0.816242536319165,19188,1.221361634662182,0.04779521985027679
ridge_own_plus_indices,2,6.637262084871326,3.357448639360331,0.8115278286119343,19188,1.2230284902298807,0.04519439982598905
damped_persistence_reg,2,6.1555707457817315,3.2531645659163133,0.8175327288303997,19188,1.251639023756328,0.0
damped_persistence_rho,2,6.2323782814475805,3.268285579579277,0.8137570783289257,19188,1.2552401046550832,-0.0057624621016574284
persistence,2,6.809396267932757,3.5298539306832244,0.779281232020659,19188,1.3863220930486917,-0.2267896362457913
climatology_zero,2,10.401854019183055,4.972468275211191,,19188,1.6354233252032897,-0.7072699048829554
ridge_own_plus_indices,3,7.046651016002635,3.5555531192254386,0.7962509775678324,18954,1.276630969805424,0.05144977107943627
ridge_own_lags,3,6.983435615913916,3.546989082465788,0.8024235472901284,18954,1.2770364386760091,0.05084714012901259
ridge_own_perbasin,3,6.007643515601869,3.3254172063410983,0.8241979338057557,18954,1.2825821956983448,0.04258551123952725
damped_persistence_reg,3,6.3834023644157645,3.4645960772813056,0.8080136226646403,18954,1.3107963071227158,0.0
damped_persistence_rho,3,6.706522263776135,3.5757105891824863,0.7884107021139721,18954,1.3518525457519814,-0.06362424422546042
persistence,3,7.142478378706156,3.742715827008954,0.7594177715280931,18954,1.4441840268513324,-0.21387692577400763
climatology_zero,3,10.516918175881262,5.018020545832791,,18954,1.652483765275283,-0.5892930513561179
ridge_own_plus_indices,4,7.434699737240585,3.746674750938038,0.7811245132224874,18720,1.331649752197811,0.03743363795891974
ridge_own_lags,4,7.372454360146666,3.7363494071212076,0.7886708500505115,18720,1.3323799824568463,0.036377672898586955
ridge_own_perbasin,4,6.192811472072709,3.4934817656565667,0.8170881029687729,18720,1.3432858089224078,0.020538186163160055
damped_persistence_reg,4,6.446989908031793,3.5747287439425066,0.8089758480258039,18720,1.357296322033874,0.0
damped_persistence_rho,4,7.341460568577138,3.8600822935736026,0.7728211289006178,18720,1.4354085754011299,-0.11841176880553816
persistence,4,7.408213233265633,3.8812181693876826,0.7439206456263543,18720,1.483679169621185,-0.19489750482706136
climatology_zero,4,10.63421294543158,5.0637168723647425,,18720,1.6698448829516166,-0.5135714097137838
ridge_own_plus_indices,5,7.862705557196497,3.9679458186462746,0.7746962767977636,18486,1.3905884594445166,0.0317429830520104
ridge_own_lags,5,7.778214649304789,3.952736473878344,0.7865629983226189,18486,1.390645649484463,0.03166333936478638
ridge_own_perbasin,5,6.4800439085126245,3.689988377234922,0.8053293212886491,18486,1.410494400554887,0.003823840105957599
damped_persistence_reg,5,6.689450114762732,3.7336627331958607,0.797993348612932,18486,1.4131989117740524,0.0
damped_persistence_rho,5,7.840886418940876,4.082076681276345,0.7588857014769117,18486,1.4953382020967751,-0.11962417826554717
persistence,5,7.384966784523988,3.9952543051186367,0.7488347870743182,18486,1.5223511606277944,-0.16044108557459924
climatology_zero,5,10.768367007451662,5.110595788324912,,18486,1.6881213477586254,-0.4269236471725504
ridge_own_lags,6,8.345887565163316,4.18651156486882,0.7807696805843114,18252,1.4569519004081486,0.024886159884469183
ridge_own_plus_indices,6,8.464484414485593,4.204788084652244,0.7591646795081373,18252,1.4577982787831392,0.023752896679371416
damped_persistence_reg,6,6.935295189340729,3.913119611575522,0.7926706381455635,18252,1.4754264132800077,0.0
ridge_own_perbasin,6,6.783450278728268,3.8770162639134793,0.7953392209822213,18252,1.4775972053827655,-0.002944760950963854
damped_persistence_rho,6,8.494358463796441,4.3180612940801595,0.738328180628276,18252,1.547782497187057,-0.10048658905633245
persistence,6,7.5657709351119165,4.168076847214222,0.7404660529996553,18252,1.5877188265627533,-0.15800939014998483
climatology_zero,6,10.90202764725937,5.160488362336402,,18252,1.7055162443419698,-0.3362158300426723
