model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,skill_vs_kalman,skill_vs_own_ridge
kalman_corr_min300_top1,1,1.0481966438684682,19422,50.0,50.0,0.0196078431372549,0.0015218674289994016,0.003234321024573217
kalman_corr_top1,1,1.048279627108633,19422,50.0,50.0,0.0196078431372549,0.0013637668837377381,0.003076491631817002
kalman_ar1,1,1.048995163580747,19422,,,,0.0,0.0017150636951501763
kalman_corr_min500_top1,1,1.049043053700986,19422,50.0,50.0,0.0196078431372549,-9.130874016061163e-05,0.0016239115552947325
kalman_geo_top1,1,1.0492256799188215,19422,50.0,50.0,0.0196078431372549,-0.00043954762428444205,0.001276269923038753
kalman_geo_top3,1,1.0496039265596468,19422,50.0,50.0,0.0196078431372549,-0.0011609960496281602,0.000556058827697159
kalman_geo_top2,1,1.0496432227283254,19422,50.0,49.0,0.0392156862745098,-0.0012359624761801857,0.0004812209733413564
kalman_own_ridge,1,1.0498958690826776,19422,,,,-0.0017180101920586388,0.0
kalman_corr_top2,1,1.0502069121273592,19422,50.0,2.0,0.9607843137254902,-0.0023116377756602358,-0.0005926094744845845
kalman_corr_top3,1,1.0523804973473283,19422,50.0,0.0,1.0,-0.0064648465228716034,-0.004738695204155263
kalman_corr_min1000_top1,1,1.0530640422099646,19422,50.0,0.0,1.0,-0.007772714353992072,-0.0060443199586404095
kalman_ar1,2,1.1953584266583883,19188,,,,0.0,0.009975833060832495
kalman_own_ridge,2,1.201365758370325,19188,,,,-0.010076353076990285,0.0
kalman_corr_min300_top1,2,1.2017375667731418,19188,50.0,2.0,0.9607843137254902,-0.010701663042462117,-0.0006190719776446585
kalman_corr_top1,2,1.2019491292838866,19188,50.0,0.0,1.0,-0.011057556723650386,-0.0009714153228821409
kalman_geo_top1,2,1.2022367456058116,19188,50.0,0.0,1.0,-0.011541489764127721,-0.0014505207281352295
kalman_corr_min500_top1,2,1.2027063235632947,19188,50.0,0.0,1.0,-0.012331833849572593,-0.002232980472922863
kalman_geo_top2,2,1.2038450964795369,19188,50.0,0.0,1.0,-0.01424977810480188,-0.0041317916364422835
kalman_geo_top3,2,1.203952362342769,19188,50.0,0.0,1.0,-0.014430530969496091,-0.00431074134073306
kalman_corr_top2,2,1.2071180469213825,19188,50.0,0.0,1.0,-0.019772252434851145,-0.009599174684492562
kalman_corr_min1000_top1,2,1.208437787672461,19188,50.0,0.0,1.0,-0.022003302996489005,-0.011807968658176904
kalman_corr_top3,2,1.2111716583996899,19188,50.0,0.0,1.0,-0.026632726916113736,-0.016391210217611585
kalman_own_ridge,3,1.270614535742653,18954,,,,0.004367050774599868,0.0
kalman_corr_min300_top1,3,1.2716230672408049,18954,50.0,0.0,1.0,0.0027858856498698126,-0.001588100439986695
kalman_corr_top1,3,1.2718307551060493,18954,50.0,0.0,1.0,0.0024601190150863594,-0.0019152959541937076
kalman_geo_top1,3,1.2720284570662537,18954,50.0,0.0,1.0,0.00214996624149999,-0.002226809121599338
kalman_corr_min500_top1,3,1.2723934424382055,18954,50.0,0.0,1.0,0.0015772543433184572,-0.002802033051891195
kalman_ar1,3,1.2733980750571514,18954,,,,0.0,-0.004386205556974998
kalman_geo_top2,3,1.2737915222171892,18954,50.0,0.0,1.0,-0.0006180438784344489,-0.005006960302903929
kalman_geo_top3,3,1.2738661114011536,18954,50.0,0.0,1.0,-0.0007352333356633878,-0.0051246637771806824
kalman_corr_top2,3,1.2782422579819366,18954,50.0,0.0,1.0,-0.007622748913745037,-0.012042389414364862
kalman_corr_min1000_top1,3,1.2785331977705523,18954,50.0,0.0,1.0,-0.008081489673457343,-0.012503142305346548
kalman_corr_top3,3,1.28279947466931,18954,50.0,0.0,1.0,-0.014820353038859757,-0.01927156371069061
kalman_own_ridge,4,1.3204410384757215,18720,,,,0.02359383127830561,0.0
kalman_geo_top1,4,1.3222353994359988,18720,50.0,0.0,1.0,0.020938331362825968,-0.002719667286571914
