target_date,sum,count,model,fold,horizon
2019-07-01,196.56815572753501,234,corr_top1_rand0,f1,1
2019-08-01,289.00448367737687,234,corr_top1_rand0,f1,1
2019-09-01,184.0040202254549,234,corr_top1_rand0,f1,1
2019-10-01,258.79243242900077,234,corr_top1_rand0,f1,1
2019-11-01,265.4598948819198,234,corr_top1_rand0,f1,1
2019-12-01,257.07112974889225,234,corr_top1_rand0,f1,1
2020-01-01,248.24097304890404,234,corr_top1_rand0,f1,1
2020-02-01,189.3290367355129,234,corr_top1_rand0,f1,1
2020-03-01,249.10192830123256,234,corr_top1_rand0,f1,1
2020-04-01,251.98844538990585,234,corr_top1_rand0,f1,1
2020-05-01,224.27946602406092,234,corr_top1_rand0,f1,1
2020-06-01,211.93348313950136,234,corr_top1_rand0,f1,1
2020-07-01,292.73908606683307,234,corr_top1_rand0,f1,1
2020-08-01,260.39462045533264,234,corr_top1_rand0,f1,1
2020-09-01,450.0529310570304,234,corr_top1_rand0,f1,1
2020-10-01,273.9349771554725,234,corr_top1_rand0,f1,1
2020-11-01,232.09411648087809,234,corr_top1_rand0,f1,1
2019-07-01,197.07085125677986,234,corr_top1_rand1,f1,1
2019-08-01,288.847723727801,234,corr_top1_rand1,f1,1
2019-09-01,184.04701861278528,234,corr_top1_rand1,f1,1
2019-10-01,259.1699526463654,234,corr_top1_rand1,f1,1
2019-11-01,265.1195138895892,234,corr_top1_rand1,f1,1
2019-12-01,256.9158286429873,234,corr_top1_rand1,f1,1
2020-01-01,248.15952273080458,234,corr_top1_rand1,f1,1
2020-02-01,189.0843518856478,234,corr_top1_rand1,f1,1
2020-03-01,248.75029995851858,234,corr_top1_rand1,f1,1
2020-04-01,251.90273574872555,234,corr_top1_rand1,f1,1
2020-05-01,224.3410592895638,234,corr_top1_rand1,f1,1
2020-06-01,212.32326310024533,234,corr_top1_rand1,f1,1
2020-07-01,292.15586282413506,234,corr_top1_rand1,f1,1
2020-08-01,260.50935435335094,234,corr_top1_rand1,f1,1
2020-09-01,449.8630877039991,234,corr_top1_rand1,f1,1
2020-10-01,272.84096748005913,234,corr_top1_rand1,f1,1
2020-11-01,232.61554829596994,234,corr_top1_rand1,f1,1
2019-07-01,196.6121180916115,234,corr_top1_rand2,f1,1
2019-08-01,289.01051947019437,234,corr_top1_rand2,f1,1
2019-09-01,183.97079217399119,234,corr_top1_rand2,f1,1
2019-10-01,258.8444641918662,234,corr_top1_rand2,f1,1
2019-11-01,265.509529448902,234,corr_top1_rand2,f1,1
