model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,skill_vs_kalman,skill_vs_own_ridge
kalman_ar1,1,1.048995163580747,19422,,,,0.0,0.004562537658411636
kalman_corr_min300_top1,1,1.049697548847385,19422,50.0,50.0,0.0196078431372549,-0.0013396065916959632,0.003229043072237814
kalman_corr_top1,1,1.0497634194257128,19422,50.0,50.0,0.0196078431372549,-0.0014652825801440006,0.0031039404852200025
kalman_own_ridge,1,1.051396423560023,19422,,,,-0.004583449820824814,0.0
kalman_ar1,2,1.1953584266583883,19188,,,,0.0,0.013847355834124775
kalman_own_ridge,2,1.203721660837478,19188,,,,-0.014041797602071693,0.0
kalman_corr_min300_top1,2,1.2041237930594884,19188,50.0,1.0,0.9803921568627451,-0.014719440962210895,-0.0006682597914027255
kalman_corr_top1,2,1.204314773972073,19188,50.0,1.0,0.9803921568627451,-0.015041347088859958,-0.0009857083693713964
kalman_own_ridge,3,1.2726351963200926,18954,,,,0.0011978190259278598,0.0
kalman_ar1,3,1.2733980750571514,18954,,,,0.0,-0.0011992555170030617
kalman_corr_min300_top1,3,1.27367603255697,18954,50.0,0.0,1.0,-0.00043660791006927546,-0.0016363870315172502
kalman_corr_top1,3,1.2738604327483927,18954,50.0,0.0,1.0,-0.0007263111810063005,-0.0019264377306997815
kalman_own_ridge,4,1.3219308006084023,18720,,,,0.0213893655530476,0.0
kalman_corr_min300_top1,4,1.3242095711999644,18720,50.0,0.0,1.0,0.01801256062859069,-0.0034506113111729686
kalman_corr_top1,4,1.3242825687178215,18720,50.0,0.0,1.0,0.01790429283931405,-0.00356124549546033
kalman_ar1,4,1.3362993470513527,18720,,,,0.0,-0.02185687013828086
kalman_own_ridge,5,1.3780057819941953,18486,,,,0.02431808092900689,0.0
kalman_corr_min300_top1,5,1.3802417298174559,18486,50.0,0.0,1.0,0.021149235342006856,-0.00324782649453792
kalman_corr_top1,5,1.3804236276296504,18486,50.0,0.0,1.0,0.0208912188785223,-0.003512273809222588
kalman_ar1,5,1.395072928851735,18486,,,,0.0,-0.024924189383525475
kalman_own_ridge,6,1.4394748341711123,18252,,,,0.012259726761125744,0.0
kalman_corr_min300_top1,6,1.4415693660572257,18252,50.0,0.0,1.0,0.009383179553410836,-0.002912250604384603
kalman_corr_top1,6,1.4418446293396778,18252,50.0,0.0,1.0,0.009004832901741922,-0.003295293254278908
kalman_ar1,6,1.4483805890107582,18252,,,,0.0,-0.012411893180102052
