model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_kalman,dm_p,skill_ci_lo,skill_ci_hi,skill_vs_kalman
kalman_ar1,1,1.048995163580747,19422,,,,,,,,0.0
fusion_corr_top1,1,1.060174858539808,19422,50.0,0.0,1.0,4.246985017795118,5.6821214484061815e-05,-0.03061787567998714,-0.009540762755586601,-0.021428638192687366
fusion_corr_top1_mle,1,1.0813683456745076,19422,50.0,0.0,1.0,8.093952863468447,4.551431254718493e-12,-0.07962620145800542,-0.04384720978973111,-0.0626746811003327
kalman_ar1,2,1.1953584266583883,19188,,,,,,,,0.0
fusion_corr_top1,2,1.202983355056123,19188,50.0,0.0,1.0,3.573941695992172,0.0005959420676214895,-0.019412843856175276,-0.004578958962698435,-0.012798248788715494
fusion_corr_top1_mle,2,1.218314708121676,19188,50.0,0.0,1.0,6.610593538202818,3.766072433525967e-09,-0.0507536869546034,-0.024444101313087288,-0.038777847878091354
kalman_ar1,3,1.2733980750571514,18954,,,,,,,,0.0
fusion_corr_top1,3,1.2786872886322251,18954,50.0,1.0,0.9803921568627451,2.864135447921337,0.005338238619255144,-0.013673789857024133,-0.002226893742640696,-0.008324495496585094
fusion_corr_top1_mle,3,1.2911931326435315,18954,50.0,0.0,1.0,5.477801321162218,4.840501510575341e-07,-0.03864041308158679,-0.016807535551734084,-0.028144216875090056
kalman_ar1,4,1.3362993470513527,18720,,,,,,,,0.0
fusion_corr_top1,4,1.3414848628270046,18720,50.0,0.0,1.0,3.40335240799123,0.0010478207953975927,-0.012081546332053088,-0.0030477827932548257,-0.0077760675346445485
fusion_corr_top1_mle,4,1.3521161671882598,18720,50.0,0.0,1.0,5.756570308672871,1.5685887489832133e-07,-0.031657204256016244,-0.01535655061397541,-0.02381266797560455
kalman_ar1,5,1.395072928851735,18486,,,,,,,,0.0
fusion_corr_top1,5,1.4004404740806573,18486,50.0,0.0,1.0,4.146010681945177,8.530807994157637e-05,-0.010936488278273288,-0.004203880855505588,-0.007709806329035951
fusion_corr_top1_mle,5,1.4105054353379538,18486,50.0,0.0,1.0,5.514637537174273,4.378637942362755e-07,-0.029353564048044085,-0.015280539412925067,-0.02224667186753404
kalman_ar1,6,1.4483805890107582,18252,,,,,,,,0.0
fusion_corr_top1,6,1.4526477411821694,18252,50.0,0.0,1.0,3.7621997372530953,0.0003267309929832995,-0.008296241317351044,-0.0031833434321138915,-0.005900987692620374
fusion_corr_top1_mle,6,1.4611936088198596,18252,50.0,0.0,1.0,4.421864232358134,3.1695418939018026e-05,-0.02355924834095855,-0.012062840600584752,-0.01777115041014299
