model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
kalman_corr_top1,kalman_own_ridge,1,19422,83,0.0030764916318175572,-0.0008756197252891895,0.00824215812567513,-1.2961531726074236,0.19855893820508996
kalman_corr_top1,kalman_ar1,1,19422,83,0.0013637668837380712,-0.0027364626785054136,0.0066190745533433485,-0.5732550775220167,0.5680408007096779
kalman_pred_lag1_top1,kalman_own_ridge,1,19422,83,-0.01302798724372578,-0.019906029577212055,-0.005555469575955148,3.525665984594316,0.0006943918109796732
kalman_pred_lag1_top1,kalman_corr_top1,1,19422,83,-0.016154177066106,-0.022119895224847485,-0.010612296087465074,5.233656755679485,1.2536353419134066e-06
fusion_corr_top1,kalman_ar1,1,19422,83,-0.021428638192687588,-0.03061787567998714,-0.009540762755586601,4.246985017795112,5.682121448406303e-05
fusion_corr_top1_mle,kalman_ar1,1,19422,83,-0.0626746811003327,-0.07962620145800543,-0.0438472097897309,8.093952863468447,4.551431254718493e-12
fusion_corr_top1,kalman_own_ridge,1,19422,83,-0.019676823018136336,-0.02888052699067503,-0.007785688158466478,3.873915857267728,0.00021458815976201326
fusion_corr_top1,kalman_corr_top1,1,19422,83,-0.02282353105224466,-0.02902077276805302,-0.015526756270843742,6.677038828205931,2.6931617086109113e-09
coupled_corr_top1,kalman_ar1,1,19422,83,-0.00020853146946842038,-0.007664892834671294,0.009690436763510793,0.04778537568359392,0.9620034853871569
coupled_corr_top1,kalman_own_ridge,1,19422,83,0.001506889870434569,-0.006162537712991528,0.011501119889977008,-0.33787667786075976,0.7363195956066688
coupled_corr_top1,kalman_corr_top1,1,19422,83,-0.0015744455298805082,-0.007527755865282165,0.00524697580213716,0.48451934263226826,0.6293090511200472
kalman_corr_top1,kalman_own_ridge,2,19188,82,-0.000971415322882363,-0.006189032794678168,0.005036271639874776,0.3625452243170642,0.7178888959700126
kalman_corr_top1,kalman_ar1,2,19188,82,-0.011057556723650608,-0.01705399344683321,-0.004536287415558783,3.7822868404606798,0.00029625790133279775
kalman_pred_lag1_top1,kalman_own_ridge,2,19188,82,-0.01661594896664842,-0.024307980975491604,-0.007895698806706644,4.145089916500952,8.304221152192306e-05
kalman_pred_lag1_top1,kalman_corr_top1,2,19188,82,-0.01562935105266683,-0.021068913676255872,-0.009880991339792696,5.177283055975325,1.6064025003783588e-06
fusion_corr_top1,kalman_ar1,2,19188,82,-0.012798248788715938,-0.019412843856175276,-0.004578958962698435,3.5739416959921693,0.0005959420676214935
fusion_corr_top1_mle,kalman_ar1,2,19188,82,-0.0387778478780918,-0.0507536869546034,-0.02444410131308728,6.610593538202814,3.7660724335260715e-09
fusion_corr_top1,kalman_own_ridge,2,19188,82,-0.0026947425344960863,-0.010025487307376329,0.005785918273911675,0.6947183452752752,0.4892198312225541
fusion_corr_top1,kalman_corr_top1,2,19188,82,-0.0017216547697895823,-0.0074114365398486315,0.0038438475225254253,0.6109216110974675,0.5429620601704609
coupled_corr_top1,kalman_ar1,2,19188,82,-0.0006688912446359829,-0.005567791832035912,0.006243898779276374,0.22411799311542585,0.8232298348283117
