target_date,sum,count,model,fold,horizon
2019-07-01,204.38033073765817,234,gbm_corr_top1_rand0,f1,1
2019-08-01,288.6982306387984,234,gbm_corr_top1_rand0,f1,1
2019-09-01,189.05760870905414,234,gbm_corr_top1_rand0,f1,1
2019-10-01,253.47747094306962,234,gbm_corr_top1_rand0,f1,1
2019-11-01,274.5181267414104,234,gbm_corr_top1_rand0,f1,1
2019-12-01,259.3017960139163,234,gbm_corr_top1_rand0,f1,1
2020-01-01,245.87382384463567,234,gbm_corr_top1_rand0,f1,1
2020-02-01,192.14460648868308,234,gbm_corr_top1_rand0,f1,1
2020-03-01,257.91147224318996,234,gbm_corr_top1_rand0,f1,1
2020-04-01,266.4164809271754,234,gbm_corr_top1_rand0,f1,1
2020-05-01,235.86311107113016,234,gbm_corr_top1_rand0,f1,1
2020-06-01,210.05974769899967,234,gbm_corr_top1_rand0,f1,1
2020-07-01,293.09433997880916,234,gbm_corr_top1_rand0,f1,1
2020-08-01,269.4513106071912,234,gbm_corr_top1_rand0,f1,1
2020-09-01,461.4136602122592,234,gbm_corr_top1_rand0,f1,1
2020-10-01,284.58466350079743,234,gbm_corr_top1_rand0,f1,1
2020-11-01,236.1799808971953,234,gbm_corr_top1_rand0,f1,1
2019-07-01,198.68762784488015,234,mlp_corr_top1_rand0,f1,1
2019-08-01,284.7460172065996,234,mlp_corr_top1_rand0,f1,1
2019-09-01,184.5618977109911,234,mlp_corr_top1_rand0,f1,1
2019-10-01,256.1749139368065,234,mlp_corr_top1_rand0,f1,1
2019-11-01,285.49768000531236,234,mlp_corr_top1_rand0,f1,1
2019-12-01,257.3800708862624,234,mlp_corr_top1_rand0,f1,1
2020-01-01,250.25914570589308,234,mlp_corr_top1_rand0,f1,1
2020-02-01,194.08168553523464,234,mlp_corr_top1_rand0,f1,1
2020-03-01,260.84861552840044,234,mlp_corr_top1_rand0,f1,1
2020-04-01,269.5505628173127,234,mlp_corr_top1_rand0,f1,1
2020-05-01,250.26828585409405,234,mlp_corr_top1_rand0,f1,1
2020-06-01,208.29600295978284,234,mlp_corr_top1_rand0,f1,1
2020-07-01,303.20937403955975,234,mlp_corr_top1_rand0,f1,1
