model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_ridge_twin,dm_p,skill_vs_ridge_own
ridge_corr_top1,1,1.048279627108633,19422,,,,,,0.003076491631817002
ridge_corr_top1_2hop,1,1.0485414387889151,19422,,,,,,0.00257845884415564
ridge_own,1,1.0498958690826776,19422,,,,,,0.0
gbm_corr_top1,1,1.0535683216477707,19422,20.0,20.0,0.047619047619047616,5.068056213766167,2.4418426708467408e-06,-0.0070080769864473424
mlp_corr_top1_s2,1,1.0542511485878645,19422,20.0,20.0,0.047619047619047616,5.429349181569798,5.63405788018822e-07,-0.008313801643332619
gbm_corr_top1_2hop,1,1.0543993075657536,19422,20.0,20.0,0.047619047619047616,5.595204779039171,2.833531989794265e-07,-0.008597227921297801
gbm_own,1,1.056080681902913,19422,,,,6.3669476155570885,1.0501945289646378e-08,-0.011816466765099065
mlp_corr_top1_s0,1,1.0564858318256025,19422,20.0,17.0,0.19047619047619047,6.781700806953134,1.6948184618263481e-09,-0.01259295288694906
mlp_corr_top1_s1,1,1.056907715583794,19422,20.0,13.0,0.38095238095238093,4.170578341356312,7.501444232432624e-05,-0.013401826613888224
mlp_own_s1,1,1.0571660619889591,19422,,,,5.1003633159869,2.145653078494048e-06,-0.013897311153899583
mlp_own_s2,1,1.057851205029387,19422,,,,4.997741232118854,3.2312805992034627e-06,-0.015211938657482271
mlp_own_s0,1,1.0595133223362965,19422,,,,4.9842127436723,3.409499153921698e-06,-0.018404688195460928
ridge_own,2,1.201365758370325,19188,,,,,,0.0
ridge_corr_top1,2,1.2019491292838866,19188,,,,,,-0.0009714153228821409
ridge_corr_top1_2hop,2,1.202692699911532,19188,,,,,,-0.0022102750202113164
gbm_own,2,1.2070648453165942,19188,,,,7.976095296113442,8.372872311728965e-12,-0.009510184029791091
gbm_corr_top1,2,1.2076213717080901,19188,20.0,15.0,0.2857142857142857,5.5045481423293285,4.230912470455774e-07,-0.010441283262021539
mlp_corr_top1_s0,2,1.2080312809994578,19188,20.0,18.0,0.14285714285714285,5.701305339407157,1.8674295529968146e-07,-0.011127358509313456
gbm_corr_top1_2hop,2,1.2087683465784038,19188,20.0,13.0,0.38095238095238093,5.3719080646892845,7.295617753329753e-07,-0.012361589015525087
mlp_corr_top1_s1,2,1.2095709743715235,19188,20.0,16.0,0.23809523809523808,6.449087746431637,7.630121598903005e-09,-0.013706460956732336
mlp_corr_top1_s2,2,1.209948086973736,19188,20.0,14.0,0.3333333333333333,5.8142687011794045,1.161999268597765e-07,-0.014338653828679826
mlp_own_s2,2,1.2103255480779094,19188,,,,7.963903634753865,8.848697311293949e-12,-0.014971628274270232
mlp_own_s1,2,1.2106405008105874,19188,,,,6.844099862501626,1.3463335262425772e-09,-0.015499931887589025
mlp_own_s0,2,1.2118328197797017,19188,,,,6.935041450345419,8.998848764729124e-10,-0.01750118010133561
ridge_own,3,1.270614535742653,18954,,,,,,0.0
ridge_corr_top1,3,1.2718307551060493,18954,,,,,,-0.0019152959541937076
ridge_corr_top1_2hop,3,1.272790999499732,18954,,,,,,-0.0034287783623898616
gbm_own,3,1.2803779710797298,18954,,,,7.209148140609173,2.805021752537027e-10,-0.015427096586202449
gbm_corr_top1,3,1.2812823547667187,18954,20.0,8.0,0.6190476190476191,6.965076322703288,8.280464839806879e-10,-0.016862079148212583
mlp_corr_top1_s2,3,1.2818507931949734,18954,20.0,15.0,0.2857142857142857,6.8006376499849965,1.7096040611051096e-09,-0.01776453706370562
mlp_own_s0,3,1.2836408378471402,18954,,,,5.917127060472296,7.75782653289252e-08,-0.020609042892840046
gbm_corr_top1_2hop,3,1.2836744207042374,18954,20.0,3.0,0.8571428571428571,7.635685908878207,4.1673664399033807e-11,-0.020662446329350992
mlp_corr_top1_s0,3,1.2846619429221213,18954,20.0,5.0,0.7619047619047619,5.947967094454479,6.80928253829644e-08,-0.022233428070771666
mlp_own_s2,3,1.2852559848069458,18954,,,,5.779290491219864,1.3855676919604154e-07,-0.02317903072542027
mlp_corr_top1_s1,3,1.2854589950870634,18954,20.0,5.0,0.7619047619047619,7.943322421405332,1.0442996746561179e-11,-0.023502285032398262
mlp_own_s1,3,1.285946659070847,18954,,,,4.91499251869488,4.637852498132433e-06,-0.024279003512080566
