target_date,sum,count,model,fold,horizon
2019-07-01,201.976049275761,234,pred_lag1_top1_rand0,f1,1
2019-08-01,288.6140054164905,234,pred_lag1_top1_rand0,f1,1
2019-09-01,182.09664949819293,234,pred_lag1_top1_rand0,f1,1
2019-10-01,253.66255108784387,234,pred_lag1_top1_rand0,f1,1
2019-11-01,264.04584424749845,234,pred_lag1_top1_rand0,f1,1
2019-12-01,254.8138797745963,234,pred_lag1_top1_rand0,f1,1
2020-01-01,242.9113963249628,234,pred_lag1_top1_rand0,f1,1
2020-02-01,181.89280831528922,234,pred_lag1_top1_rand0,f1,1
2020-03-01,247.4348809639703,234,pred_lag1_top1_rand0,f1,1
2020-04-01,247.23989086221357,234,pred_lag1_top1_rand0,f1,1
2020-05-01,223.443821886215,234,pred_lag1_top1_rand0,f1,1
2020-06-01,211.51624258699087,234,pred_lag1_top1_rand0,f1,1
2020-07-01,293.0242575463334,234,pred_lag1_top1_rand0,f1,1
2020-08-01,259.3778926790802,234,pred_lag1_top1_rand0,f1,1
2020-09-01,442.76421696323115,234,pred_lag1_top1_rand0,f1,1
2020-10-01,272.181500502098,234,pred_lag1_top1_rand0,f1,1
2020-11-01,230.09018258050773,234,pred_lag1_top1_rand0,f1,1
2019-07-01,201.59752757434734,234,pred_lag1_top1_rand1,f1,1
2019-08-01,288.84460845595504,234,pred_lag1_top1_rand1,f1,1
2019-09-01,182.17047167239005,234,pred_lag1_top1_rand1,f1,1
2019-10-01,253.85169706368495,234,pred_lag1_top1_rand1,f1,1
2019-11-01,264.04847387615774,234,pred_lag1_top1_rand1,f1,1
2019-12-01,254.99151561369146,234,pred_lag1_top1_rand1,f1,1
2020-01-01,242.4558041003545,234,pred_lag1_top1_rand1,f1,1
2020-02-01,182.12704953063417,234,pred_lag1_top1_rand1,f1,1
2020-03-01,247.2693197714133,234,pred_lag1_top1_rand1,f1,1
2020-04-01,247.61088776981143,234,pred_lag1_top1_rand1,f1,1
