model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,skill_vs_kalman,skill_vs_own_ridge
kalman_ar1,1,1.048995163580747,19422,,,,0.0,0.0017150636951501763
kalman_own_ridge,1,1.0498958690826776,19422,,,,-0.0017180101920586388,0.0
kalman_pred_lag1_top1,1,1.0567127533536222,19422,50.0,0.0,1.0,-0.014768379650651031,-0.013027987243726225
kalman_pred_lag1_top2,1,1.0622509806954672,19422,50.0,0.0,1.0,-0.025433047440276413,-0.02367436444880422
kalman_ar1,2,1.1953584266583883,19188,,,,0.0,0.009975833060832495
kalman_own_ridge,2,1.201365758370325,19188,,,,-0.010076353076990285,0.0
kalman_pred_lag1_top1,2,1.2113055547555533,19188,50.0,0.0,1.0,-0.026859730212136057,-0.01661594896664864
kalman_pred_lag1_top2,2,1.2206481233986213,19188,50.0,0.0,1.0,-0.0427607618305923,-0.03235835454818403
kalman_own_ridge,3,1.270614535742653,18954,,,,0.004367050774599868,0.0
kalman_ar1,3,1.2733980750571514,18954,,,,0.0,-0.004386205556974998
kalman_pred_lag1_top1,3,1.2807127382453527,18954,50.0,0.0,1.0,-0.011521411575302842,-0.01595815241175358
kalman_pred_lag1_top2,3,1.2906222098327709,18954,50.0,0.0,1.0,-0.027235195292882652,-0.03174086001479681
kalman_own_ridge,4,1.3204410384757215,18720,,,,0.02359383127830561,0.0
kalman_pred_lag1_top1,4,1.3307936851466518,18720,50.0,0.0,1.0,0.00822318746108952,-0.0157420593085138
kalman_ar1,4,1.3362993470513527,18720,,,,0.0,-0.024163951472361722
kalman_pred_lag1_top2,4,1.3417028841352878,18720,50.0,0.0,1.0,-0.008103666477019544,-0.03246343455288003
kalman_own_ridge,5,1.3764233749233163,18486,,,,0.026557606362975772,0.0
kalman_pred_lag1_top1,5,1.3864812104068407,18486,50.0,0.0,1.0,0.012279303426312005,-0.014667845811929814
kalman_ar1,5,1.395072928851735,18486,,,,0.0,-0.027282155098824035
kalman_pred_lag1_top2,5,1.3983932035293791,18486,50.0,0.0,1.0,-0.004765665990757784,-0.03217783872829094
kalman_own_ridge,6,1.4368516855847975,18252,,,,0.015856356122920134,0.0
kalman_pred_lag1_top1,6,1.446669905247771,18252,50.0,0.0,1.0,0.0023608070017050453,-0.01371298712863589
kalman_ar1,6,1.4483805890107582,18252,,,,0.0,-0.016111831053903014
kalman_pred_lag1_top2,6,1.4599660570578754,18252,50.0,0.0,1.0,-0.016061805442240118,-0.03243242159184945
