model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
gbm_corr_top1_era5,1,1.0227214247479393,19422,-0.3838807338513878,0.7020604393549027,20.0,20.0,0.047619047619047616,-7.054733349561707,5.023186344329295e-10,0.0510960509292917
ridge_corr_top1_era5,1,1.0236989492208675,19422,,,20.0,20.0,0.047619047619047616,-4.10808361082565,9.39506848663292e-05,0.04928124564113956
gbm_own_era5,1,1.0246141649657983,19422,-0.2950559795137583,0.7686968803807045,,,,-7.075735119197904,4.572630720612191e-10,0.04758054696143954
ridge_own_era5,1,1.0253533779241089,19422,,,,,,-4.097987792377355,9.741226484922378e-05,0.04620579577728756
mlp_corr_top1_era5_s1,1,1.0259402783209988,19422,0.6405849113646618,0.5235785349514643,20.0,17.0,0.19047619047619047,-6.153160356595763,2.653989671110665e-08,0.04511360177766155
mlp_own_era5_s0,1,1.0280889161229845,19422,1.0421361927589972,0.30041134716094814,,,,-5.644496417219506,2.306384678134026e-07,0.0411097557269674
mlp_corr_top1_era5_s0,1,1.0282970404259304,19422,1.4253237855959546,0.15785905491041158,20.0,14.0,0.3333333333333333,-5.643672770004754,2.314344631108263e-07,0.04072148471134818
mlp_own_era5_s1,1,1.0287350920179883,19422,1.4103758596823686,0.16221092721812938,,,,-4.5831330927821305,1.6212359997547207e-05,0.03990401083134121
mlp_corr_top1_era5_s2,1,1.0330822379039866,19422,2.7971748612893967,0.006421698554065308,20.0,4.0,0.8095238095238095,-3.675294495050045,0.00042271358803468184,0.03177267409234541
mlp_own_era5_s2,1,1.0345108972456776,19422,3.402360583866282,0.0010352498108383706,,,,-3.0265211245456958,0.0033047565401639165,0.029092880693783685
ridge_corr_top1,1,1.048279627108633,19422,,,20.0,20.0,0.047619047619047616,,,0.003076491631817002
kalman_ar1,1,1.048995163580747,19422,,,,,,,,0.0017150636951501763
ridge_own,1,1.0498958690826776,19422,,,,,,,,0.0
gbm_corr_top1,1,1.0535683216477707,19422,5.068056213766167,2.4418426708467408e-06,,,,,,-0.0070080769864473424
mlp_corr_top1_s2,1,1.0542511485878645,19422,5.429349181569798,5.63405788018822e-07,,,,,,-0.008313801643332619
gbm_own,1,1.056080681902913,19422,6.3669476155570885,1.0501945289646378e-08,,,,,,-0.011816466765099065
mlp_corr_top1_s0,1,1.0564858318256025,19422,6.781700806953134,1.6948184618263481e-09,,,,,,-0.01259295288694906
mlp_corr_top1_s1,1,1.056907715583794,19422,4.170578341356312,7.501444232432624e-05,,,,,,-0.013401826613888224
mlp_own_s1,1,1.0571660619889591,19422,5.1003633159869,2.145653078494048e-06,,,,,,-0.013897311153899583
mlp_own_s2,1,1.057851205029387,19422,4.997741232118854,3.2312805992034627e-06,,,,,,-0.015211938657482271
mlp_own_s0,1,1.0595133223362965,19422,4.9842127436723,3.409499153921698e-06,,,,,,-0.018404688195460928
gbm_corr_top1_era5,2,1.1868548798070746,19188,-2.404535850932215,0.01847442086742877,20.0,20.0,0.047619047619047616,-6.3097678431686886,1.3974665234749811e-08,0.02401140957901271
gbm_own_era5,2,1.1894202828559197,19188,-1.519815604052052,0.1324513246760371,,,,-4.92228124105064,4.429982628622207e-06,0.019787624259422487
ridge_own_era5,2,1.1929806049360119,19188,,,,,,-1.7052968564089228,0.09197152271630048,0.013910652131060575
ridge_corr_top1_era5,2,1.1935290417962932,19188,,,20.0,0.0,1.0,-1.754265415230681,0.0831670760683294,0.013003794041849703
kalman_ar1,2,1.1953584266583883,19188,,,,,,,,0.009975833060832495
ridge_own,2,1.201365758370325,19188,,,,,,,,0.0
mlp_corr_top1_era5_s0,2,1.2018556644063998,19188,2.3350520219260336,0.02201626540346089,20.0,13.0,0.38095238095238093,-1.501821684510818,0.13703168079611738,-0.0008157481138029166
ridge_corr_top1,2,1.2019491292838866,19188,,,20.0,0.0,1.0,,,-0.0009714153228821409
mlp_corr_top1_era5_s2,2,1.2028046795849983,19188,3.209629987644676,0.0019056308027021213,20.0,12.0,0.42857142857142855,-1.236258375655572,0.21993544824575145,-0.002396910232919991
mlp_own_era5_s1,2,1.2031331750856715,19188,3.8036669976446897,0.00027538497208047237,,,,-1.4348331644859011,0.1551845813238658,-0.0029445100974245797
gbm_own,2,1.2070648453165942,19188,7.976095296113442,8.372872311728965e-12,,,,,,-0.009510184029791091
gbm_corr_top1,2,1.2076213717080901,19188,5.5045481423293285,4.230912470455774e-07,,,,,,-0.010441283262021539
mlp_corr_top1_s0,2,1.2080312809994578,19188,5.701305339407157,1.8674295529968146e-07,,,,,,-0.011127358509313456
mlp_own_era5_s0,2,1.2081412064050348,19188,4.412843149213693,3.11663901952463e-05,,,,-0.5185492823111122,0.6054888196668814,-0.011311382952608362
mlp_corr_top1_s1,2,1.2095709743715235,19188,6.449087746431637,7.630121598903005e-09,,,,,,-0.013706460956732336
mlp_corr_top1_s2,2,1.209948086973736,19188,5.8142687011794045,1.161999268597765e-07,,,,,,-0.014338653828679826
mlp_own_era5_s2,2,1.2099566451655601,19188,4.6778223209834735,1.1448914986296458e-05,,,,-0.05383243588105595,0.9572012182488211,-0.014353003097988815
mlp_corr_top1_era5_s1,2,1.210023622024367,19188,4.529381999114661,2.013814806250066e-05,20.0,3.0,0.8571428571428571,0.06708997690436667,0.946675399758767,-0.014465304738698004
mlp_own_s2,2,1.2103255480779094,19188,7.963903634753865,8.848697311293949e-12,,,,,,-0.014971628274270232
mlp_own_s1,2,1.2106405008105874,19188,6.844099862501626,1.3463335262425772e-09,,,,,,-0.015499931887589025
mlp_own_s0,2,1.2118328197797017,19188,6.935041450345419,8.998848764729124e-10,,,,,,-0.01750118010133561
