model,horizon,rmse_std,n,n_months,n_basins,skill_vs_damped
ridge_corr_top1_era5,1,1.025714324132905,13620,60,227,0.08180924523507105
hybrid_era5_li,1,1.025714324132905,13620,60,227,0.08180924523507105
hybrid_era5_li_h1,1,1.025714324132905,13620,60,227,0.08180924523507105
kalman_corr_top1,1,1.0434302774616555,13620,60,227,0.049817683297859294
hybrid_kalman_li,1,1.0434302774616555,13620,60,227,0.049817683297859294
hybrid_kalman_li_h1,1,1.0434302774616555,13620,60,227,0.049817683297859294
damped_persistence_rho,1,1.0704341667623203,13620,60,227,0.0
li_lstm_full,1,1.1282225927525247,13620,60,227,-0.11088642333494936
li_lstm_nonseas,1,1.214204697212348,13620,60,227,-0.28666027288742457
li_lstm_full,2,1.1579726333267129,13620,60,227,0.14761184888760848
hybrid_kalman_li_h1,2,1.1579726333267129,13620,60,227,0.14761184888760848
hybrid_era5_li_h1,2,1.1579726333267129,13620,60,227,0.14761184888760848
ridge_corr_top1_era5,2,1.203184787743261,13620,60,227,0.07975073909461161
hybrid_era5_li,2,1.203184787743261,13620,60,227,0.07975073909461161
kalman_corr_top1,2,1.20611454768263,13620,60,227,0.07526366119081607
hybrid_kalman_li,2,1.20611454768263,13620,60,227,0.07526366119081607
li_lstm_nonseas,2,1.234656699115299,13620,60,227,0.030978870422772586
damped_persistence_rho,2,1.2542369577744898,13620,60,227,0.0
li_lstm_full,3,1.1886229174059446,13620,60,227,0.23303422757628878
hybrid_kalman_li,3,1.1886229174059446,13620,60,227,0.23303422757628878
hybrid_era5_li,3,1.1886229174059446,13620,60,227,0.23303422757628878
hybrid_kalman_li_h1,3,1.1886229174059446,13620,60,227,0.23303422757628878
hybrid_era5_li_h1,3,1.1886229174059446,13620,60,227,0.23303422757628878
li_lstm_nonseas,3,1.2523084916940865,13620,60,227,0.14864550180867608
kalman_corr_top1,3,1.2826530129866773,13620,60,227,0.10688752552969949
ridge_corr_top1_era5,3,1.2844124915875845,13620,60,227,0.1044355918218226
damped_persistence_rho,3,1.3572383044988974,13620,60,227,0.0
li_lstm_full,4,1.2200981521043466,13620,60,227,0.2897091831941222
hybrid_kalman_li,4,1.2200981521043466,13620,60,227,0.2897091831941222
hybrid_era5_li,4,1.2200981521043466,13620,60,227,0.2897091831941222
hybrid_kalman_li_h1,4,1.2200981521043466,13620,60,227,0.2897091831941222
hybrid_era5_li_h1,4,1.2200981521043466,13620,60,227,0.2897091831941222
li_lstm_nonseas,4,1.2669542592718508,13620,60,227,0.23410623711403622
kalman_corr_top1,4,1.3379516957608022,13620,60,227,0.14586301093792087
damped_persistence_rho,4,1.4476936499868291,13620,60,227,0.0
li_lstm_full,5,1.2547089234545585,13620,60,227,0.3169676651061627
hybrid_kalman_li,5,1.2547089234545585,13620,60,227,0.3169676651061627
hybrid_era5_li,5,1.2547089234545585,13620,60,227,0.3169676651061627
hybrid_kalman_li_h1,5,1.2547089234545585,13620,60,227,0.3169676651061627
hybrid_era5_li_h1,5,1.2547089234545585,13620,60,227,0.3169676651061627
li_lstm_nonseas,5,1.294252761178086,13620,60,227,0.2732358590991565
kalman_corr_top1,5,1.4041685546737492,13620,60,227,0.14455168229434245
damped_persistence_rho,5,1.518176815169077,13620,60,227,0.0
li_lstm_full,6,1.2776530815164593,13620,60,227,0.3414308054914127
hybrid_kalman_li,6,1.2776530815164593,13620,60,227,0.3414308054914127
hybrid_era5_li,6,1.2776530815164593,13620,60,227,0.3414308054914127
hybrid_kalman_li_h1,6,1.2776530815164593,13620,60,227,0.3414308054914127
hybrid_era5_li_h1,6,1.2776530815164593,13620,60,227,0.3414308054914127
li_lstm_nonseas,6,1.3131849274930818,13620,60,227,0.30429151957342837
kalman_corr_top1,6,1.4695092507931102,13620,60,227,0.1287953849372253
damped_persistence_rho,6,1.574389703057876,13620,60,227,0.0
hybrid_era5_li_h1,all,1.190318326759771,81720,65,227,0.2569198355655107
hybrid_kalman_li_h1,all,1.1928818873714593,81720,65,227,0.2537156803397843
hybrid_era5_li,all,1.197768712234286,81720,65,227,0.24758861784394803
hybrid_kalman_li,all,1.2008063170158794,81720,65,227,0.24376746856991238
li_lstm_full,all,1.2056770337440352,81720,65,227,0.23762015789940327
li_lstm_nonseas,all,1.263042934640461,81720,65,227,0.1633464549916439
kalman_corr_top1,all,1.2980703182076,81720,65,227,0.11629794115004277
damped_persistence_rho,all,1.3808461264892604,81720,65,227,0.0
