subset,model,horizon,rmse_std,n,n_months,n_basins,skill_vs_damped
all_matched,kalman_ar1,1,1.0424413687684628,13620,60,227,0.05161789611679313
all_matched,kalman_corr_top1,1,1.0434302774616555,13620,60,227,0.049817683297859294
all_matched,kalman_own_ridge,1,1.043587739065226,13620,60,227,0.04953088211200907
all_matched,ridge_own_perbasin,1,1.0560139553657457,13620,60,227,0.026761256062461047
all_matched,damped_persistence_rho,1,1.0704341667623203,13620,60,227,0.0
all_matched,li_lstm_full,1,1.1282225927525247,13620,60,227,-0.11088642333494936
all_matched,persistence,1,1.1701716396174084,13620,60,227,-0.1950311095597015
all_matched,li_lstm_nonseas,1,1.214204697212348,13620,60,227,-0.28666027288742457
all_matched,climatology_zero,1,1.636814408412198,13620,60,227,-1.3381854478888848
all_matched,li_lstm_full,2,1.1579726333267129,13620,60,227,0.14761184888760848
all_matched,kalman_ar1,2,1.1959930241380576,13620,60,227,0.09071902222303885
all_matched,kalman_own_ridge,2,1.2030691206869095,13620,60,227,0.07992766521240524
all_matched,kalman_corr_top1,2,1.20611454768263,13620,60,227,0.07526366119081607
all_matched,ridge_own_perbasin,2,1.2156395066596397,13620,60,227,0.06060028549371854
all_matched,li_lstm_nonseas,2,1.234656699115299,13620,60,227,0.030978870422772586
all_matched,damped_persistence_rho,2,1.2542369577744898,13620,60,227,0.0
all_matched,persistence,2,1.3695294668189517,13620,60,227,-0.19229459329385112
all_matched,climatology_zero,2,1.6552935653649625,13620,60,227,-0.7417702414041101
all_matched,li_lstm_full,3,1.1886229174059446,13620,60,227,0.23303422757628878
all_matched,li_lstm_nonseas,3,1.2523084916940865,13620,60,227,0.14864550180867608
all_matched,kalman_own_ridge,3,1.278748393471348,13620,60,227,0.11231682938877574
all_matched,kalman_ar1,3,1.2818218740378262,13620,60,227,0.10804459615782336
all_matched,kalman_corr_top1,3,1.2826530129866773,13620,60,227,0.10688752552969949
all_matched,ridge_own_perbasin,3,1.2956163400528848,13620,60,227,0.08874354593186318
all_matched,damped_persistence_rho,3,1.3572383044988974,13620,60,227,0.0
all_matched,persistence,3,1.4351885911627766,13620,60,227,-0.1181645792845114
all_matched,climatology_zero,3,1.6744047409881735,13620,60,227,-0.521979048815512
all_matched,li_lstm_full,4,1.2200981521043466,13620,60,227,0.2897091831941222
all_matched,li_lstm_nonseas,4,1.2669542592718506,13620,60,227,0.23410623711403633
all_matched,kalman_own_ridge,4,1.333685692502684,13620,60,227,0.15130108798555597
all_matched,kalman_corr_top1,4,1.3379516957608022,13620,60,227,0.14586301093792087
all_matched,kalman_ar1,4,1.3513670094066286,13620,60,227,0.12864869519740985
all_matched,ridge_own_perbasin,4,1.3619456363740579,13620,60,227,0.11495326108385029
all_matched,damped_persistence_rho,4,1.4476936499868291,13620,60,227,0.0
all_matched,persistence,4,1.4801192974148314,13620,60,227,-0.04529796003495479
all_matched,climatology_zero,4,1.6938207238786172,13620,60,227,-0.3689309590329617
all_matched,li_lstm_full,5,1.2547089234545585,13620,60,227,0.3169676651061627
all_matched,li_lstm_nonseas,5,1.2942527611780859,13620,60,227,0.2732358590991566
all_matched,kalman_own_ridge,5,1.4003892728466276,13620,60,227,0.1491503175945651
all_matched,kalman_corr_top1,5,1.4041685546737492,13620,60,227,0.14455168229434245
all_matched,kalman_ar1,5,1.4208547964854656,13620,60,227,0.12409967846842263
all_matched,ridge_own_perbasin,5,1.4399120553657152,13620,60,227,0.10044602723900997
all_matched,damped_persistence_rho,5,1.518176815169077,13620,60,227,0.0
all_matched,persistence,5,1.524010165210799,13620,60,227,-0.0076994416429172485
all_matched,climatology_zero,5,1.7202326333041627,13620,60,227,-0.2838954346444045
all_matched,li_lstm_full,6,1.2776530815164593,13620,60,227,0.3414308054914127
all_matched,li_lstm_nonseas,6,1.3131849274930818,13620,60,227,0.30429151957342837
all_matched,kalman_own_ridge,6,1.4657323499211594,13620,60,227,0.1332679324116388
all_matched,kalman_corr_top1,6,1.4695092507931102,13620,60,227,0.1287953849372253
all_matched,kalman_ar1,6,1.4779969051680628,13620,60,227,0.11870243949166615
