target_date,sum,count,model,fold,horizon
2019-07-01,200.7926847289913,234,gnn_corr_top1_rand0,f1,1
2019-08-01,286.78592078245356,234,gnn_corr_top1_rand0,f1,1
2019-09-01,183.80604555990112,234,gnn_corr_top1_rand0,f1,1
2019-10-01,252.84799521195674,234,gnn_corr_top1_rand0,f1,1
2019-11-01,268.83087767643457,234,gnn_corr_top1_rand0,f1,1
2019-12-01,255.29457952758884,234,gnn_corr_top1_rand0,f1,1
2020-01-01,243.67175659222914,234,gnn_corr_top1_rand0,f1,1
2020-02-01,184.33405131443578,234,gnn_corr_top1_rand0,f1,1
2020-03-01,250.93996420143276,234,gnn_corr_top1_rand0,f1,1
2020-04-01,252.99599655910757,234,gnn_corr_top1_rand0,f1,1
2020-05-01,230.07656444501148,234,gnn_corr_top1_rand0,f1,1
2020-06-01,209.36063244199815,234,gnn_corr_top1_rand0,f1,1
2020-07-01,297.50391876523736,234,gnn_corr_top1_rand0,f1,1
2020-08-01,266.1152723204863,234,gnn_corr_top1_rand0,f1,1
2020-09-01,455.9950595514841,234,gnn_corr_top1_rand0,f1,1
2020-10-01,279.73530057333943,234,gnn_corr_top1_rand0,f1,1
2020-11-01,238.77771302867902,234,gnn_corr_top1_rand0,f1,1
2019-07-01,201.93148244073893,234,gnn_corr_top2_rand0,f1,1
2019-08-01,286.91945451386647,234,gnn_corr_top2_rand0,f1,1
2019-09-01,182.79355433473498,234,gnn_corr_top2_rand0,f1,1
2019-10-01,253.33576719592855,234,gnn_corr_top2_rand0,f1,1
2019-11-01,268.19861034668,234,gnn_corr_top2_rand0,f1,1
2019-12-01,254.87875633888478,234,gnn_corr_top2_rand0,f1,1
2020-01-01,243.8093441864363,234,gnn_corr_top2_rand0,f1,1
2020-02-01,183.83836722485646,234,gnn_corr_top2_rand0,f1,1
2020-03-01,250.51013551794853,234,gnn_corr_top2_rand0,f1,1
2020-04-01,251.78017797742518,234,gnn_corr_top2_rand0,f1,1
2020-05-01,229.25424851937157,234,gnn_corr_top2_rand0,f1,1
2020-06-01,209.70710355577265,234,gnn_corr_top2_rand0,f1,1
2020-07-01,297.4189269907122,234,gnn_corr_top2_rand0,f1,1
2020-08-01,266.2332558528453,234,gnn_corr_top2_rand0,f1,1
2020-09-01,454.02200136228424,234,gnn_corr_top2_rand0,f1,1
2020-10-01,276.5444154092731,234,gnn_corr_top2_rand0,f1,1
2020-11-01,238.94924563572843,234,gnn_corr_top2_rand0,f1,1
2019-07-01,189.24701169882528,234,gnn_corr_top1_era5_rand0,f1,1
2019-08-01,241.9928523409737,234,gnn_corr_top1_era5_rand0,f1,1
2019-09-01,166.2853514943314,234,gnn_corr_top1_era5_rand0,f1,1
2019-10-01,252.3103774135005,234,gnn_corr_top1_era5_rand0,f1,1
2019-11-01,256.2406327602063,234,gnn_corr_top1_era5_rand0,f1,1
2019-12-01,204.78963119123105,234,gnn_corr_top1_era5_rand0,f1,1
2020-01-01,234.42007499761007,234,gnn_corr_top1_era5_rand0,f1,1
2020-02-01,172.50035122131092,234,gnn_corr_top1_era5_rand0,f1,1
2020-03-01,253.46787650112353,234,gnn_corr_top1_era5_rand0,f1,1
2020-04-01,224.5054142534613,234,gnn_corr_top1_era5_rand0,f1,1
2020-05-01,175.4417589539608,234,gnn_corr_top1_era5_rand0,f1,1
2020-06-01,203.8263336208854,234,gnn_corr_top1_era5_rand0,f1,1
2020-07-01,253.3225184365202,234,gnn_corr_top1_era5_rand0,f1,1
2020-08-01,246.76056847671757,234,gnn_corr_top1_era5_rand0,f1,1
2020-09-01,422.30551709158726,234,gnn_corr_top1_era5_rand0,f1,1
2020-10-01,281.5736632142301,234,gnn_corr_top1_era5_rand0,f1,1
2020-11-01,225.7498125064365,234,gnn_corr_top1_era5_rand0,f1,1
2019-07-01,185.1985490986129,234,gnn_corr_top2_era5_rand0,f1,1
