model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_ridge_twin,dm_p,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
ridge_corr_top1_era5,1,1.0236989492208675,19422,,,,,,-4.10808361082565,9.39506848663292e-05,0.04928124564113956
ridge_corr_top2_era5,1,1.0244006939804138,19422,,,,,,-4.515450629153089,2.095440530603166e-05,0.04797736509375661
gnn_corr_top1_era5_s2,1,1.0252020206034005,19422,20.0,17.0,0.19047619047619047,0.9002297097071982,0.37063427301208696,-4.577422600028051,1.656841085090918e-05,0.04648736325100966
gnn_corr_top2_era5_s2,1,1.025208265182571,19422,20.0,14.0,0.3333333333333333,0.36097730000845296,0.7190447453264003,-5.200879121723193,1.4315638452100132e-06,0.046475747387668576
ridge_own_era5,1,1.0253533779241089,19422,,,,,,-4.097987792377355,9.741226484922378e-05,0.04620579577728756
gnn_corr_top1_era5_s1,1,1.0296530918300622,19422,20.0,8.0,0.6190476190476191,3.988983469953517,0.00014350352926465056,-3.7308068970083577,0.000350502156012584,0.038189747961802856
gnn_corr_top2_era5_s1,1,1.030707544505704,19422,20.0,2.0,0.9047619047619048,4.037738248534181,0.000120762110302385,-3.2961242268690527,0.0014499273834080119,0.03621878763163988
gnn_corr_top1_era5_s0,1,1.0310764489578228,19422,20.0,6.0,0.7142857142857143,3.214912444255287,0.0018671795565157372,-3.0243413394374783,0.003326223164785886,0.0355287629802985
gnn_corr_top2_era5_s0,1,1.0404379119230696,19422,20.0,0.0,1.0,3.451549221779447,0.0008837293268570176,-1.2064735795109467,0.2311041766415439,0.017935790714980415
ridge_corr_top1,1,1.048279627108633,19422,,,,,,,,0.003076491631817002
kalman_ar1,1,1.048995163580747,19422,,,,,,,,0.0017150636951501763
ridge_own,1,1.0498958690826776,19422,,,,,,,,0.0
ridge_corr_top2,1,1.0502069121273592,19422,,,,,,,,-0.0005926094744845845
gnn_corr_top2_s0,1,1.0523942628582312,19422,20.0,20.0,0.047619047619047616,2.0651339127581188,0.04206942843179761,,,-0.004764980054461354
gnn_corr_top2_s1,1,1.0529102286989442,19422,20.0,19.0,0.09523809523809523,1.9784352335599118,0.05123719763318651,,,-0.00575045006701469
gnn_corr_top1_s2,1,1.0532414607852363,19422,20.0,16.0,0.23809523809523808,4.8943801008196095,4.861340233394688e-06,,,-0.006383342047876495
gnn_corr_top1_s0,1,1.053251520324126,19422,20.0,16.0,0.23809523809523808,4.2524684055003945,5.569374776132922e-05,,,-0.006402566131033405
gnn_corr_top2_s2,1,1.0540741996303444,19422,20.0,15.0,0.2857142857142857,3.8600138454937034,0.00022517180571723073,,,-0.007975352682686898
gnn_corr_top1_s1,1,1.0551324398537816,19422,20.0,6.0,0.7142857142857143,4.412871024611982,3.0795886893712285e-05,,,-0.01000028700091704
gnn_corr_top1_era5_s2,2,1.1903072592896171,19188,20.0,18.0,0.14285714285714285,-1.4861229222456573,0.14112865115683718,-3.3075622498214527,0.001405058879085046,0.018325148018761506
ridge_own_era5,2,1.1929806049360119,19188,,,,,,-1.7052968564089228,0.09197152271630048,0.013910652131060575
