target_date,sum,count,model,fold,horizon
2019-07-01,199.58674113580207,234,lstm_corr_top1_rand0,f1,1
2019-08-01,285.2291953527379,234,lstm_corr_top1_rand0,f1,1
2019-09-01,182.5999472201507,234,lstm_corr_top1_rand0,f1,1
2019-10-01,253.77133355974036,234,lstm_corr_top1_rand0,f1,1
2019-11-01,268.19140743639053,234,lstm_corr_top1_rand0,f1,1
2019-12-01,257.6395162908179,234,lstm_corr_top1_rand0,f1,1
2020-01-01,242.94041780732485,234,lstm_corr_top1_rand0,f1,1
2020-02-01,185.80004753337192,234,lstm_corr_top1_rand0,f1,1
2020-03-01,249.1949807569794,234,lstm_corr_top1_rand0,f1,1
2020-04-01,250.16331016320774,234,lstm_corr_top1_rand0,f1,1
2020-05-01,230.1100602692487,234,lstm_corr_top1_rand0,f1,1
2020-06-01,209.98526610743127,234,lstm_corr_top1_rand0,f1,1
2020-07-01,298.81008978275077,234,lstm_corr_top1_rand0,f1,1
2020-08-01,259.28925856351174,234,lstm_corr_top1_rand0,f1,1
2020-09-01,445.86201696152733,234,lstm_corr_top1_rand0,f1,1
2020-10-01,275.64891232624626,234,lstm_corr_top1_rand0,f1,1
2020-11-01,234.27399551792547,234,lstm_corr_top1_rand0,f1,1
2019-07-01,184.71143484698484,234,lstm_corr_top1_era5_rand0,f1,1
2019-08-01,239.93070553927657,234,lstm_corr_top1_era5_rand0,f1,1
2019-09-01,160.68478684905932,234,lstm_corr_top1_era5_rand0,f1,1
2019-10-01,243.8058726888054,234,lstm_corr_top1_era5_rand0,f1,1
2019-11-01,257.34810534758054,234,lstm_corr_top1_era5_rand0,f1,1
2019-12-01,203.49682812884367,234,lstm_corr_top1_era5_rand0,f1,1
2020-01-01,233.37858344480222,234,lstm_corr_top1_era5_rand0,f1,1
2020-02-01,162.21916632991508,234,lstm_corr_top1_era5_rand0,f1,1
2020-03-01,242.81177977115803,234,lstm_corr_top1_era5_rand0,f1,1
2020-04-01,218.69321933742032,234,lstm_corr_top1_era5_rand0,f1,1
2020-05-01,188.037447084515,234,lstm_corr_top1_era5_rand0,f1,1
2020-06-01,194.68145262010876,234,lstm_corr_top1_era5_rand0,f1,1
2020-07-01,258.8161311608693,234,lstm_corr_top1_era5_rand0,f1,1
2020-08-01,237.58823119368606,234,lstm_corr_top1_era5_rand0,f1,1
2020-09-01,402.5387485293976,234,lstm_corr_top1_era5_rand0,f1,1
2020-10-01,274.5305885190811,234,lstm_corr_top1_era5_rand0,f1,1
