model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_ridge_twin,dm_p,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
ridge_own_era5_flat12,1,1.0080943629686112,19422,,,,,,,,0.07804458668097125
lstm_corr_top1_era5_s0,1,1.0116751198076945,19422,20.0,20.0,0.047619047619047616,-3.927599653336996,0.00017801338103710723,-8.185655457042133,2.994178022048584e-12,0.07148337299335383
lstm_own_era5_s0,1,1.0132379357144172,19422,,,,-3.94551711180798,0.0001671944059947433,-8.8387734220548,1.5063922085294117e-13,0.0686124486387576
lstm_corr_top1_era5_s1,1,1.0160954181723412,19422,20.0,18.0,0.14285714285714285,-3.252027847439112,0.001664195517744427,-6.172763185947353,2.4387107238061035e-08,0.0633517368122366
lstm_own_era5_s1,1,1.0188142661374784,19422,,,,-3.0433555637054157,0.003143248212845836,-5.512620868934701,3.99400440044735e-07,0.05833250091106623
mlp_own_era5_flat12_s0,1,1.0235227370040745,19422,,,,7.273320193377894,1.8837497740911145e-10,,,0.049608517327452084
ridge_corr_top1_era5,1,1.0236989492208675,19422,,,,,,-4.10808361082565,9.39506848663292e-05,0.04928124564113956
ridge_own_era5,1,1.0253533779241089,19422,,,,,,-4.097987792377355,9.741226484922378e-05,0.04620579577728756
mlp_own_era5_flat12_s1,1,1.0291242391954547,19422,,,,5.263722036093459,1.1095890703931125e-06,,,0.03917750832760558
ridge_own_flat12,1,1.04475428331626,19422,,,,,,,,0.00977048513684653
lstm_corr_top1_s1,1,1.0463824839490259,19422,20.0,20.0,0.047619047619047616,-1.5840549190221662,0.11703057452127774,,,0.006681627422649994
lstm_own_s1,1,1.0473394814356567,19422,,,,-2.4970468207368675,0.014524535938144427,,,0.004863864032045084
lstm_corr_top1_s0,1,1.0477169133044455,19422,20.0,20.0,0.047619047619047616,-0.39335526360124495,0.6950779791475065,,,0.004146496310648451
ridge_corr_top1,1,1.048279627108633,19422,,,,,,,,0.003076491631817002
kalman_ar1,1,1.048995163580747,19422,,,,,,,,0.0017150636951501763
lstm_own_s0,1,1.0493326113444184,19422,,,,-0.5486650849206173,0.5847261372211935,,,0.001072690471522364
ridge_own,1,1.0498958690826776,19422,,,,,,,,0.0
ridge_own_era5_flat12,2,1.1627100245755497,19188,,,,,,,,0.06331765427147407
lstm_own_era5_s0,2,1.1758316991495286,19188,,,,-6.91515808507436,9.828451506819468e-10,-4.8122742650621175,6.811256018335532e-06,0.042056644512154295
mlp_own_era5_flat12_s0,2,1.17828076714888,19188,,,,5.08913808013613,2.2870594592974696e-06,,,0.03806200538124416
lstm_corr_top1_era5_s1,2,1.180907456125879,19188,20.0,0.0,1.0,-6.083798754947263,3.6973828661617325e-08,-4.571454935075459,1.7175769931423058e-05,0.033768413665450026
lstm_corr_top1_era5_s0,2,1.18435314464296,19188,20.0,8.0,0.6190476190476191,-3.975504020943445,0.00015174921216752293,-3.3883738895177005,0.0010879253975716206,0.02812158625250749
lstm_own_era5_s1,2,1.1851037691223518,19188,,,,-3.600703269819376,0.0005455074683414266,-1.8558113197409845,0.06711747474368794,0.026889273222436616
ridge_own_flat12,2,1.1864657883326208,19188,,,,,,,,0.02465122932252406
ridge_own_era5,2,1.1929806049360119,19188,,,,,,-1.7052968564089228,0.09197152271630048,0.013910652131060575
ridge_corr_top1_era5,2,1.1935290417962932,19188,,,,,,-1.754265415230681,0.0831670760683294,0.013003794041849703
mlp_own_era5_flat12_s1,2,1.1935463914129523,19188,,,,6.060840161494467,4.078976407609124e-08,,,0.012975099088181397
kalman_ar1,2,1.1953584266583883,19188,,,,,,,,0.009975833060832495
lstm_own_s1,2,1.1954563388302726,19188,,,,-4.0755255085272735,0.00010652493101959834,,,0.00981364005788754
lstm_own_s0,2,1.1964443019077686,19188,,,,-3.571981360671817,0.0005998052499643611,,,0.008176320872965714
lstm_corr_top1_s0,2,1.2003297585092678,19188,20.0,1.0,0.9523809523809523,-0.8179503528940919,0.4157852185490683,,,0.0017239598443635762
ridge_own,2,1.201365758370325,19188,,,,,,,,0.0
ridge_corr_top1,2,1.2019491292838866,19188,,,,,,,,-0.0009714153228821409
lstm_corr_top1_s1,2,1.202073508741314,19188,20.0,0.0,1.0,0.05351893428205002,0.9574502221252487,,,-0.0011785900197813781
ridge_own_era5_flat12,3,1.2462092401223608,18954,,,,,,,,0.03804602088232023
lstm_own_era5_s0,3,1.257797663942029,18954,,,,-5.1305196619495606,1.976847650253268e-06,-4.884225718915844,5.23099397468802e-06,0.020072537541652724
mlp_own_era5_flat12_s0,3,1.2602260681068813,18954,,,,5.447489106217289,5.481311264325157e-07,,,0.016285033112769076
ridge_own_flat12,3,1.2621663743766212,18954,,,,,,,,0.01325354894178099
lstm_corr_top1_era5_s1,3,1.2623943983067343,18954,20.0,14.0,0.3333333333333333,-3.6242216969308236,0.0005077327695865983,-6.122455310095882,3.2420640930646965e-08,0.012896984018389679
lstm_own_era5_s1,3,1.2630043905751323,18954,,,,-2.334534622911344,0.022076288056542753,-3.3790961357946325,0.0011261421519337042,0.011942812037105677
lstm_corr_top1_era5_s0,3,1.26442638971415,18954,20.0,11.0,0.47619047619047616,-1.9801379323122663,0.05112618649529884,-3.900815126347385,0.00019857877980867614,0.009716679768113079
ridge_own_era5,3,1.2685130189219525,18954,,,,,,-0.5151345908952136,0.6078794759416654,0.003305139163872317
ridge_corr_top1_era5,3,1.2696690468483842,18954,,,,,,-0.5455783586600388,0.5868738529657064,0.001487685036459685
ridge_own,3,1.270614535742653,18954,,,,,,,,0.0
ridge_corr_top1,3,1.2718307551060493,18954,,,,,,,,-0.0019152959541937076
kalman_ar1,3,1.2733980750571514,18954,,,,,,,,-0.004386205556974998
lstm_own_s1,3,1.2760483391779875,18954,,,,2.5222975695872196,0.013642852583939848,,,-0.008571320657701609
lstm_corr_top1_s0,3,1.2776569363313641,18954,20.0,4.0,0.8095238095238095,2.467321627537196,0.015747602195349094,,,-0.011115750208732011
lstm_own_s0,3,1.2786436293374406,18954,,,,2.937850135176721,0.004316239220932682,,,-0.012678057024021472
mlp_own_era5_flat12_s1,3,1.279948830381442,18954,,,,8.502538667026784,8.347043752359077e-13,,,-0.01474653494469047
lstm_corr_top1_s1,3,1.283567985568172,18954,20.0,0.0,1.0,3.6685302036460037,0.0004380564648219305,,,-0.020493198051248607
