model,horizon,rmse_std,n,placebo_n,placebo_beaten,p_rank,dm_vs_ridge_twin,dm_p,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
resmlp_corr_top2_era5_s1,1,1.0139481278333746,19422,20.0,14.0,0.3333333333333333,-3.078026904686699,0.0028334410720857474,-6.59506447084454,3.865813603299936e-09,0.06730634690312909
resmlp_own_era5_s2,1,1.014491055801931,19422,,,,-4.0773874574683795,0.00010485978520250089,,,0.06630724047773062
resmlp_own_era5_s0,1,1.0147961728577806,19422,,,,-4.230538391772948,6.0336464419504454e-05,,,0.06574552349631535
resmlp_corr_top2_era5_s0,1,1.0152244258298915,19422,20.0,8.0,0.6190476190476191,-3.1173543186106927,0.0025165038889879967,-6.493335338336184,6.044012000674785e-09,0.06495682978763417
resmlp_own_era5_s1,1,1.0156356221032945,19422,,,,-3.847999993933049,0.00023471818436036817,,,0.06419923546366002
resmlp_corr_top1_era5_s0,1,1.0157810232867062,19422,20.0,18.0,0.14285714285714285,-2.5772423063384786,0.011749458764616973,-6.751847096938603,1.934528518128464e-09,0.0639312726717507
resmlp_corr_top1_era5_s1,1,1.0181850243424164,19422,20.0,4.0,0.8095238095238095,-2.1760160849316597,0.03243175621359459,-5.126262417077694,1.933851679726305e-06,0.059495330261719714
resmlp_corr_top2_era5_s2,1,1.0230086443274837,19422,20.0,0.0,1.0,-0.36124085213230145,0.7188484797905164,-3.0975425814892255,0.002671792957414629,0.05056299851231272
ridge_corr_top1_era5,1,1.0236989492208675,19422,,,,,,-4.10808361082565,9.39506848663292e-05,0.04928124564113956
resmlp_corr_top1_era5_s2,1,1.0239850977548237,19422,20.0,0.0,1.0,0.09553455248026829,0.9241233316287913,-2.760787356753517,0.00711277970458064,0.04874967373752903
ridge_corr_top2_era5,1,1.0244006939804138,19422,,,,,,-4.515450629153089,2.095440530603166e-05,0.04797736509375661
ridge_own_era5,1,1.0253533779241089,19422,,,,,,-4.097987792377355,9.741226484922378e-05,0.04620579577728756
resmlp_corr_top2_s2,1,1.043382528200892,19422,20.0,20.0,0.047619047619047616,-5.4131334310351145,6.022932452244248e-07,,,0.012369106976346522
resmlp_corr_top2_s0,1,1.0435317026214699,19422,20.0,20.0,0.047619047619047616,-5.3484432910034645,7.85388238592603e-07,,,0.012086679785542453
resmlp_corr_top1_s1,1,1.0435535539737684,19422,20.0,20.0,0.047619047619047616,-4.622079505452201,1.3974611682319261e-05,,,0.01204530592413977
resmlp_corr_top2_s1,1,1.044089657869717,19422,20.0,20.0,0.047619047619047616,-5.849519267025419,9.725818058060047e-08,,,0.011029962905300672
resmlp_corr_top1_s2,1,1.0441496730410498,19422,20.0,20.0,0.047619047619047616,-4.298827905304918,4.6986280742448996e-05,,,0.010916265941426695
resmlp_corr_top1_s0,1,1.044821124100372,19422,20.0,20.0,0.047619047619047616,-3.0999018310683386,0.002652843611238724,,,0.009643776234008361
ridge_corr_top1,1,1.048279627108633,19422,,,,,,,,0.003076491631817002
kalman_ar1,1,1.048995163580747,19422,,,,,,,,0.0017150636951501763
ridge_own,1,1.0498958690826776,19422,,,,,,,,0.0
ridge_corr_top2,1,1.0502069121273592,19422,,,,,,,,-0.0005926094744845845
resmlp_corr_top2_era5_s1,2,1.1747919760912648,19188,20.0,18.0,0.14285714285714285,-6.1308648313053755,3.021919508390381e-08,-5.495901665296714,4.384603900128743e-07,0.04375000835645804
resmlp_corr_top2_era5_s0,2,1.17594415142926,19188,20.0,19.0,0.09523809523809523,-6.2474092950026945,1.829887800726265e-08,-4.603465729956945,1.5209693439571546e-05,0.0418734072931366
resmlp_own_era5_s0,2,1.176005294736688,19188,,,,-5.988598923784156,5.551692155666833e-08,,,0.04177376896974139
resmlp_own_era5_s2,2,1.1772656150275087,19188,,,,-5.631187836119291,2.502493771917972e-07,,,0.03971881378163211
resmlp_own_era5_s1,2,1.1788150973450722,19188,,,,-4.652015110846826,1.2638364189402907e-05,,,0.03718936267139872
resmlp_corr_top2_era5_s2,2,1.1802067843460085,19188,20.0,11.0,0.47619047619047616,-4.401959372879702,3.2453878630851915e-05,-2.1983818150498435,0.03077538530094139,0.034914668361682555
resmlp_corr_top1_era5_s1,2,1.1808967989552681,19188,20.0,17.0,0.19047619047619047,-4.385389106592406,3.451337921249739e-05,-2.0529772937677273,0.043302661904722595,0.033785853217292106
resmlp_corr_top1_era5_s0,2,1.1817409604570326,19188,20.0,11.0,0.47619047619047616,-4.371048111417866,3.639737391797943e-05,-1.6731200257302892,0.09816179399587753,0.03240396732275097
resmlp_corr_top1_era5_s2,2,1.1885590548695186,19188,20.0,3.0,0.8571428571428571,-1.3306375668389663,0.18704216952806155,-0.02986854173069885,0.976245366597146,0.021206602422471188
resmlp_corr_top1_s2,2,1.1887601276141215,19188,20.0,20.0,0.047619047619047616,-8.548555480588318,6.207010650928523e-13,,,0.020875402518766073
resmlp_corr_top1_s1,2,1.1889535095116872,19188,20.0,20.0,0.047619047619047616,-7.364733350560318,1.3219922161439406e-10,,,0.0205568178538037
resmlp_corr_top1_s0,2,1.1898952659003754,19188,20.0,20.0,0.047619047619047616,-8.089243458074609,5.011152118632068e-12,,,0.019004592006898413
resmlp_corr_top2_s2,2,1.190967113366666,19188,20.0,20.0,0.047619047619047616,-8.613556448968268,4.61692453363005e-13,,,0.017236451476240644
