target_date,sum,count,model,fold,horizon
2019-07-01,181.2904550316373,234,lstmres_corr_top1_s0_rand0,f1,1
2019-08-01,239.71966698780426,234,lstmres_corr_top1_s0_rand0,f1,1
2019-09-01,159.96827032072508,234,lstmres_corr_top1_s0_rand0,f1,1
2019-10-01,247.01049184608112,234,lstmres_corr_top1_s0_rand0,f1,1
2019-11-01,259.73110780916363,234,lstmres_corr_top1_s0_rand0,f1,1
2019-12-01,205.08483953403183,234,lstmres_corr_top1_s0_rand0,f1,1
2020-01-01,231.59348875191847,234,lstmres_corr_top1_s0_rand0,f1,1
2020-02-01,164.82374529705672,234,lstmres_corr_top1_s0_rand0,f1,1
2020-03-01,242.1004792378537,234,lstmres_corr_top1_s0_rand0,f1,1
2020-04-01,217.52675837030785,234,lstmres_corr_top1_s0_rand0,f1,1
2020-05-01,182.89340848027683,234,lstmres_corr_top1_s0_rand0,f1,1
2020-06-01,193.51296275365183,234,lstmres_corr_top1_s0_rand0,f1,1
2020-07-01,260.17747446909584,234,lstmres_corr_top1_s0_rand0,f1,1
2020-08-01,233.32785896083104,234,lstmres_corr_top1_s0_rand0,f1,1
2020-09-01,405.7250896477387,234,lstmres_corr_top1_s0_rand0,f1,1
2020-10-01,282.85790314959877,234,lstmres_corr_top1_s0_rand0,f1,1
2020-11-01,223.84027429732672,234,lstmres_corr_top1_s0_rand0,f1,1
2019-07-01,182.21336191691233,234,lstmres_corr_top1_s1_rand0,f1,1
2019-08-01,238.51424636282894,234,lstmres_corr_top1_s1_rand0,f1,1
2019-09-01,160.03194672499552,234,lstmres_corr_top1_s1_rand0,f1,1
2019-10-01,247.46992219360877,234,lstmres_corr_top1_s1_rand0,f1,1
2019-11-01,259.2419519149308,234,lstmres_corr_top1_s1_rand0,f1,1
2019-12-01,205.7896622980649,234,lstmres_corr_top1_s1_rand0,f1,1
2020-01-01,234.47265285833038,234,lstmres_corr_top1_s1_rand0,f1,1
2020-02-01,167.5345173183617,234,lstmres_corr_top1_s1_rand0,f1,1
