model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
lstmres_corr_top1_s0,1,0.9866427694031292,3978,-7.440840729401419,1.4012177567509591e-06,2.0,2.0,0.3333333333333333,,,0.09957980840801894
lstm_own_era5_s0,1,0.9920906008291971,3978,-1.203721772962459,0.24620450134071634,,,,,,0.08960886413823421
ridge_corr_top1_era5,1,0.9924414674875204,3978,,,,,,-6.078304590770402,1.5980781901059564e-05,0.08896480525883688
lstm_corr_top1_era5_s0,1,0.9924617107483387,3978,0.006009562922152753,0.9952793835341657,,,,,,0.08892763931655401
ridge_own_era5,1,0.9943449012968181,3978,,,,,,-5.758734607768628,2.9337557835359408e-05,0.08546684959078865
lstmres_nbrin_corr_top1_s0,1,0.9951027867051603,3978,,,2.0,2.0,0.3333333333333333,,,0.08407221182983893
lstmres_own_s0,1,1.0022955115194043,3978,-4.605979645591826,0.0002921455769308552,,,,,,0.0707834820352381
kalman_ar1,1,1.0372488533231543,3978,,,,,,,,0.004843744997207411
ridge_corr_top1,1,1.0380592787829421,3978,,,,,,,,0.003288062325565444
ridge_own,1,1.0397701007108455,3978,,,,,,,,0.0
