model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
lstmres_oof_corr_top1_s0,1,1.0086168371766555,19422,,,20.0,20.0,0.047619047619047616,,,0.07708867864477686
lstmres_corr_top1_s0,1,1.0099931991969622,19422,-8.989545724076978,7.549995693900526e-14,20.0,20.0,0.047619047619047616,,,0.07456814409761103
lstmres_oof_corr_top1_s1,1,1.0116367515316307,19422,,,20.0,20.0,0.047619047619047616,,,0.0715538005565477
lstm_corr_top1_era5_s0,1,1.0116751198076945,19422,-3.927599653336996,0.00017801338103710723,,,,,,0.07148337299335383
lstmres_corr_top1_s1,1,1.0127272050001137,19422,-6.919915984782917,9.169648820122276e-10,20.0,20.0,0.047619047619047616,,,0.06955115873912454
lstm_own_era5_s0,1,1.0132379357144172,19422,-3.94551711180798,0.0001671944059947433,,,,,,0.0686124486387576
lstmres_nbrin_corr_top1_s0,1,1.0140031837246222,19422,,,20.0,0.0,1.0,,,0.06720505636755869
lstm_corr_top1_era5_s1,1,1.0160954181723412,19422,-3.252027847439112,0.001664195517744427,,,,,,0.0633517368122366
lstmres_nbrin_corr_top1_s1,1,1.0167678370739575,19422,,,20.0,19.0,0.09523809523809523,,,0.06211163990349977
lstmres_corr_top1_hist12_s0,1,1.0171909788932691,19422,,,20.0,18.0,0.14285714285714285,,,0.06133084737281824
lstmres_corr_top1_hist12_s1,1,1.0182856990562863,19422,,,20.0,20.0,0.047619047619047616,,,0.05930933318393017
lstmres_own_s0,1,1.0184462128459695,19422,-8.032751967530432,6.017702590359316e-12,,,,,,0.059012745056112315
lstmres_oof_own_s0,1,1.0184759947150805,19422,,,,,,,,0.05895771069365108
lstm_own_era5_s1,1,1.0188142661374784,19422,-3.0433555637054157,0.003143248212845836,,,,,,0.05833250091106623
ridge_corr_top1_era5,1,1.0236989492208675,19422,,,,,,-4.10808361082565,9.39506848663292e-05,0.04928124564113956
lstmres_oof_own_s1,1,1.0250964629932438,19422,,,,,,,,0.04668370569189517
ridge_own_era5,1,1.0253533779241089,19422,,,,,,-4.097987792377355,9.741226484922378e-05,0.04620579577728756
lstmres_own_s1,1,1.0254135575778416,19422,-4.762361875722359,8.14162535403488e-06,,,,,,0.04609383303234782
ridge_corr_top1,1,1.048279627108633,19422,,,,,,,,0.003076491631817002
kalman_ar1,1,1.048995163580747,19422,,,,,,,,0.0017150636951501763
ridge_own,1,1.0498958690826776,19422,,,,,,,,0.0
lstmres_oof_corr_top1_s0,2,1.1661286485898343,19188,,,20.0,20.0,0.047619047619047616,,,0.05780145121388314
lstmres_corr_top1_s0,2,1.1679834944043457,19188,-7.955805353796111,9.179576179831941e-12,20.0,20.0,0.047619047619047616,,,0.05480174285321382
lstmres_oof_corr_top1_s1,2,1.1750265608791641,19188,,,20.0,20.0,0.047619047619047616,,,0.04336807844455037
lstmres_corr_top1_s1,2,1.1758042679554677,19188,-4.959441267425356,3.826854847471751e-06,20.0,20.0,0.047619047619047616,,,0.04210134006439381
lstm_own_era5_s0,2,1.1758316991495286,19188,-6.91515808507436,9.828451506819468e-10,,,,,,0.042056644512154295
lstmres_corr_top1_hist12_s0,2,1.176873155208719,19188,,,20.0,20.0,0.047619047619047616,,,0.040358956426559844
lstmres_nbrin_corr_top1_s1,2,1.1780224525211251,19188,,,20.0,20.0,0.047619047619047616,,,0.03848373070255928
lstm_corr_top1_era5_s1,2,1.180907456125879,19188,-6.083798754947263,3.6973828661617325e-08,,,,,,0.033768413665450026
lstmres_oof_own_s0,2,1.1812921362897202,19188,,,,,,,,0.0331388119774072
lstmres_nbrin_corr_top1_s0,2,1.182978855142263,19188,,,20.0,20.0,0.047619047619047616,,,0.0303757574605652
lstmres_own_s0,2,1.1843300492265623,19188,-4.098583914236487,9.811071709230185e-05,,,,,,0.02815949001103113
lstmres_corr_top1_hist12_s1,2,1.1843421433015984,19188,,,20.0,20.0,0.047619047619047616,,,0.028139641537084925
lstm_corr_top1_era5_s0,2,1.18435314464296,19188,-3.975504020943445,0.00015174921216752293,,,,,,0.02812158625250749
lstm_own_era5_s1,2,1.1851037691223518,19188,-3.600703269819376,0.0005455074683414266,,,,,,0.026889273222436616
ridge_own_era5,2,1.1929806049360119,19188,,,,,,-1.7052968564089228,0.09197152271630048,0.013910652131060575
lstmres_oof_own_s1,2,1.1933678568732093,19188,,,,,,,,0.013270361774297634
ridge_corr_top1_era5,2,1.1935290417962932,19188,,,,,,-1.754265415230681,0.0831670760683294,0.013003794041849703
lstmres_own_s1,2,1.1936362107213772,19188,-1.386548537166888,0.1693839755706234,,,,,,0.012826538076356031
kalman_ar1,2,1.1953584266583883,19188,,,,,,,,0.009975833060832495
ridge_own,2,1.201365758370325,19188,,,,,,,,0.0
ridge_corr_top1,2,1.2019491292838866,19188,,,,,,,,-0.0009714153228821409
lstmres_oof_corr_top1_s0,3,1.2478796955741254,18954,,,20.0,20.0,0.047619047619047616,,,0.035465429781224134
lstmres_corr_top1_s0,3,1.2496723795166986,18954,-5.986380375613913,5.786493123630693e-08,20.0,20.0,0.047619047619047616,,,0.03269216943420883
lstmres_oof_corr_top1_s1,3,1.2536965298073544,18954,,,20.0,20.0,0.047619047619047616,,,0.026452358833728096
lstmres_corr_top1_s1,3,1.2544104717973905,18954,-4.070009371438569,0.00010964968806388993,20.0,20.0,0.047619047619047616,,,0.025343231655715837
lstm_own_era5_s0,3,1.257797663942029,18954,-5.1305196619495606,1.976847650253268e-06,,,,,,0.020072537541652724
lstmres_nbrin_corr_top1_s1,3,1.2600404510539354,18954,,,20.0,20.0,0.047619047619047616,,,0.01657479195949818
lstm_corr_top1_era5_s1,3,1.2623943983067343,18954,-3.6242216969308236,0.0005077327695865983,,,,,,0.012896984018389679
lstm_own_era5_s1,3,1.2630043905751323,18954,-2.334534622911344,0.022076288056542753,,,,,,0.011942812037105677
lstmres_nbrin_corr_top1_s0,3,1.2630653152194349,18954,,,20.0,20.0,0.047619047619047616,,,0.01184748618540643
lstmres_corr_top1_hist12_s0,3,1.264287611458722,18954,,,20.0,2.0,0.9047619047619048,,,0.00993404671143805
lstm_corr_top1_era5_s0,3,1.26442638971415,18954,-1.9801379323122663,0.05112618649529884,,,,,,0.009716679768113079
lstmres_corr_top1_hist12_s1,3,1.265759418816609,18954,,,20.0,13.0,0.38095238095238093,,,0.007627554856504126
lstmres_oof_own_s0,3,1.2677280531050008,18954,,,,,,,,0.004538282718947406
ridge_own_era5,3,1.2685130189219525,18954,,,,,,-0.5151345908952136,0.6078794759416654,0.003305139163872317
lstmres_own_s0,3,1.2692922759296252,18954,-0.33437019357592335,0.7389752454399106,,,,,,0.0020802088654302553
ridge_corr_top1_era5,3,1.2696690468483842,18954,,,,,,-0.5455783586600388,0.5868738529657064,0.001487685036459685
ridge_own,3,1.270614535742653,18954,,,,,,,,0.0
ridge_corr_top1,3,1.2718307551060493,18954,,,,,,,,-0.0019152959541937076
kalman_ar1,3,1.2733980750571514,18954,,,,,,,,-0.004386205556974998
lstmres_oof_own_s1,3,1.2744960343233138,18954,,,,,,,,-0.006118971743006796
lstmres_own_s1,3,1.275432227896346,18954,0.9539796321194495,0.34296765006820706,,,,,,-0.00759762375720463
