source,challenger,reference,stratum,horizon,n_basins,n_rows,skill_pct,ci_lo_pct,ci_hi_pct,dm_stat,dm_p
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,1,234,19422,0.9077398146805749,0.6417126788609195,1.2154194345912466,-7.391735391923232,1.1047632061352998e-10
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,2,234,19188,1.446956010700251,1.0743221789522477,1.9138209637552215,-7.2408611482105885,2.3031118355396668e-10
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,3,234,18954,1.334137702777194,1.0223346280094248,1.6919606274760117,-6.77304438235014,1.9300186828554637e-09
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,4,234,18720,1.3233607405273795,0.9639545249261741,1.763677388898321,-6.137937575394095,3.143115464844757e-08
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,5,234,18486,1.4198771831945067,1.0583171725644385,1.8355766800627757,-6.526621758596223,6.174978363506912e-09
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,all,6,234,18252,1.9613194408366397,1.6645566258783058,2.3599615744555638,-8.998470530103988,1.2073472090693242e-13
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,1,199,16517,0.989118812334544,0.6925676738338749,1.3115942571712524,-7.130867731834959,3.5719713088837833e-10
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,2,199,16318,1.5894616275803908,1.2109606258549412,2.065136002201456,-7.605898439547782,4.4668943644079986e-11
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,3,199,16119,1.4287000887783008,1.1161619938139167,1.7904524136928723,-7.156037700168591,3.5521907677683416e-10
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,4,199,15920,1.4350902800454701,1.0824801072847567,1.86810138890552,-6.664368419662095,3.2508946628959087e-09
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,5,199,15721,1.5587097098976987,1.2209264564512485,1.9461609351273907,-7.6195273373722285,5.116424505566394e-11
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_resolved,6,199,15522,2.1493977091897487,1.868181769988255,2.537140975047805,-9.993870651192402,1.4850732411986514e-15
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,1,35,2905,0.6364189511421037,0.3301276336458242,0.9749574991256585,-4.513015808376678,2.1147927414824786e-05
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,2,35,2870,0.8755621877065134,0.42006123819204905,1.3977706241339483,-3.825047846601507,0.00025591963181939505
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,3,35,2835,0.9255550537444868,0.4624966821233622,1.4170289193679049,-3.4968055684807346,0.000771482441409963
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,4,35,2800,0.823158824149206,0.2252185721500324,1.4820414562939295,-2.532554021219053,0.013304962497388422
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,5,35,2765,0.7731764647029626,0.08543171461949191,1.5105001511507876,-2.0553235816362276,0.04319480400938403
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,area_sub_resolution,6,35,2730,1.045182722113902,0.42739369392355675,1.696049361217216,-3.0302835891430866,0.0033259415268456823
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,1,78,6474,0.6874207745863448,0.23103731301940936,1.1541874812454025,-3.5253021937285656,0.0006952194896034389
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,2,78,6396,1.3075167769380114,0.6854840565795056,2.023673817905243,-4.1467992026692455,8.253317307921351e-05
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,3,78,6318,1.2912082451371876,0.6950105156080622,1.9564931693494036,-3.548696997832305,0.0006513444204639988
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,4,78,6240,1.2832512253190709,0.6530296075541164,1.9920425627287002,-3.489492861278071,0.0007944908618977148
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,5,78,6162,1.3146354927646486,0.49639392094174173,2.1340058370948243,-2.776890704388516,0.006869646811887374
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_low,6,78,6084,1.841098877013858,1.0676754898331775,2.712926262671268,-3.838467881167431,0.00025221095313471655
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,1,78,6474,1.0916683230091317,0.769302592035054,1.486547577272523,-5.846081479698456,9.868582607834912e-08
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,2,78,6396,1.5841633568311142,1.1439809264315421,2.132556670157139,-6.107734149519916,3.337082294075626e-08
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,3,78,6318,1.4402960262179687,0.9949813272181304,1.9886168873741332,-4.9169702471560255,4.602055618355318e-06
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,4,78,6240,1.334008904591133,0.7541779776335344,1.990568789260067,-4.044236176408805,0.0001212628304114182
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,5,78,6162,1.6053809260393903,1.1539689730121248,2.2528675454045137,-5.288657526886708,1.094683609751375e-06
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_mid,6,78,6084,2.013128900974448,1.5034497651185414,2.695146163181038,-6.241466478177063,2.1801633914283884e-08
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_high,1,78,6474,0.9988147962115779,0.7531447293707277,1.2843317271849548,-7.58542457474786,4.601305575084014e-11
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_high,2,78,6396,1.4806068189089805,1.1136246010298807,1.9351066727898876,-7.517519844331735,6.652033695161e-11
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_high,3,78,6318,1.2920958190865695,0.9793768103414455,1.6613314561653283,-7.130073672365039,3.986428430412204e-10
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_high,4,78,6240,1.35286399634873,0.9849914604824811,1.8345094873420855,-6.2082570806048905,2.3284856577945674e-08
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_high,5,78,6162,1.36541065428738,1.0432720510352795,1.7937154746062112,-7.057887226498272,6.111482476702158e-10
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,cont_tercile_high,6,78,6084,2.033126237742988,1.689369221399805,2.4729910000530557,-9.298297250354883,3.1954877197766916e-14
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_high,1,57,4731,1.1665680801705824,0.8628240681169788,1.5017644897402476,-6.8174284443263575,1.4463937181295765e-09
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_high,2,57,4674,1.6324800319257093,1.2065218296413847,2.1329132467751037,-6.988374770486332,7.101371830234148e-10
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_high,3,57,4617,1.3667013371538084,0.9611967875656482,1.807816409497063,-6.136901605363081,3.047931353357326e-08
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_high,4,57,4560,1.5529736796440208,1.0857139405134228,2.1446315471310626,-5.719447760121158,1.8308017779240253e-07
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_high,5,57,4503,1.6968415779541002,1.3033434080401738,2.233101054614853,-7.129745762932391,4.457213181120806e-10
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_high,6,57,4446,2.4652783694399605,2.047980488474504,3.0528981627733356,-9.628978553898582,7.405555624678487e-15
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_lowmid,1,142,11786,0.8893944409219312,0.5453139225882334,1.2706433829500037,-5.847259779838153,9.81941903347609e-08
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_lowmid,2,142,11644,1.5676045638100655,1.1629950679354486,2.0776616467255855,-6.973375242939612,7.59072846192494e-10
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_lowmid,3,142,11502,1.4591210224594975,1.1192988298053632,1.8499800759195015,-6.598967347210575,4.136450253273076e-09
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_lowmid,4,142,11360,1.3777568421832642,0.982285810274831,1.8616360099782847,-5.815349095744234,1.2271519069898085e-07
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_lowmid,5,142,11218,1.4930469702695515,1.1200825288453662,1.9124585298308623,-6.4679755155851195,7.950375959473708e-09
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,resolved_x_cont_lowmid,6,142,11076,2.0023272590317553,1.663745850341814,2.4263150297955605,-7.963450417555204,1.1960231447490207e-11
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,sub_x_cont_high,1,21,1743,0.577846924909875,0.23246137036283418,0.9860052973753277,-3.211698622956949,0.0018858046099121146
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,sub_x_cont_high,2,21,1722,1.0714159759364184,0.6065041503280912,1.6775986724933099,-4.290209344577875,4.902544819931974e-05
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,sub_x_cont_high,3,21,1701,1.0841945698518485,0.6825546570523988,1.4922576811914359,-5.136426524061941,1.9307367018819803e-06
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,sub_x_cont_high,4,21,1680,0.7896357759289652,0.46104174512277224,1.2304019490918627,-4.085307228368642,0.00010484488546355126
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,sub_x_cont_high,5,21,1659,0.42851493843696353,-0.09553667782504492,0.9111633240404664,-1.6389944042148032,0.10524205197433098
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,sub_x_cont_high,6,21,1638,0.7667534053257818,0.16599821646584578,1.2771391933125766,-2.4164073438563682,0.018042471471515432
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,sub_x_cont_lowmid,1,14,1162,0.6900572836034735,0.21063208007580683,1.2049547545601262,-2.952805369446316,0.0041067295775572095
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,sub_x_cont_lowmid,2,14,1148,0.678621436840654,0.019680671397834526,1.3927491722461616,-2.052678591314981,0.04333236172295843
phase8,lstmres_corr_top1_ens,lstm_own_era5_ens,sub_x_cont_lowmid,3,14,1134,0.7601971521900008,0.008762021636157804,1.5365442047106952,-1.7792072124622842,0.07900401979696743
