model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
lstmres_corr_top1_s0,1,1.0099931991969622,19422,-8.989545724076978,7.549995693900527e-14,20.0,20.0,0.0476190476190476,,,0.074568144097611
lstm_corr_top1_era5_s0,1,1.0116751198076943,19422,-3.927599653336996,0.0001780133810371,,,,,,0.0714833729933538
lstmres_corr_top1_s1,1,1.0127272050001137,19422,-6.919915984782917,9.169648820122275e-10,20.0,20.0,0.0476190476190476,,,0.0695511587391245
lstm_own_era5_s0,1,1.0132379357144172,19422,-3.94551711180798,0.0001671944059947,,,,,,0.0686124486387576
lstmres_nbrin_corr_top1_s0,1,1.0140031837246222,19422,,,20.0,5.0,0.7619047619047619,,,0.0672050563675586
lstm_corr_top1_era5_s1,1,1.0160954181723412,19422,-3.252027847439112,0.0016641955177444,,,,,,0.0633517368122366
lstmres_nbrin_corr_top1_s1,1,1.0167678370739577,19422,,,20.0,15.0,0.2857142857142857,,,0.0621116399034997
lstmres_own_s0,1,1.0184462128459697,19422,-8.032751967530432,6.017702590359316e-12,,,,,,0.0590127450561123
lstm_own_era5_s1,1,1.0188142661374784,19422,-3.043355563705416,0.0031432482128458,,,,,,0.0583325009110662
ridge_corr_top1_era5,1,1.0236989492208677,19422,,,,,,-4.10808361082565,9.39506848663292e-05,0.0492812456411395
ridge_own_era5,1,1.0253533779241089,19422,,,,,,-4.097987792377355,9.741226484922378e-05,0.0462057957772875
lstmres_own_s1,1,1.0254135575778416,19422,-4.762361875722359,8.14162535403488e-06,,,,,,0.0460938330323478
ridge_corr_top1,1,1.048279627108633,19422,,,,,,,,0.003076491631817
kalman_ar1,1,1.048995163580747,19422,,,,,,,,0.0017150636951501
ridge_own,1,1.0498958690826776,19422,,,,,,,,0.0
lstmres_corr_top1_s0,2,1.1679834944043457,19188,-7.955805353796111,9.17957617983194e-12,20.0,20.0,0.0476190476190476,,,0.0548017428532138
lstmres_corr_top1_s1,2,1.1758042679554677,19188,-4.959441267425356,3.826854847471751e-06,20.0,20.0,0.0476190476190476,,,0.0421013400643938
