subset,model,vs,horizon,n_rows,n_months,skill,ci_lo,ci_hi,dm_stat,dm_p
all_matched,lstmres_corr_top1_ens,li_lstm_full,1,13620,60,0.20011310766862056,0.08133195994124379,0.3049915676550733,-3.8008222505482996,0.00034386529387691667
all_matched,lstmres_corr_top1_ens,li_lstm_full,2,13620,60,-0.03492964158227485,-0.16464065794164232,0.07563071968474348,0.6721126404652079,0.5041355758064628
all_matched,lstmres_corr_top1_ens,li_lstm_full,3,13620,60,-0.1293580264879315,-0.2399268260458136,-0.03489515799671616,2.497441062892684,0.015318586744833983
all_matched,lstmres_corr_top1_ens,li_lstm_full,4,13620,60,-0.17435823186275878,-0.3015461536805435,-0.08294245104575018,3.213292647938692,0.0021278734824634886
all_matched,lstmres_corr_top1_ens,li_lstm_full,5,13620,60,-0.23642288952623036,-0.3895706631130057,-0.15322997448271766,4.088155154733906,0.000133355432910721
all_matched,lstmres_corr_top1_ens,li_lstm_full,6,13620,60,-0.30341318918876925,-0.4616515587834835,-0.22773762023020588,5.359180261001578,1.4525807779711346e-06
all_matched,lstmres_corr_top1_s0,li_lstm_full,1,13620,60,0.20027925420578585,0.08462725639215755,0.3039211332306945,-3.843758583116471,0.00029912436167462553
all_matched,lstmres_corr_top1_s0,li_lstm_full,2,13620,60,-0.028995637445296207,-0.1564811397013191,0.08059017306508806,0.5644292399642155,0.5746016700166303
all_matched,lstmres_corr_top1_s0,li_lstm_full,3,13620,60,-0.12364643597985325,-0.23326448700441346,-0.031055932103445552,2.4068806892466705,0.01923800523321084
all_matched,lstmres_corr_top1_s0,li_lstm_full,4,13620,60,-0.1741483171631979,-0.3013231146579335,-0.08342663989408038,3.2252086253744516,0.0020541061105045985
all_matched,lstmres_corr_top1_s0,li_lstm_full,5,13620,60,-0.22952410656106714,-0.3834414228237695,-0.14559473960443955,3.9528206799798946,0.00020920841723159623
all_matched,lstmres_corr_top1_s0,li_lstm_full,6,13620,60,-0.30043092289441864,-0.4567288502828112,-0.2252802123107147,5.391629314256888,1.2873112787275092e-06
all_matched,lstmres_corr_top1_s1,li_lstm_full,1,13620,60,0.19285084340850622,0.07030196452273647,0.30053757418933885,-3.5821830441605065,0.0006905801027938877
all_matched,lstmres_corr_top1_s1,li_lstm_full,2,13620,60,-0.04739197522781757,-0.1818178149167083,0.06604570782953992,0.8891856554550865,0.37751446673422295
all_matched,lstmres_corr_top1_s1,li_lstm_full,3,13620,60,-0.13925903721120747,-0.2524679194879204,-0.04322386553512798,2.6442192570489174,0.010474044572853175
all_matched,lstmres_corr_top1_s1,li_lstm_full,4,13620,60,-0.17703949626114857,-0.30528337140697914,-0.08420466744135814,3.232438805190259,0.002010526562416027
all_matched,lstmres_corr_top1_s1,li_lstm_full,5,13620,60,-0.24643625692892446,-0.4011378549566964,-0.16250148240369156,4.23859867973887,8.017608280145295e-05
all_matched,lstmres_corr_top1_s1,li_lstm_full,6,13620,60,-0.31001145197885704,-0.47338141859559413,-0.23253496718230893,5.330930050982826,1.6133744791557246e-06
all_matched,lstm_own_era5_ens,li_lstm_full,1,13620,60,0.19358171878679642,0.0759385724060495,0.29689580235317964,-3.72897878336273,0.0004334227326145715
all_matched,lstm_own_era5_ens,li_lstm_full,2,13620,60,-0.050693805159179206,-0.17760470917907176,0.057315898255259,0.9972424992930353,0.32271934353370607
all_matched,lstm_own_era5_ens,li_lstm_full,3,13620,60,-0.14540413451355128,-0.25610175670448787,-0.05235617464948844,2.807642820219211,0.006754456945316426
all_matched,lstm_own_era5_ens,li_lstm_full,4,13620,60,-0.19129150993553212,-0.31903471057528987,-0.09845541680262207,3.5425903337991587,0.0007817068823165808
all_matched,lstm_own_era5_ens,li_lstm_full,5,13620,60,-0.25488489482216203,-0.4092044968961371,-0.17198611914262246,4.4803475417854255,3.48080878182413e-05
all_matched,lstm_own_era5_ens,li_lstm_full,6,13620,60,-0.3296699995859469,-0.4917070085507988,-0.2539396219926525,5.812987060963969,2.636894558738251e-07
all_matched,ridge_corr_top1_era5,li_lstm_full,1,13620,60,0.17346117885889378,0.04629002690221522,0.28427394251307275,-3.1555557994780528,0.0025219227607081083
all_matched,ridge_corr_top1_era5,li_lstm_full,2,13620,60,-0.07961292012850674,-0.21205973628479688,0.035338872763606255,1.5156973233753919,0.13493559877053035
all_matched,ridge_corr_top1_era5,li_lstm_full,3,13620,60,-0.16767193579979223,-0.2817145045342221,-0.07121498544722472,3.223884770712556,0.0020621812163744307
all_matched,ridge_corr_top1_era5,li_lstm_full,4,13620,60,-0.21022495462362678,-0.3476502239113222,-0.1112027219004438,3.6670084944465455,0.0005282375379088949
all_matched,ridge_corr_top1_era5,li_lstm_full,5,13620,60,-0.2628259626176004,-0.42762847033374946,-0.17623636496759676,4.371105055775973,5.087385231819278e-05
all_matched,ridge_corr_top1_era5,li_lstm_full,6,13620,60,-0.33512615500025733,-0.5001381779097694,-0.2555186938192155,5.69779959805234,4.0794343499422737e-07
all_matched,kalman_ar1,li_lstm_full,1,13620,60,0.14628346880313337,0.03780388033983875,0.2460758331107171,-3.0018903690700056,0.003929378760719786
all_matched,kalman_ar1,li_lstm_full,2,13620,60,-0.0667452106066031,-0.18297680391682491,0.030798734412531836,1.4430079604577783,0.1543067031131342
all_matched,kalman_ar1,li_lstm_full,3,13620,60,-0.16296637465774033,-0.2649117829786396,-0.07746981448750377,3.5119401268285966,0.000859995454156668
all_matched,kalman_ar1,li_lstm_full,4,13620,60,-0.22675287950502954,-0.34847933245866375,-0.1396682713715847,4.4878730002539315,3.3905027173023625e-05
all_matched,kalman_ar1,li_lstm_full,5,13620,60,-0.2823702140949409,-0.4299636631310099,-0.2065711141981716,5.295830967966405,1.8377479917516402e-06
all_matched,kalman_ar1,li_lstm_full,6,13620,60,-0.33820040150214203,-0.491826436739779,-0.2666210295795432,6.254518245634945,4.8709312635168795e-08
all_matched,lstmres_corr_top1_ens,li_lstm_nonseas,1,13620,60,0.3093876389760425,0.23234403428121467,0.3833568609948412,-8.148996656611466,3.064366259546681e-11
all_matched,lstmres_corr_top1_ens,li_lstm_nonseas,2,13620,60,0.0896361938933129,0.015518905727041218,0.15992027566814668,-2.7313496580937957,0.008306100229927903
all_matched,lstmres_corr_top1_ens,li_lstm_nonseas,3,13620,60,-0.01741278511877753,-0.07621002514545283,0.03544844327039966,0.6015270174289883,0.5497934484646424
all_matched,lstmres_corr_top1_ens,li_lstm_nonseas,4,13620,60,-0.08910126724285994,-0.15095281313573233,-0.0422751892674018,3.112286933813203,0.002861040487846241
all_matched,lstmres_corr_top1_ens,li_lstm_nonseas,5,13620,60,-0.16202322819957105,-0.23571264249312787,-0.11921187399196927,5.039269932060719,4.722020362485739e-06
all_matched,lstmres_corr_top1_ens,li_lstm_nonseas,6,13620,60,-0.2338325581277938,-0.32158860093719543,-0.19570945642025256,6.501310903405773,1.878408146110781e-08
all_matched,lstmres_corr_top1_ens,damped_persistence_rho,1,13620,60,0.11141651110548656,0.08861740946634883,0.13368326181454848,-12.213192235343556,8.542000765362657e-18
all_matched,lstmres_corr_top1_ens,damped_persistence_rho,2,13620,60,0.11783823628027423,0.09482441193176758,0.14090683316394895,-11.193424104804851,3.18283434955653e-16
all_matched,lstmres_corr_top1_ens,damped_persistence_rho,3,13620,60,0.1338210488717657,0.11615553565217775,0.15463048346427868,-12.537687264495966,2.7766094038933058e-18
all_matched,lstmres_corr_top1_ens,damped_persistence_rho,4,13620,60,0.1658641322674942,0.1483307401769475,0.18856870286479427,-12.509509030810802,3.0595929478278985e-18
all_matched,lstmres_corr_top1_ens,damped_persistence_rho,5,13620,60,0.15548318685071438,0.14122835714155668,0.17842225991492028,-11.6328456618149,6.589637424674869e-17
all_matched,lstmres_corr_top1_ens,damped_persistence_rho,6,13620,60,0.14161222588408318,0.13121678380203428,0.1578703457156114,-12.41876182449257,4.185068510466465e-18
all_matched,li_lstm_full,damped_persistence_rho,1,13620,60,-0.11088642333494891,-0.26111527789797717,0.016454411997055225,1.9437254903281111,0.056702805874035006
all_matched,li_lstm_full,damped_persistence_rho,2,13620,60,0.14761184888760803,0.06522661641199373,0.22867380822640285,-3.621005067302796,0.0006111186016304255
all_matched,li_lstm_full,damped_persistence_rho,3,13620,60,0.2330342275762889,0.1736570696802151,0.2952644236731018,-6.17796443229424,6.53858386097656e-08
all_matched,li_lstm_full,damped_persistence_rho,4,13620,60,0.28970918319412187,0.23604188588865196,0.35567990916434256,-7.392560507930422,5.849543105661284e-10
all_matched,li_lstm_full,damped_persistence_rho,5,13620,60,0.31696766510616314,0.27396582439381434,0.39028203904134434,-7.72508688907381,1.5976994726274892e-10
all_matched,li_lstm_full,damped_persistence_rho,6,13620,60,0.3414308054914126,0.30436334976424784,0.4136030822883632,-8.37781948825041,1.2602303526547474e-11
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_full,1,12540,60,0.209789922668991,0.08378086946538328,0.3182535146864837,-3.733019376828851,0.00042784259402362917
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_full,2,12540,60,-0.03261753131506939,-0.16682523736929927,0.08016073498976103,0.6006389971721049,0.5503809119264131
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_full,3,12540,60,-0.13797335421695434,-0.2512733034536861,-0.041714920403742944,2.6001177518243224,0.0117579066195719
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_full,4,12540,60,-0.1842202843506795,-0.3109653744215944,-0.09204207830046991,3.4430184811143882,0.001064135454790863
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_full,5,12540,60,-0.2497455840160998,-0.39759781026269436,-0.1728488572341865,4.6564415814985045,1.87297288932246e-05
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_full,6,12540,60,-0.32158957791591036,-0.47207310229228705,-0.24866324539761475,6.333548256889203,3.592066152197339e-08
coverage_ge_0.5,lstmres_corr_top1_s0,li_lstm_full,1,12540,60,0.20975761518469604,0.08484141985179385,0.31775449721087473,-3.7593532157134297,0.00039312496395069564
coverage_ge_0.5,lstmres_corr_top1_s0,li_lstm_full,2,12540,60,-0.02682304416500969,-0.15841815767200368,0.08506897630436254,0.4984821108388192,0.6199975877727991
coverage_ge_0.5,lstmres_corr_top1_s0,li_lstm_full,3,12540,60,-0.1315629567602541,-0.24568257050287792,-0.03619821539346836,2.4962399965949413,0.01536546426408156
coverage_ge_0.5,lstmres_corr_top1_s0,li_lstm_full,4,12540,60,-0.18393689740639219,-0.3104361703229868,-0.09267143917244304,3.4469558122010433,0.0010513307130854976
coverage_ge_0.5,lstmres_corr_top1_s0,li_lstm_full,5,12540,60,-0.24218259433143352,-0.39070757022475233,-0.16427099418285512,4.491097448913964,3.352511025192154e-05
coverage_ge_0.5,lstmres_corr_top1_s0,li_lstm_full,6,12540,60,-0.31832015854348117,-0.46726638435945717,-0.24654847402868707,6.386082424878526,2.932819329707327e-08
coverage_ge_0.5,lstmres_corr_top1_s1,li_lstm_full,1,12540,60,0.20265105646860682,0.07224562515620908,0.3148299867159445,-3.5389992660612926,0.0007905158009942429
coverage_ge_0.5,lstmres_corr_top1_s1,li_lstm_full,2,12540,60,-0.045042801544529,-0.18302166822168422,0.07159069001343522,0.8116595984670064,0.42024955205664033
coverage_ge_0.5,lstmres_corr_top1_s1,li_lstm_full,3,12540,60,-0.1486640423147525,-0.2657504740062508,-0.050125398816803175,2.7603270937205404,0.007681802675692945
coverage_ge_0.5,lstmres_corr_top1_s1,li_lstm_full,4,12540,60,-0.18698007160089092,-0.31417976004190146,-0.09330932345112347,3.4707058161362196,0.0009771394507092006
coverage_ge_0.5,lstmres_corr_top1_s1,li_lstm_full,5,12540,60,-0.2604836459748281,-0.4096509064113058,-0.18322681698047133,4.83263026276653,9.982824106059692e-06
coverage_ge_0.5,lstmres_corr_top1_s1,li_lstm_full,6,12540,60,-0.32857026332781314,-0.4832923074884834,-0.25379621908633593,6.2783994603647235,4.4429391089938186e-08
coverage_ge_0.5,lstm_own_era5_ens,li_lstm_full,1,12540,60,0.20265003218162314,0.0780702918544191,0.3098817325501146,-3.6593655139430075,0.0005412203110411075
coverage_ge_0.5,lstm_own_era5_ens,li_lstm_full,2,12540,60,-0.04967052886577439,-0.18089001657861611,0.06122387073383485,0.936107066631018,0.3530340287078605
coverage_ge_0.5,lstm_own_era5_ens,li_lstm_full,3,12540,60,-0.15505185528795273,-0.26980400810640043,-0.05891143649276829,2.9267695164413947,0.004857523352140063
coverage_ge_0.5,lstm_own_era5_ens,li_lstm_full,4,12540,60,-0.2023820240116363,-0.32824765350525564,-0.11076482733054484,3.8042263968693857,0.0003400957732055646
coverage_ge_0.5,lstm_own_era5_ens,li_lstm_full,5,12540,60,-0.26974824136609854,-0.4172336307885985,-0.19342909848797055,5.118771278898443,3.5303697318772992e-06
coverage_ge_0.5,lstm_own_era5_ens,li_lstm_full,6,12540,60,-0.34968756947966684,-0.5029376420733578,-0.27786877786057684,6.8688920483293545,4.50798989300462e-09
coverage_ge_0.5,ridge_corr_top1_era5,li_lstm_full,1,12540,60,0.18332285049809716,0.046364688604329116,0.300960376533706,-3.110166009736004,0.002878714230862221
coverage_ge_0.5,ridge_corr_top1_era5,li_lstm_full,2,12540,60,-0.07830809228014513,-0.21621241975515834,0.04013825675727914,1.4119656510757685,0.16321272691588695
coverage_ge_0.5,ridge_corr_top1_era5,li_lstm_full,3,12540,60,-0.17718946038462513,-0.2954337033796433,-0.07473893217232867,3.2683043914029524,0.0018069164785180726
coverage_ge_0.5,ridge_corr_top1_era5,li_lstm_full,4,12540,60,-0.21998376630090832,-0.35659170814732655,-0.12119795181907848,3.8597937525562456,0.0002838943369597268
coverage_ge_0.5,ridge_corr_top1_era5,li_lstm_full,5,12540,60,-0.27672192541660245,-0.4352048694918469,-0.19485311105262437,4.912793067959448,7.4763696861043016e-06
coverage_ge_0.5,ridge_corr_top1_era5,li_lstm_full,6,12540,60,-0.35390783902791134,-0.5128868423310065,-0.27758291817917796,6.638114144197621,1.1053967416406115e-08
coverage_ge_0.5,kalman_ar1,li_lstm_full,1,12540,60,0.15290454548984833,0.036065945446682415,0.25797881485693425,-2.91504820946763,0.005019487641142785
coverage_ge_0.5,kalman_ar1,li_lstm_full,2,12540,60,-0.06739740217390477,-0.1881119503333697,0.0337476624933767,1.372451792583137,0.1751179747792909
coverage_ge_0.5,kalman_ar1,li_lstm_full,3,12540,60,-0.17399476752617993,-0.2796153349058809,-0.08688006713280237,3.6251925615011893,0.0006030887202191619
coverage_ge_0.5,kalman_ar1,li_lstm_full,4,12540,60,-0.2395644997991182,-0.3600318751510468,-0.1534040415945031,4.809281622346699,1.085638195330858e-05
coverage_ge_0.5,kalman_ar1,li_lstm_full,5,12540,60,-0.29929047915272644,-0.44179537360830123,-0.22944289952934563,6.055134830559819,1.0473327886798888e-07
coverage_ge_0.5,kalman_ar1,li_lstm_full,6,12540,60,-0.3595476669780817,-0.5065516725657284,-0.2929072934011568,7.4007258665677,5.666034583113899e-10
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_nonseas,1,12540,60,0.3200260104361359,0.24132846149640794,0.39449979021182574,-7.917016480278599,7.559773758533684e-11
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_nonseas,2,12540,60,0.09376675351343955,0.01879901114507665,0.16655792668834055,-2.7582646687252463,0.00772476912414326
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_nonseas,3,12540,60,-0.021179118087478743,-0.08146878942481,0.03129912066053474,0.7259289067517439,0.47075230698806947
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_nonseas,4,12540,60,-0.09473769104560836,-0.15632274822810432,-0.05023148159100729,3.443619097364228,0.0010621726516060975
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_nonseas,5,12540,60,-0.17248659142129474,-0.2438207833966709,-0.13497200315850955,5.932857252813924,1.6710866943711774e-07
coverage_ge_0.5,lstmres_corr_top1_ens,li_lstm_nonseas,6,12540,60,-0.2489075539970249,-0.3333460759090575,-0.2115997514968592,7.433940936862844,4.977017830119714e-10
coverage_ge_0.5,lstmres_corr_top1_ens,damped_persistence_rho,1,12540,60,0.1130035294148688,0.09142269201614754,0.13412318577412094,-12.923357134947075,7.431455122640415e-19
coverage_ge_0.5,lstmres_corr_top1_ens,damped_persistence_rho,2,12540,60,0.11799987366900666,0.09514599756811673,0.14121037670507297,-10.709476600902583,1.85255019971486e-15
coverage_ge_0.5,lstmres_corr_top1_ens,damped_persistence_rho,3,12540,60,0.1337820482795251,0.11558790755151156,0.15686932478970042,-10.831528993618988,1.1849949576740267e-15
coverage_ge_0.5,lstmres_corr_top1_ens,damped_persistence_rho,4,12540,60,0.16688851449155617,0.14772524479099208,0.19182324935837294,-10.840023831687969,1.1487841584424077e-15
coverage_ge_0.5,lstmres_corr_top1_ens,damped_persistence_rho,5,12540,60,0.1566800676863751,0.14098099035041384,0.18130299846228723,-10.194248300164196,1.244605230244405e-14
coverage_ge_0.5,lstmres_corr_top1_ens,damped_persistence_rho,6,12540,60,0.1403131021226356,0.12894616364907358,0.15876267590533935,-10.684091188841425,2.033409540019083e-15
coverage_ge_0.5,li_lstm_full,damped_persistence_rho,1,12540,60,-0.12248185138441303,-0.28437672970258954,0.015319477087342059,1.9801800355340566,0.052352984851657965
coverage_ge_0.5,li_lstm_full,damped_persistence_rho,2,12540,60,0.1458598178090782,0.058109900936137854,0.2294082936785219,-3.3957114784691194,0.0012300120756526026
coverage_ge_0.5,li_lstm_full,damped_persistence_rho,3,12540,60,0.23880647247973197,0.1785863228211263,0.30381899961484654,-6.131768586438217,7.807622087448361e-08
coverage_ge_0.5,li_lstm_full,damped_persistence_rho,4,12540,60,0.2964894314698826,0.24395081739962352,0.36193266913747735,-7.544311153574147,3.2349088968233284e-10
