subset,model,horizon,rmse_std,n,n_months,n_basins,skill_vs_damped
all_matched,lstmres_corr_top1_s0,1,1.0089368246861135,13620,60,227,0.11160108103790745
all_matched,lstmres_corr_top1_ens,1,1.0090416254273933,13620,60,227,0.11141651110548634
all_matched,lstm_own_era5_s0,1,1.0114719176198843,13620,60,227,0.10713102262524943
all_matched,lstm_own_era5_ens,1,1.0131528595145134,13620,60,227,0.10416087987114708
all_matched,lstmres_corr_top1_s1,1,1.0136118773668348,13620,60,227,0.10334896033625451
all_matched,lstm_own_era5_s1,1,1.0195150768363057,13620,60,227,0.09287449097057421
all_matched,ridge_corr_top1_era5,1,1.025714324132905,13620,60,227,0.08180924523507105
all_matched,ridge_own_era5,1,1.0262478384213456,13620,60,227,0.08085382270579078
all_matched,kalman_ar1,1,1.0424413687684628,13620,60,227,0.05161789611679313
all_matched,ridge_own,1,1.043587739065226,13620,60,227,0.04953088211200907
all_matched,damped_persistence_rho,1,1.0704341667623203,13620,60,227,0.0
all_matched,li_lstm_full,1,1.1282225927525247,13620,60,227,-0.11088642333494936
all_matched,li_lstm_nonseas,1,1.214204697212348,13620,60,227,-0.28666027288742457
all_matched,li_lstm_full,2,1.1579726333267129,13620,60,227,0.14761184888760848
all_matched,lstmres_corr_top1_s0,2,1.1746407483770396,13620,60,227,0.12289631109528698
all_matched,lstmres_corr_top1_ens,2,1.1780228340619554,13620,60,227,0.11783823628027434
all_matched,lstm_own_era5_s0,2,1.1822603923794368,13620,60,227,0.11148023485864633
all_matched,lstmres_corr_top1_s1,2,1.1850943204983746,13620,60,227,0.10721549074560432
all_matched,lstm_own_era5_ens,2,1.1869608141291192,13620,60,227,0.10440105003512345
all_matched,lstm_own_era5_s1,2,1.195328600366755,13620,60,227,0.09172902825086848
all_matched,kalman_ar1,2,1.1959930241380576,13620,60,227,0.09071902222303885
all_matched,ridge_own_era5,2,1.200597249560154,13620,60,227,0.08370461163777221
all_matched,ridge_own,2,1.2030691206869095,13620,60,227,0.07992766521240524
all_matched,ridge_corr_top1_era5,2,1.203184787743261,13620,60,227,0.07975073909461161
all_matched,li_lstm_nonseas,2,1.234656699115299,13620,60,227,0.030978870422772586
all_matched,damped_persistence_rho,2,1.2542369577744898,13620,60,227,0.0
all_matched,li_lstm_full,3,1.1886229174059446,13620,60,227,0.23303422757628878
all_matched,li_lstm_nonseas,3,1.2523084916940865,13620,60,227,0.14864550180867608
all_matched,lstmres_corr_top1_s0,3,1.2599663274972757,13620,60,227,0.1382016432975619
all_matched,lstmres_corr_top1_ens,3,1.26316452653121,13620,60,227,0.1338210488717657
all_matched,lstm_own_era5_s0,3,1.268534616201481,13620,60,227,0.126440623107564
all_matched,lstmres_corr_top1_s1,3,1.2686894856564428,13620,60,227,0.12622731253461295
all_matched,lstm_own_era5_ens,3,1.2721065028796934,13620,60,227,0.12151423323550192
all_matched,lstm_own_era5_s1,3,1.2778359004719058,13620,60,227,0.11358324845962897
all_matched,ridge_own,3,1.278748393471348,13620,60,227,0.11231682938877574
all_matched,ridge_own_era5,3,1.2807670579947141,13620,60,227,0.10951197906760834
all_matched,kalman_ar1,3,1.2818218740378262,13620,60,227,0.10804459615782336
all_matched,ridge_corr_top1_era5,3,1.2844124915875845,13620,60,227,0.1044355918218226
all_matched,damped_persistence_rho,3,1.3572383044988974,13620,60,227,0.0
all_matched,li_lstm_full,4,1.2200981521043466,13620,60,227,0.2897091831941222
all_matched,li_lstm_nonseas,4,1.2669542592718508,13620,60,227,0.23410623711403622
all_matched,lstmres_corr_top1_s0,4,1.322075476169923,13620,60,227,0.16601323275090507
all_matched,lstmres_corr_top1_ens,4,1.3221936514760184,13620,60,227,0.1658641322674944
all_matched,lstmres_corr_top1_s1,4,1.323702190108838,13620,60,227,0.16395965478788954
all_matched,lstm_own_era5_s0,4,1.330710884810816,13620,60,227,0.15508293907018522
all_matched,lstm_own_era5_ens,4,1.3316920059158248,13620,60,227,0.15383658035398318
all_matched,ridge_own,4,1.333685692502684,13620,60,227,0.15130108798555597
all_matched,lstm_own_era5_s1,4,1.3339037798950344,13620,60,227,0.1510235028440643
all_matched,ridge_own_era5,4,1.337683940602251,13620,60,227,0.14620484196457206
all_matched,ridge_corr_top1_era5,4,1.3422327191170782,13620,60,227,0.1403883284615276
all_matched,kalman_ar1,4,1.3513670094066286,13620,60,227,0.12864869519740985
all_matched,damped_persistence_rho,4,1.4476936499868291,13620,60,227,0.0
all_matched,li_lstm_full,5,1.2547089234545585,13620,60,227,0.3169676651061627
all_matched,li_lstm_nonseas,5,1.294252761178086,13620,60,227,0.2732358590991565
all_matched,lstmres_corr_top1_s0,5,1.3912702890446829,13620,60,227,0.1601952786873353
all_matched,lstmres_corr_top1_ens,5,1.3951679945931827,13620,60,227,0.15548318685071383
all_matched,ridge_own,5,1.4003892728466276,13620,60,227,0.1491503175945651
all_matched,lstmres_corr_top1_s1,5,1.400806097285215,13620,60,227,0.1486437331335021
all_matched,lstm_own_era5_s0,5,1.4023519731488856,13620,60,227,0.14676364808717135
all_matched,lstm_own_era5_ens,5,1.4055455759996598,13620,60,227,0.1428730402666114
all_matched,ridge_own_era5,5,1.4058038299022262,13620,60,227,0.14255803558507707
all_matched,ridge_corr_top1_era5,5,1.4099857961796984,13620,60,227,0.1374490341887431
all_matched,lstm_own_era5_s1,5,1.410137074774782,13620,60,227,0.1372639365819439
all_matched,kalman_ar1,5,1.4208547964854656,13620,60,227,0.12409967846842263
all_matched,damped_persistence_rho,5,1.518176815169077,13620,60,227,0.0
all_matched,li_lstm_full,6,1.2776530815164593,13620,60,227,0.3414308054914127
all_matched,li_lstm_nonseas,6,1.3131849274930818,13620,60,227,0.30429151957342837
all_matched,lstmres_corr_top1_s0,6,1.4569900662434483,13620,60,227,0.14357625459536338
all_matched,lstmres_corr_top1_ens,6,1.4586597604881257,13620,60,227,0.14161222588408318
all_matched,lstmres_corr_top1_s1,6,1.4623471830822579,13620,60,227,0.13726681327325896
all_matched,ridge_own,6,1.4657323499211594,13620,60,227,0.1332679324116388
all_matched,lstm_own_era5_s0,6,1.4707528227814737,13620,60,227,0.12732024747786086
all_matched,ridge_own_era5,6,1.472192805268279,13620,60,227,0.12561056694269412
all_matched,lstm_own_era5_ens,6,1.4732786042719477,13620,60,227,0.12432029941044909
all_matched,ridge_corr_top1_era5,6,1.4762982285770905,13620,60,227,0.1207270435341331
all_matched,lstm_own_era5_s1,6,1.4771999069666326,13620,60,227,0.11965264877608506
all_matched,kalman_ar1,6,1.4779969051680628,13620,60,227,0.11870243949166615
all_matched,damped_persistence_rho,6,1.574389703057876,13620,60,227,0.0
coverage_ge_0.5,lstmres_corr_top1_ens,1,0.9961685551959895,12540,60,209,0.11300352941486902
coverage_ge_0.5,lstmres_corr_top1_s0,1,0.9961889190029866,12540,60,209,0.11296726485008401
coverage_ge_0.5,lstm_own_era5_s0,1,0.9990592015945362,12540,60,209,0.10784835122381231
coverage_ge_0.5,lstmres_corr_top1_s1,1,1.0006581996450767,12540,60,209,0.10499028166547619
coverage_ge_0.5,lstm_own_era5_ens,1,1.000658842375495,12540,60,209,0.10498913192192638
coverage_ge_0.5,lstm_own_era5_s1,1,1.006982778746728,12540,60,209,0.0936408552237421
coverage_ge_0.5,ridge_corr_top1_era5,1,1.012713848886628,12540,60,209,0.08329472124375925
coverage_ge_0.5,ridge_own_era5,1,1.0136576729315363,12540,60,209,0.081585232109196
coverage_ge_0.5,kalman_ar1,1,1.0314014141773542,12540,60,209,0.04915072592212422
coverage_ge_0.5,ridge_own,1,1.0326144876169332,12540,60,209,0.046912745067237194
coverage_ge_0.5,damped_persistence_rho,1,1.0577228411943311,12540,60,209,0.0
coverage_ge_0.5,li_lstm_full,1,1.1206281995361014,12540,60,209,-0.12248185138441281
coverage_ge_0.5,li_lstm_nonseas,1,1.2080549205387088,12540,60,209,-0.3044564706865498
coverage_ge_0.5,li_lstm_full,2,1.1529377171505821,12540,60,209,0.1458598178090783
coverage_ge_0.5,lstmres_corr_top1_s0,2,1.1682980457114474,12540,60,209,0.12294917797906135
coverage_ge_0.5,lstmres_corr_top1_ens,2,1.1715898321402687,12540,60,209,0.11799987366900644
coverage_ge_0.5,lstm_own_era5_s0,2,1.1765218974606473,12540,60,209,0.11055829568586995
coverage_ge_0.5,lstmres_corr_top1_s1,2,1.1786175021282397,12540,60,209,0.10738695109144447
coverage_ge_0.5,lstm_own_era5_ens,2,1.1812242352904476,12540,60,209,0.10343422323414608
coverage_ge_0.5,lstm_own_era5_s1,2,1.1896461324411152,12540,60,209,0.09060397078651272
coverage_ge_0.5,kalman_ar1,2,1.1911567541743022,12540,60,209,0.08829298843706435
coverage_ge_0.5,ridge_own_era5,2,1.1949858923880061,12540,60,209,0.08242195025415022
coverage_ge_0.5,ridge_corr_top1_era5,2,1.1972291408252387,12540,60,209,0.07897372960189109
coverage_ge_0.5,ridge_own,2,1.1986427230283312,12540,60,209,0.07679751301728333
coverage_ge_0.5,li_lstm_nonseas,2,1.2307096289572246,12540,60,209,0.026740488996092604
coverage_ge_0.5,damped_persistence_rho,2,1.2475020565696864,12540,60,209,0.0
coverage_ge_0.5,li_lstm_full,3,1.1837573543840179,12540,60,209,0.23880647247973152
coverage_ge_0.5,li_lstm_nonseas,3,1.249619443582914,12540,60,209,0.15174729253886787
