model,horizon,rmse_std,n,dm_vs_ridge_twin,dm_p,placebo_n,placebo_beaten,p_rank,dm_vs_no_era5,dm_p_era5,skill_vs_ridge_own
lstmres_oof_corr_top1_s0,4,1.3051226066752413,18720,,,20.0,20.0,0.047619047619047616,,,0.02306740978239863
lstmres_oof_corr_top1_s1,4,1.3061004314575932,18720,,,20.0,20.0,0.047619047619047616,,,0.02160298529676441
lstmres_corr_top1_s0,4,1.3072614750404168,18720,-5.262932391520049,1.1870416370956594e-06,20.0,20.0,0.047619047619047616,,,0.019862741670372608
lstmres_corr_top1_s1,4,1.3084405278801639,18720,-4.493388384289612,2.3668074575730395e-05,20.0,20.0,0.047619047619047616,,,0.01809392221423123
lstm_own_era5_s0,4,1.3155465947376763,18720,-3.9660760904781203,0.0001595751157965197,,,,,,0.0073996074695761305
lstm_own_era5_s1,4,1.3174883971758375,18720,-2.1991188296067317,0.03079403752322351,,,,,,0.004467204532243585
lstmres_nbrin_corr_top1_s1,4,1.3178898219104944,18720,,,20.0,20.0,0.047619047619047616,,,0.0038604555531155382
lstm_corr_top1_era5_s1,4,1.3197691311126363,18720,-1.2829958195937743,0.20324481350322204,,,,,,0.001017442495714116
lstmres_nbrin_corr_top1_s0,4,1.3202377630818056,18720,,,20.0,20.0,0.047619047619047616,,,0.0003078664497245809
ridge_own,4,1.3204410384757215,18720,,,,,,,,0.0
ridge_own_era5,4,1.3213456917261857,18720,,,,,,0.2134626931569631,0.8315160191360218,-0.001370698303986062
lstm_corr_top1_era5_s0,4,1.3213837200213547,18720,-1.0733924466790474,0.2863629055196556,,,,,,-0.0014283379795141382
ridge_corr_top1,4,1.3228023520395047,18720,,,,,,,,-0.0035797507584076627
lstmres_corr_top1_hist12_s1,4,1.3238624139559474,18720,,,20.0,0.0,1.0,,,-0.005188884499056412
ridge_corr_top1_era5,4,1.3240233918120954,18720,,,,,,0.2884307804776037,0.773772435382675,-0.005433355507449944
lstmres_oof_own_s0,4,1.3257800546831675,18720,,,,,,,,-0.008103065308117108
lstmres_corr_top1_hist12_s0,4,1.3273068059732671,18720,,,20.0,0.0,1.0,,,-0.010426239302201212
lstmres_oof_own_s1,4,1.3277850989520887,18720,,,,,,,,-0.011154581608989966
lstmres_own_s0,4,1.3288310564941794,18720,2.1209846860730424,0.03705936629491597,,,,,,-0.012748275244477414
lstmres_own_s1,4,1.332119458215618,18720,2.55674011510654,0.012481477087915954,,,,,,-0.017766887445005874
kalman_ar1,4,1.3362993470513527,18720,,,,,,,,-0.024163951472361722
lstmres_oof_corr_top1_s0,5,1.3658492919402614,18486,,,20.0,20.0,0.047619047619047616,,,0.015305561633256581
lstmres_corr_top1_s0,5,1.3673644574076684,18486,-3.2648421987466985,0.0016278895891027165,20.0,20.0,0.047619047619047616,,,0.013119665198760178
lstmres_oof_corr_top1_s1,5,1.3744697193488287,18486,,,20.0,20.0,0.047619047619047616,,,0.0028367276070927483
lstmres_corr_top1_s1,5,1.3755421598567399,18486,-0.995187003579148,0.3227226593481175,20.0,20.0,0.047619047619047616,,,0.0012800319966326246
ridge_own,5,1.3764233749233163,18486,,,,,,,,0.0
lstmres_nbrin_corr_top1_s0,5,1.3775269484603876,18486,,,20.0,20.0,0.047619047619047616,,,-0.001604180752358797
lstm_own_era5_s0,5,1.377822415943525,18486,-1.4430675585092616,0.15300553956615803,,,,,,-0.0020338975069325027
ridge_corr_top1,5,1.3788220703437757,18486,,,,,,,,-0.003488440503915946
ridge_own_era5,5,1.3800520606096547,18486,,,,,,0.868270987631155,0.38790966778447256,-0.005279580297625985
lstm_corr_top1_era5_s0,5,1.3813846293265872,18486,-0.6978200955217904,0.48736474084334197,,,,,,-0.007221899598415682
ridge_corr_top1_era5,5,1.382919571458984,18486,,,,,,0.9791066530878738,0.33055438423240663,-0.009461516633310074
lstmres_nbrin_corr_top1_s1,5,1.3841023243518127,18486,,,20.0,20.0,0.047619047619047616,,,-0.011188954900101855
lstm_own_era5_s1,5,1.3844439424559851,18486,1.7326991678561647,0.08710139538801494,,,,,,-0.011688171002421255
lstmres_corr_top1_hist12_s0,5,1.3855432483036345,18486,,,20.0,0.0,1.0,,,-0.013295453517406797
lstm_corr_top1_era5_s1,5,1.3861398646520768,18486,0.8065691111019139,0.4223672498906716,,,,,,-0.014168293529788656
lstmres_oof_own_s0,5,1.3864857172459126,18486,,,,,,,,-0.014674442298186818
lstmres_own_s0,5,1.3899566612765386,18486,3.377439351169812,0.0011437539208030117,,,,,,-0.019761096288956503
lstmres_oof_own_s1,5,1.393545924896477,18486,,,,,,,,-0.0250345229128337
lstmres_corr_top1_hist12_s1,5,1.3935762471232622,18486,,,20.0,0.0,1.0,,,-0.025079130940256933
kalman_ar1,5,1.395072928851735,18486,,,,,,,,-0.027282155098824035
lstmres_own_s1,5,1.3978155129781034,18486,3.9289219393853694,0.00018319851455524632,,,,,,-0.03132520841143105
lstmres_oof_corr_top1_s0,6,1.4261236236429649,18252,,,20.0,20.0,0.047619047619047616,,,0.01487698727082698
lstmres_corr_top1_s0,6,1.4282044807004817,18252,-3.383696807122472,0.0011272984790992291,20.0,20.0,0.047619047619047616,,,0.012000103886695923
lstmres_oof_corr_top1_s1,6,1.428822485241094,18252,,,20.0,20.0,0.047619047619047616,,,0.011144875471781557
lstmres_corr_top1_s1,6,1.4316781278717539,18252,-2.0151771072740297,0.0473763802898935,20.0,20.0,0.047619047619047616,,,0.007188276640842983
ridge_own,6,1.4368516855847975,18252,,,,,,,,0.0
lstmres_nbrin_corr_top1_s0,6,1.4379151629944438,18252,,,20.0,20.0,0.047619047619047616,,,-0.0014808361692806304
ridge_corr_top1,6,1.439154384292396,18252,,,,,,,,-0.003207768600406835
lstm_own_era5_s0,6,1.4419429885731925,18252,-0.29191125263156725,0.7711395117347383,,,,,,-0.007099303616413755
ridge_own_era5,6,1.4424106316852718,18252,,,,,,1.5789534622851105,0.11844630671073099,-0.007752643486765631
lstmres_corr_top1_hist12_s1,6,1.4424328149353935,18252,,,20.0,20.0,0.047619047619047616,,,-0.00778364076363558
lstmres_nbrin_corr_top1_s1,6,1.4435332909837935,18252,,,20.0,20.0,0.047619047619047616,,,-0.00932196519449513
lstm_corr_top1_era5_s0,6,1.4439118468615018,18252,-0.40465042961424463,0.686856380650522,,,,,,-0.00985140897560588
ridge_corr_top1_era5,6,1.4451966440820794,18252,,,,,,1.7026124259481115,0.0926745315126086,-0.011649346329861698
lstm_own_era5_s1,6,1.4457330311345165,18252,1.5914193591842694,0.11561264603444651,,,,,,-0.012400436243111823
lstmres_corr_top1_hist12_s0,6,1.4473209686272015,18252,,,20.0,2.0,0.9047619047619048,,,-0.014625620913258919
kalman_ar1,6,1.4483805890107582,18252,,,,,,,,-0.016111831053903014
lstm_corr_top1_era5_s1,6,1.4496371848078278,18252,0.9695419117134114,0.33531054208227873,,,,,,-0.017875726195111685
lstmres_oof_own_s0,6,1.4497817950389935,18252,,,,,,,,-0.018078815060962317
lstmres_oof_own_s1,6,1.4524126672167776,18252,,,,,,,,-0.0217771170722596
lstmres_own_s1,6,1.4553025093958485,18252,4.251931212427997,5.894685447377204e-05,,,,,,-0.025847189196211318
lstmres_own_s0,6,1.4584561559803777,18252,5.139197782283167,2.031873909462455e-06,,,,,,-0.030298036721821964
