
===== all_matched =====
     subset                  model  horizon  rmse_std     n  n_months  n_basins  skill_vs_damped
all_matched   lstmres_corr_top1_s0        1  1.008937 13620        60       227         0.111601
all_matched  lstmres_corr_top1_ens        1  1.009042 13620        60       227         0.111417
all_matched       lstm_own_era5_s0        1  1.011472 13620        60       227         0.107131
all_matched      lstm_own_era5_ens        1  1.013153 13620        60       227         0.104161
all_matched   lstmres_corr_top1_s1        1  1.013612 13620        60       227         0.103349
all_matched       lstm_own_era5_s1        1  1.019515 13620        60       227         0.092874
all_matched   ridge_corr_top1_era5        1  1.025714 13620        60       227         0.081809
all_matched         ridge_own_era5        1  1.026248 13620        60       227         0.080854
all_matched             kalman_ar1        1  1.042441 13620        60       227         0.051618
all_matched              ridge_own        1  1.043588 13620        60       227         0.049531
all_matched damped_persistence_rho        1  1.070434 13620        60       227         0.000000
all_matched           li_lstm_full        1  1.128223 13620        60       227        -0.110886
all_matched        li_lstm_nonseas        1  1.214205 13620        60       227        -0.286660
all_matched           li_lstm_full        2  1.157973 13620        60       227         0.147612
all_matched   lstmres_corr_top1_s0        2  1.174641 13620        60       227         0.122896
all_matched  lstmres_corr_top1_ens        2  1.178023 13620        60       227         0.117838
all_matched       lstm_own_era5_s0        2  1.182260 13620        60       227         0.111480
all_matched   lstmres_corr_top1_s1        2  1.185094 13620        60       227         0.107215
all_matched      lstm_own_era5_ens        2  1.186961 13620        60       227         0.104401
all_matched       lstm_own_era5_s1        2  1.195329 13620        60       227         0.091729
all_matched             kalman_ar1        2  1.195993 13620        60       227         0.090719
all_matched         ridge_own_era5        2  1.200597 13620        60       227         0.083705
all_matched              ridge_own        2  1.203069 13620        60       227         0.079928
all_matched   ridge_corr_top1_era5        2  1.203185 13620        60       227         0.079751
all_matched        li_lstm_nonseas        2  1.234657 13620        60       227         0.030979
all_matched damped_persistence_rho        2  1.254237 13620        60       227         0.000000
all_matched           li_lstm_full        3  1.188623 13620        60       227         0.233034
all_matched        li_lstm_nonseas        3  1.252308 13620        60       227         0.148646
all_matched   lstmres_corr_top1_s0        3  1.259966 13620        60       227         0.138202
all_matched  lstmres_corr_top1_ens        3  1.263165 13620        60       227         0.133821
all_matched       lstm_own_era5_s0        3  1.268535 13620        60       227         0.126441
all_matched   lstmres_corr_top1_s1        3  1.268689 13620        60       227         0.126227
all_matched      lstm_own_era5_ens        3  1.272107 13620        60       227         0.121514
all_matched       lstm_own_era5_s1        3  1.277836 13620        60       227         0.113583
all_matched              ridge_own        3  1.278748 13620        60       227         0.112317
all_matched         ridge_own_era5        3  1.280767 13620        60       227         0.109512
all_matched             kalman_ar1        3  1.281822 13620        60       227         0.108045
all_matched   ridge_corr_top1_era5        3  1.284412 13620        60       227         0.104436
all_matched damped_persistence_rho        3  1.357238 13620        60       227         0.000000
all_matched           li_lstm_full        4  1.220098 13620        60       227         0.289709
all_matched        li_lstm_nonseas        4  1.266954 13620        60       227         0.234106
all_matched   lstmres_corr_top1_s0        4  1.322075 13620        60       227         0.166013
all_matched  lstmres_corr_top1_ens        4  1.322194 13620        60       227         0.165864
all_matched   lstmres_corr_top1_s1        4  1.323702 13620        60       227         0.163960
all_matched       lstm_own_era5_s0        4  1.330711 13620        60       227         0.155083
all_matched      lstm_own_era5_ens        4  1.331692 13620        60       227         0.153837
all_matched              ridge_own        4  1.333686 13620        60       227         0.151301
all_matched       lstm_own_era5_s1        4  1.333904 13620        60       227         0.151024
