split,cut,stratum,n_basins,skill_pct,dm_stat,p,n_rows
contamination,0.1,contaminated,121,0.8185998976179665,-2.60989305120572,0.010763975528376057,10043
contamination,0.1,clean,113,-0.215683333478478,0.6879622430312322,0.49341810128441277,9379
contamination,0.2,contaminated,32,0.34965692080767274,-0.9056334137445939,0.3677832777380802,2656
contamination,0.2,clean,202,0.29957345268263325,-1.1322693729409938,0.2608213445944095,16766
contamination,0.3,contaminated,16,0.6534999678940778,-1.4180197216419812,0.15997414343931476,1328
contamination,0.3,clean,218,0.27606442900826034,-1.0945849666615575,0.2769033066633097,18094
contamination,0.4,contaminated,6,0.6627064801776217,-1.545510068620435,0.12607375102066862,498
contamination,0.4,clean,228,0.2960061993187546,-1.2202891930018085,0.22585301700970498,18924
contamination,0.5,contaminated,3,1.8877475030919855,-2.070901768041331,0.04151310638177174,249
contamination,0.5,clean,231,0.28503509502204594,-1.1902907974116104,0.2373667257585998,19173
contamination_tercile,,tercile_low,78,-0.26766173049499464,0.7867586057340159,0.4336911412677499,6474
contamination_tercile,,tercile_mid,78,-0.17773322452474538,0.4429251935549622,0.6589861280906681,6474
contamination_tercile,,tercile_high,78,1.1628081116176414,-3.617434176991107,0.0005129227691084177,6474
n_eff_tiles,2.0,n_eff_tiles<2,3,1.7487974120548033,-2.381025384672962,0.01958229534501554,249
n_eff_tiles,2.0,n_eff_tiles>=2,231,0.2716719697799408,-1.138944898580665,0.25804253601978583,19173
